"Year";"Pos";"Class";"No";"TeamCtry";"Team";"DrCtry";"Drivers";"Chassis";"Engine";"Tyres";"Laps";"Distance";"Time";"Reason"
"2007";"1";"LMP1";"1";"DEU";"Audi Sport North America";"DEU|ITA|DEU";"Marco Werner|Emanuele Pirro|Frank Biela";"Audi R10 TDI";"Audi TDI 5.5L Turbo V12( Diesel)";"Michelin";"369";"5029.101";"";""
"2007";"2";"LMP1";"8";"FRA";"Team Peugeot Total";"FRA|PRT|FRA";"Stéphane Sarrazin|Pedro Lamy|Sébastien Bourdais";"Peugeot 908 HDi FAP";"Peugeot HDi 5.5L Turbo V12( Diesel)";"Michelin";"359";"4892.811";"";""
"2007";"3";"LMP1";"16";"FRA";"Pescarolo Sport";"FRA|FRA|FRA";"Emmanuel Collard|Jean-Christophe Boullion|Romain Dumas";"Pescarolo 01";"Judd GV5.5 S2 5.5L V10";"Michelin";"358";"4879.182";"";""
"2007";"4";"LMP1";"18";"GBR";"Rollcentre Racing";"GBR|PRT|GBR";"Stuart Hall|João Barbosa|Martin Short";"Pescarolo 01";"Judd GV5.5 S2 5.5L V10";"Dunlop";"347";"4729.263";"";""
"2007";"5";"GT1";"9";"GBR";"Aston Martin Racing";"AUS|GBR|SWE";"David Brabham|Darren Turner|Rickard Rydell";"Aston Martin DBR9";"Aston Martin 6.0L V12";"Michelin";"343";"4674.747";"";""
"2007";"6";"GT1";"63";"USA";"Corvette Racing";"USA|DNK|CAN";"Johnny O'Connell|Jan Magnussen|Ron Fellows";"Chevrolet Corvette C6.R";"Chevrolet LS7-R 7.0L V8";"Michelin";"342";"4661.118";"";""
"2007";"7";"GT1";"8";"FRA";"Aston Martin Racing Larbre";"FRA|ITA|DNK";"Christophe Bouchut|Fabrizio Gollin|Casper Elgaard";"Aston Martin DBR9";"Aston Martin 6.0L V12";"Michelin";"341";"4647.489";"";""
"2007";"8";"LMP1";"15";"CZE";"Charouz Racing System";"CZE|DEU|MYS";"Jan Charouz|Stefan Mücke|Alex Yoong";"Lola B07/17";"Judd GV5.5 S2 5.5L V10";"Michelin";"338";"4606.602";"";""
"2007";"9";"GT1";"7";"GBR";"Aston Martin Racing";"GBR|NLD|CZE";"Johnny Herbert|Peter Kox|Tomáš Enge";"Aston Martin DBR9";"Aston Martin 6.0L V12";"Michelin";"337";"4592.973";"";""
"2007";"10";"GT1";"54";"FRA";"Team Oreca";"FRA|FRA|FRA";"Laurent Groppi|Nicolas Prost|Jean-Philippe Belloc";"Saleen S7-R";"Ford 7.0L V8";"Michelin";"337";"4592.973";"";""
