"Year";"Pos";"Class";"No";"TeamCtry";"Team";"DrCtry";"Drivers";"Chassis";"Engine";"Tyres";"Laps";"Distance";"Time";"Reason"
"1976";"1";"S3.0";"20";"DEU";"Martini Racing Porsche System";"BEL|NLD";"Jacky Ickx|Gijs van Lennep";"Porsche 936";"Porsche Type-935 2.1L Turbo Flat-6";"Goodyear";"349";"4769.923";"";""
"1976";"2";"S3.0";"10";"USA";"Grand Touring Cars Inc.";"FRA|FRA";"Jean-Louis Lafosse|François Migault";"Mirage GR8";"Ford Cosworth DFV 3.0L V8";"Goodyear";"338";"4620.794";"";""
"1976";"3";"S3.0";"12";"GBR";"Alain de Cadenet";"GBR|GBR";"Alain de Cadenet|Chris Craft";"De Cadenet-Lola T380";"Ford Cosworth DFV 3.0L V8";"Goodyear";"337";"4603.891";"";""
"1976";"4";"Gr.5";"40";"DEU";"Martini Racing Porsche System";"DEU|LIE";"Rolf Stommelen|Manfred Schurti";"Porsche 935";"Porsche Type-935 2.9L Turbo Flat-6";"Dunlop";"331";"4521.291";"";""
"1976";"5";"S3.0";"11";"USA";"Grand Touring Cars Inc.";"GBR|AUS";"Derek Bell|Vern Schuppan";"Mirage GR8";"Ford Cosworth DFV 3.0L V8";"Goodyear";"326";"4460.056";"";""
"1976";"6";"Gr.5";"52";"FRA";"Gérard Méo";"FRA|FRA";"Raymond Touroul|Alain Cudini";"Porsche 911 Carrera RSR";"Porsche 3.0L Flat-6";"Dunlop";"314";"4288.834";"";""
"1976";"7";"S3.0";"17";"DEU";"Joest Racing Team";"DEU|DEU";"Ernst Kraus|Günther Steckkönig";"Porsche 908/3";"Porsche Type-935 2.1L Turbo Flat-6";"Goodyear";"313";"4276.876";"";""
"1976";"8";"GTP";"1";"FRA";"Inaltera";"FRA|FRA";"Jean-Pierre Beltoise|Henri Pescarolo";"Inaltera LM";"Ford Cosworth DFV 3.0L V8";"Michelin";"305";"4164.288";"";""
"1976";"9";"Gr.5";"63";"DEU";"Evon Evertz K.G.";"DEU|DEU";"Heinz Martin|Hartwig Bertrams";"Porsche 911 Carrera RSR";"Porsche 3.0L Flat-6";"Dunlop";"302";"4131.746";"";""
"1976";"10";"Gr.5";"42";"DEU";"BMW Motorsport GmbH / Alpina";"DEU|USA|BEL";"Harald Grohs|Sam Posey|Baron Hughes de Fierlandt";"BMW 3.5CSL";"BMW 3.5L I6";"Goodyear";"299";"4080.746";"";""
"1976";"11";"Gr.5";"54";"FRA";"Louis Meznarie";"FRA|FRA|DEU";"Hubert Striebig|Mme Anne-Charlotte Verney|Helmut Kirschoffer";"Porsche 934";"Porsche 3.0L Turbo Flat-6";"Dunlop";"298";"4068.501";"";""
"1976";"12";"GT";"71";"FRA";"Ségolen";"FRA|FRA|FRA";"""Ségolen"" (André Gahinet)|Michel Ouvière|Jean-Yves Gadal";"Porsche 911 Carrera RSR";"Porsche 3.0L Flat-6";"Michelin";"292";"3987.932";"";""
"1976";"13";"Gr.5";"53";"FRA";"ASA Cachia";"FRA|FRA|FRA";"Thierry Sabine|Philippe Dagoreau|Jean-Claude Andruet";"Porsche 911 Carrera RS";"Porsche 3.0L Flat-6";"Dunlop";"288";"3930.146";"";""
"1976";"14";"IMSA";"77";"USA";"Tom Vaugh";"USA|USA|FRA";"Tom Vaugh|John Rulon-Miller|Jean-Pierre Laffeach";"Porsche 911 Carrera RSR";"Porsche 3.0L Flat-6";"Goodyear";"283";"3866.517";"";""
"1976";"15";"S2.0";"35";"FRA|CHE";"Daniel Brillat|Georges Morand";"CHE|CHE|CHE";"Georges Morand|François Trisconi|André Chevalley";"Lola T292";"Ford Cosworth 2.0L I4";"Dunlop";"279";"3815.003";"";""
"1976";"16";"GT";"57";"DEU";"Gelo Racing Team";"AUS|NLD";"Tim Schenken|Toine Hezemans";"Porsche 934";"Porsche 3.0L Turbo Flat-6";"Goodyear";"277";"3791.731";"";""
"1976";"17";"GT";"67";"FRA";"Joël Laplacette";"FRA|FRA|FRA";"Joël Laplacette|Alain Leroux|Georges Bourdillat";"Porsche 911 Carrera RSR";"Porsche 3.0L Flat-6";"Michelin";"273";"3736.567";"";""
"1976";"18";"Gr.5";"50";"FRA";"Thierry Perrier";"FRA|FRA|FRA";"Thierry Perrier|Guy de Saint-Pierre|Mme Martine Rénier";"Porsche 911 Carrera RSR";"Porsche 3.0L Flat-6";"Dunlop";"273";"3726.261";"";""
"1976";"19";"GT";"65";"DEU";"Porsche Kremer Racing";"FRA|FRA|FRA";"Mme Marie-Claude Beaumont|Didier Pironi|Bob Wollek";"Porsche 934";"Porsche 3.0L Turbo Flat-6";"Goodyear";"270";"3683.952";"";""
"1976";"20";"GTP";"3";"FRA";"Aseptogyl";"FRA|ITA";"Mme Christine Dacremont|Mme Lella Lombardi";"Lancia Stratos";"Ferrari Dino 2.4L Turbo V6";"Michelin";"265";"3627.955";"";""
"1976";"21";"GTP";"2";"FRA";"Inaltera";"BEL|FRA|FRA";"Mme Christine Beckers|Jean-Pierre Jaussaud|Jean Rondeau";"Inaltera LM";"Ford Cosworth DFV 3.0L V8";"Michelin";"264";"3605.029";"";""
"1976";"22";"S2.0";"31";"GBR";"Chandler Ibec";"GBR|GBR|GBR|GBR";"Tony Birchenhough|Ian Bracey|Simon Phillips|Brian Joscelyne";"Lola T290/4";"Ford Cosworth FVC 2.0L I4";"Goodyear";"252";"3450.434";"";""
"1976";"23";"Gr.5";"55";"FRA";"Almeras Fréres";"FRA|FRA";"Christian Poirot|René Boubet";"Porsche 911 Carrera RSR";"Porsche 3.0L Flat-6";"Dunlop";"245";"3355.105";"";""
"1976";"24";"T";"95";"FRA";"Jean-Louis Ravenel";"FRA|FRA|FRA";"Jean-Louis Ravenel|Jean Ravenel|Jean-Marie Détrin";"BMW 3.0CSL";"BMW 3.0L I6";"Dunlop";"237";"3233.555";"";""
"1976";"NC";"S2.0";"30";"FRA";"Jean-Marie Lemerle";"FRA|FRA|FRA";"Jean-Marie Lemerle|Alain Lévie|Patrick Daire";"Lola T294";"ROC-Simca 2.0L I4";"Goodyear";"218";"2986.499";"";"Insufficient distance"
"1976";"NC";"GT";"61";"FRA";"ASA Cachia";"FRA|FRA|FRA";"Jean-Claude Andruet|Henri Cachia|Jacques Borras";"Porsche 934";"Porsche 3.0L Turbo Flat-6";"Dunlop";"203";"2774.496";"";"Insufficient distance"
"1976";"NC";"GT";"70";"BEL";"Beurlys";"BEL|GBR|AUS";"Jean Blaton|Nick Faure|John Goss";"Porsche 934";"Porsche 3.0L Turbo Flat-6";"Dunlop";"168";"2303.036";"";"Insufficient distance"
"1976";"DNF";"Gr.5";"47";"DEU";"Porsche Kremer Racing";"MEX|MEX|MEX|DEU";"Juan Carlos Bolaños|Eduardo Lopez Negrete|Billy Sprowls|Hans Heyer";"Porsche 935";"Porsche Type-935 2.8L Turbo Flat-6";"Goodyear";"272";"3710.080";"23:00:00";"Fire"
"1976";"DNF";"GT";"58";"CHE";"G.V.E.A. Porsche Club Romand";"CHE|CHE|CHE";"Bernard Cheneviére|Peter Zbinden|Nicolas Bührer";"Porsche 934";"Porsche 3.0L Turbo Flat-6";"Michelin";"270";"3682.800";"22:00:00";"Engine (valve)"
"1976";"DNF";"S2.0";"26";"FRA";"Societé ROC";"FRA|FRA|FRA";"Alain Flotard|Fred Stalder|Albert Dufréne";"Chevron B36";"ROC-Simca 2.0L I4";"Goodyear";"241";"3287.240";"22:00:00";"Oil pump"
"1976";"DNF";"GT";"69";"CHE";"Schiller Racing Team";"CHE|CHE";"Claude Haldi|Florian Vetsch";"Porsche 934";"Porsche 3.0L Turbo Flat-6";"Goodyear";"219";"2987.160";"18:00:00";"Engine (valves)"
"1976";"DNF";"S3.0";"18";"DEU";"Martini Racing Porsche System";"DEU|DEU";"Reinhold Joest|Jürgen Barth";"Porsche 936";"Porsche Type-935 2.1L Turbo Flat-6";"Goodyear";"218";"2973.520";"16:00:00";"Engine"
"1976";"DNF";"Gr.5";"46";"AUS";"Team Brock";"AUS|AUS|FRA";"Peter Brock|Brian Muir|Jean-Claude Aubriet";"BMW 3.5CSL";"BMW 3.5L I6";"Bridgestone";"156";"2127.840";"18:00:00";"Transmission (gearbox)"
"1976";"DNF";"IMSA";"78";"PRI";"Diego Febles Racing";"PRI|GBR|MEX";"Diego Febles|Alec Poole|Hiram Cruz";"Porsche 911 Carrera RSR";"Porsche 3.0L Flat-6";"Goodyear";"144";"1964.160";"14:00:00";"Transmission (gearbox)"
"1976";"DNF";"S3.0";"19";"FRA";"Renault Sport";"FRA|FRA|FRA";"Jean-Pierre Jabouille|Patrick Tambay|José Dolhem";"Renault Alpine A442";"Renault 2.0L Turbo V6";"Michelin";"135";"1841.400";"10:00:00";"Engine (piston)"
"1976";"DNF";"Gr.5";"44";"FRA";"A.S.P.M. - Tanday Music";"FRA|FRA";"Jean-Claude Justice|Jean Bélin";"BMW 3.5CSL";"BMW 3.5L I6";"Dunlop";"128";"1745.920";"12:00:00";"Engine (head gasket)"
