"Year";"Pos";"Class";"No";"TeamCtry";"Team";"DrCtry";"Drivers";"Chassis";"Engine";"Tyres";"Laps";"Distance";"Time";"Reason"
"2014";"1";"LMP1-H";"2";"DEU";"Audi Sport Team Joest";"DEU|CHE|FRA";"Andr? Lotterer|Marcel F?ssler|Beno?t Tr?luyer";"Audi R18 e-tron quattro";"Audi TDI 4.0 L Turbo V6(Diesel)";"Michelin";"379";"5167.130";"24:01:59.830";""
"2014";"2";"LMP1-H";"1";"DEU";"Audi Sport Team Joest";"DNK|ESP|BRA";"Tom Kristensen|Marc Gené|Lucas di Grassi";"Audi R18 e-tron quattro";"Audi TDI 4.0 L Turbo V6(Diesel)";"Michelin";"376";"5126.420";"";""
"2014";"3";"LMP1-H";"8";"JPN";"Toyota Racing";"GBR|CHE|FRA";"Anthony Davidson|Sébastien Buemi|Nicolas Lapierre";"Toyota TS040 Hybrid";"Toyota 3.7 L V8";"Michelin";"374";"5099.100";"";""
"2014";"4";"LMP1-L";"12";"CHE";"Rebellion Racing";"FRA|DEU|CHE";"Nico Prost|Nick Heidfeld|Mathias Beche";"Rebellion R-One";"Toyota RV8KLM 3.4 L V8";"Michelin";"360";"4908.720";"";""
"2014";"5";"LMP2";"38";"GBR";"Jota Sport";"GBR|GBR|GBR";"Simon Dolan|Harry Tincknell|Oliver Turvey";"Zytek Z11SN";"Nissan VK45DE 4.5 L V8";"Dunlop";"356";"4854.020";"";""
"2014";"6";"LMP2";"46";"FRA";"Thiriet by TDS Racing";"FRA|FRA|FRA";"Pierre Thiriet|Ludovic Badey|Tristan Gommendy";"Ligier JS P2";"Nissan VK45DE 4.5 L V8";"Dunlop";"355";"4840.390";"";""
"2014";"7";"LMP2";"36";"FRA";"Signatech Alpine";"FRA|FRA|GBR";"Paul-Loup Chatin|Nelson Panciatici|Oliver Webb";"Alpine A450b";"Nissan VK45DE 4.5 L V8";"Dunlop";"355";"4840.270";"";""
"2014";"8";"LMP2";"24";"FRA";"Sébastien Loeb Racing";"DEU|CZE|FRA";"René Rast|Jan Charouz|Vincent Capillaire";"Oreca 03R";"Nissan VK45DE 4.5 L V8";"Michelin";"354";"4826.760";"";""
"2014";"9";"LMP2";"35";"FRA";"OAK Racing";"GBR|GBR|RUS";"Alex Brundle|Jann Mardenborough|Mark Shulzhitskiy";"Ligier JS P2";"Nissan VK45DE 4.5 L V8";"Dunlop";"354";"4826.700";"";""
"2014";"10";"LMP2";"43";"CHE";"Newblood by Morand Racing";"CHE|FRA|AUT";"Gary Hirsch|Romain Brandela|Christian Klien";"Morgan LMP2";"Judd HK 3.6 L V8";"Dunlop";"352";"4799.440";"";""
"2014";"11";"LMP1-H";"14";"DEU";"Porsche Team";"DEU|FRA|CHE";"Marc Lieb|Romain Dumas|Neel Jani";"Porsche 919 Hybrid";"Porsche 2.0 L Turbo V4";"Michelin";"348";"4744.510";"";""
"2014";"12";"LMP2";"33";"FRA";"OAK Racing-Team Asia";"CHN|CHN|CHN";"David Cheng|Ho-Pin Tung|Adderly Fong";"Ligier JS P2";"Honda HR28TT 2.8 L Turbo V6";"Michelin";"347";"4731.300";"";""
"2014";"13";"LMP2";"34";"CHE";"Race Performance";"CHE|FRA|GBR";"Michel Frey|Franck Mailleux|Jon Lancaster";"Oreca 03R";"Judd HK 3.6 L V8";"Dunlop";"342";"4663.330";"";""
"2014";"14";"LMP2";"50";"FRA";"Larbre Compétition";"FRA|JPN|USA";"Pierre Ragues|Miss Keiko Ihara|Ricky Taylor";"Morgan LMP2";"Judd HK 3.6 L V8";"Michelin";"341";"4649.700";"";""
"2014";"15";"LMGTEPro";"51";"ITA";"AF Corse";"ITA|ITA|FIN";"Gianmaria Bruni|Giancarlo Fisichella|Toni Vilander";"Ferrari 458 Italia GT2";"Ferrari 4.5 L V8";"Michelin";"339";"4621.850";"";""
"2014";"16";"LMGTEPro";"73";"USA";"Corvette Racing";"DNK|ESP|USA";"Jan Magnussen|Antonio García|Jordan Taylor";"Chevrolet Corvette C7.R";"Chevrolet 5.5 L V8";"Michelin";"338";"4608.160";"";""
"2014";"17";"LMGTEPro";"92";"DEU";"Porsche Team Manthey";"DEU|FRA|AUT";"Marco Holzer|Frédéric Makowiecki|Richard Lietz";"Porsche 911 RSR";"Porsche 4.0 L Flat-6";"Michelin";"337";"4594.650";"";""
"2014";"18";"LMP2";"29";"DEU";"Pegasus Racing";"FRA|FRA|CHE";"Julien Schell|Léo Roussel|Nicolas Leutwiler";"Morgan LMP2";"Nissan VK45DE 4.5 L V8";"Dunlop";"336";"4581.740";"";""
"2014";"19";"LMGTEAm";"95";"GBR";"Aston Martin Racing";"DNK|DNK|DNK";"David Heinemeier Hansson|Kristian Poulsen|Nicki Thiim";"Aston Martin V8 Vantage GTE";"Aston Martin 4.5 L V8";"Michelin";"334";"4553.580";"";""
"2014";"20";"LMGTEPro";"74";"USA";"Corvette Racing";"USA|GBR|GBR";"Tommy Milner|Oliver Gavin|Richard Westbrook";"Chevrolet Corvette C7.R";"Chevrolet 5.5 L V8";"Michelin";"333";"4540.070";"";""
"2014";"21";"LMGTEAm";"88";"DEU";"Proton Competition";"DEU|AUT|ARE";"Christian Ried|Klaus Bachler|Khaled Al Qubaisi";"Porsche 911 RSR";"Porsche 4.0 L Flat-6";"Michelin";"332";"4526.320";"";""
"2014";"22";"LMGTEAm";"61";"ITA";"AF Corse";"ARG|ITA|ITA";"Luís Pérez Companc|Marco Cioci|Mirko Venturi";"Ferrari 458 Italia GT2";"Ferrari 4.5 L V8";"Michelin";"331";"4512.630";"";""
"2014";"23";"LMGTEAm";"90";"USA";"8 Star Motorsports";"USA|ITA|ITA";"Frankie Montecalvo|Paolo Ruberti|Gianluca Roda";"Ferrari 458 Italia GT2";"Ferrari 4.5 L V8";"Michelin";"330";"4499.130";"";""
"2014";"24";"LMGTEAm";"77";"USA";"Dempsey Racing-Proton";"USA|USA|USA";"Patrick Dempsey|Joe Foster|Patrick Long";"Porsche 911 RSR";"Porsche 4.0 L Flat-6";"Michelin";"329";"4485.440";"";""
"2014";"25";"LMP2";"42";"MYS";"Caterham Racing";"GBR|USA|USA";"Tom Kimber-Smith|Chris Dyson|Matt McMurry";"Zytek Z11SN";"Nissan VK45DE 4.5 L V8";"Dunlop";"329";"4485.920";"";""
"2014";"26";"LMGTEAm";"98";"GBR";"Aston Martin Racing";"CAN|PRT|DNK";"Paul Dalla Lana|Pedro Lamy|Christoffer Nygaard";"Aston Martin V8 Vantage GTE";"Aston Martin 4.5 L V8";"Michelin";"329";"4485.380";"";""
"2014";"27";"LMGTEAm";"66";"GBR";"JMW Motorsport";"SAU|USA|USA";"Abdulaziz Al Faisal|Seth Neiman|Spencer Pumpelly";"Ferrari 458 Italia GT2";"Ferrari 4.5 L V8";"Michelin";"327";"4458.180";"";""
"2014";"28";"LMGTEAm";"70";"JPN";"Team Taisan";"JPN|GBR|DEU";"Shinji Nakano|Martin Rich|Pierre Ehret";"Ferrari 458 Italia GT2";"Ferrari 4.5 L V8";"Michelin";"327";"4458.180";"";""
"2014";"29";"LMGTEAm";"58";"FRA";"Team Sofrev ASP";"FRA|FRA|FRA";"Anthony Pons|Soheil Ayari|Fabien Barthez";"Ferrari 458 Italia GT2";"Ferrari 4.5 L V8";"Michelin";"325";"4430.980";"";""
"2014";"30";"LMGTEAm";"57";"USA";"Krohn Racing";"USA|SWE|GBR";"Tracy Krohn|Niclas Jönsson|Ben Collins";"Ferrari 458 Italia GT2";"Ferrari 4.5 L V8";"Michelin";"324";"4417.290";"";""
"2014";"31";"LMGTEAm";"76";"FRA";"IMSA Performance Matmut";"FRA|FRA|FRA";"Raymond Narac|Nicolas Armindo|David Hallyday";"Porsche 997 GT3-RSR";"Porsche 4.0 L Flat-6";"Michelin";"323";"4403.720";"";""
"2014";"32";"LMGTEAm";"53";"GBR";"Ram Racing";"GBR|GBR|USA";"Johnny Mowlem|Archie Hamilton|Mark Patterson";"Ferrari 458 Italia GT2";"Ferrari 4.5 L V8";"Michelin";"319";"4349.090";"";""
