"Year";"Pos";"Class";"No";"TeamCtry";"Team";"DrCtry";"Drivers";"Chassis";"Engine";"Tyres";"Laps";"Distance";"Time";"Reason"
"1993";"1";"C1";"3";"FRA";"Peugeot Talbot Sport";"FRA|FRA|AUS";"?ric H?lary|Christophe Bouchut|Geoff Brabham";"Peugeot 905 Evo 1B";"Peugeot SA35 3.5 L V10";"Michelin";"375";"5100.000";"23:54:12.590";""
"1993";"2";"C1";"1";"FRA";"Peugeot Talbot Sport";"BEL|FRA|ITA";"Thierry Boutsen|Yannick Dalmas|Teo Fabi";"Peugeot 905 Evo 1B";"Peugeot SA35 3.5L V10";"Michelin";"374";"5086.400";"";""
"1993";"3";"C1";"2";"FRA";"Peugeot Talbot Sport";"FRA|ITA|FRA";"Philippe Alliot|Mauro Baldi|Jean-Pierre Jabouille";"Peugeot 905 Evo 1B";"Peugeot SA35 3.5L V10";"Michelin";"367";"4991.200";"";""
"1993";"4";"C1";"36";"JPN";"Toyota Team Tom's";"GBR|JPN|JPN";"Eddie Irvine|Toshio Suzuki|Masanori Sekiya";"Toyota TS010";"Toyota RV10 3.5 L V10";"Michelin";"364";"4950.400";"";""
"1993";"5";"C2";"22";"JPN|JPN";"Y's Racing Team|SARD Co. Ltd.";"AUT|ITA|JPN";"Roland Ratzenberger|Mauro Martini|Naoki Nagasaka";"Toyota 93C-V";"Toyota R36V 3.6 L Turbo V8";"Dunlop";"363";"4936.800";"";""
"1993";"6";"C2";"25";"JPN";"Nisso Trust Racing Team";"ZAF|SWE|SWE";"George Fouché|Eje Elgh|Steven Andskär";"Toyota 93C-V";"Toyota R36V 3.6 L Turbo V8";"Dunlop";"358";"4868.800";"";""
"1993";"7";"C2";"21";"DEU";"Obermaier Racing GmbH";"DEU|DEU|CHE";"Otto Altenbach|Jürgen Oppermann|Loris Kessel";"Porsche 962C";"Porsche Type-935 3.0 L Turbo Flat-6";"Goodyear";"355";"4828.000";"";""
"1993";"8";"C1";"38";"JPN";"Toyota Team Tom's";"GBR|NLD|ARG";"Geoff Lees|Jan Lammers|Juan Manuel Fangio II";"Toyota TS010";"Toyota RV10 3.5 L V10";"Michelin";"353";"4800.800";"";""
"1993";"9";"C2";"18";"DEU";"Joest Porsche Racing";"FRA|FRA|DEU";"Bob Wollek|Henri Pescarolo|Ronny Meixner";"Porsche 962C";"Porsche Type-935 3.0 L Turbo Flat-6";"Goodyear";"351";"4773.600";"";""
"1993";"10";"C2";"14";"FRA";"Courage Compétition";"GBR|FRA|FRA";"Derek Bell|Lionel Robert|Pascal Fabre";"Courage C30LM";"Porsche Type-935 3.0 L Turbo Flat-6";"Goodyear";"347";"4719.200";"";""
