"Year";"Pos";"Class";"No";"TeamCtry";"Team";"DrCtry";"Drivers";"Chassis";"Engine";"Tyres";"Laps";"Distance";"Time";"Reason"
"2017";"1";"LMP1";"2";"DEU";"Porsche LMP Team";"DEU|NZL|NZL";"Timo Bernhard|Brendon Hartley|Earl Bamber";"Porsche 919 Hybrid";"Porsche 2.0 L Turbo V4";"Michelin";"367";"5001.230";"24:01:14.075";""
"2017";"2";"LMP2";"38";"CHN";"Jackie Chan DC Racing";"CHN|FRA|GBR";"Ho-Pin Tung|Thomas Laurent|Oliver Jarvis";"Oreca 07";"Gibson GK428 4.2 L V8";"Dunlop";"366";"4987.410";"24:01:41.080";""
"2017";"3";"LMP2";"37";"CHN";"Jackie Chan DC Racing";"USA|FRA|GBR";"David Cheng|Tristan Gommendy|Alex Brundle";"Oreca 07";"Gibson GK428 4.2 L V8";"Dunlop";"363";"4946.550";"24:01:41.097";""
"2017";"4";"LMP2";"35";"FRA";"Signatech Alpine Matmut";"FRA|FRA|BRA";"Nelson Panciatici|Pierre Ragues|André Negrão";"Alpine A470";"Gibson GK428 4.2 L V8";"Dunlop";"362";"4932.850";"24:01:14.873";""
"2017";"5";"LMP2";"32";"USA";"United Autosports";"USA|CHE|PRT";"William Owen|Hugo de Sadeleer|Filipe Albuquerque";"Ligier JS P217";"Gibson GK428 4.2 L V8";"Dunlop";"362";"4932.940";"24:04:46.653";""
"2017";"6";"LMP2";"40";"FRA";"Graff";"AUS|GBR|FRA";"James Allen|Richard Bradley|Franck Matelli";"Oreca 07";"Gibson GK428 4.2 L V8";"Dunlop";"361";"4919.310";"24:04:37.555";""
"2017";"7";"LMP2";"24";"CHN";"CEFC Manor TRS Racing";"THA|CHE|FRA";"Tor Graves|Jonathan Hirschi|Jean-Éric Vergne";"Oreca 07";"Gibson GK428 4.2 L V8";"Dunlop";"360";"4905.660";"24:02:24.553";""
"2017";"8";"LMP1";"8";"JPN";"Toyota Gazoo Racing";"CHE|JPN|GBR";"Sébastien Buemi|Kazuki Nakajima|Anthony Davidson";"Toyota TS050 Hybrid";"Toyota 2.4 L Turbo V6";"Michelin";"358";"4878.610";"24:02:05.621";""
"2017";"9";"LMP2";"47";"ITA";"Cetilar Villorba Corse";"ITA|ITA|ITA";"Andrea Belicchi|Roberto Lacorte|Giorgio Sernagiotto";"Dallara P217";"Gibson GK428 4.2 L V8";"Dunlop";"353";"4810.280";"24:02:37.198";""
"2017";"10";"LMP2";"36";"FRA";"Signatech Alpine Matmut";"FRA|USA|GBR";"Romain Dumas|Gustavo Menezes|Matt Rao";"Alpine A470";"Gibson GK428 4.2 L V8";"Dunlop";"351";"4782.980";"24:03:52.052";""
"2017";"11";"LMP2";"34";"GBR";"Tockwith Motorsports";"GBR|GBR|IND";"Philip Hanson|Nigel Moore|Karun Chandhok";"Ligier JS P217";"Gibson GK428 4.2 L V8";"Dunlop";"351";"4783.020";"24:04:49.751";""
"2017";"12";"LMP2";"17";"FRA";"IDEC Sport Racing";"FRA|FRA|FRA";"Patrice Lafargue|Paul Lafargue|David Zollinger";"Ligier JS P217";"Gibson GK428 4.2 L V8";"Michelin";"344";"4687.570";"24:02:03.096";""
"2017";"13";"LMP2";"29";"NLD";"Racing Team Nederland";"BRA|NLD|NLD";"Rubens Barrichello|Jan Lammers|Frits van Eerd";"Dallara P217";"Gibson GK428 4.2 L V8";"Dunlop";"344";"4687.590";"24:02:23.011";""
"2017";"14";"LMP2";"21";"USA";"DragonSpeed - 10 Star";"SWE|SWE|GBR";"Henrik Hedman|Felix Rosenqvist|Ben Hanley";"Oreca 07";"Gibson GK428 4.2 L V8";"Dunlop";"343";"4673.990";"24:03:10.915";""
"2017";"15";"LMP2";"33";"PHL";"Eurasia Motorsport";"FRA|FRA|FRA";"Jacques Nicolet|Pierre Nicolet|Erik Maris";"Ligier JS P217";"Gibson GK428 4.2 L V8";"Dunlop";"341";"4646.710";"24:01:16.286";""
"2017";"16";"LMP2";"31";"CHE";"Vaillante Rebellion";"BRA|FRA|FRA";"Bruno Senna|Nicolas Prost|Julien Canal";"Oreca 07";"Gibson GK428 4.2 L V8";"Dunlop";"340";"4633.080";"24:03:26.270";""
"2017";"17";"LMGTEPro";"97";"GBR";"Aston Martin Racing";"GBR|GBR|BRA";"Darren Turner|Jonathan Adam|Daniel Serra";"Aston Martin Vantage GTE";"Aston Martin 4.5 L V8";"Dunlop";"340";"4633.350";"24:03:35.578";""
"2017";"18";"LMGTEPro";"67";"USA";"Ford Chip Ganassi Team UK";"GBR|GBR|BRA";"Harry Tincknell|Andy Priaulx|Pipo Derani";"Ford GT";"Ford EcoBoost 3.5 L Turbo V6";"Michelin";"340";"4633.330";"24:05:08.283";""
"2017";"19";"LMGTEPro";"63";"USA";"Corvette Racing-GM";"DNK|ESP|USA";"Jan Magnussen|Antonio García|Jordan Taylor";"Chevrolet Corvette C7.R";"Chevrolet 5.5 L V8";"Michelin";"340";"4633.330";"24:05:11.927";""
"2017";"20";"LMGTEPro";"91";"DEU";"Porsche GT Team";"AUT|FRA|FRA";"Richard Lietz|Frédéric Makowiecki|Patrick Pilet";"Porsche 911 RSR";"Porsche 4.0 L Flat-6";"Michelin";"339";"4619.680";"24:02:01.725";""
"2017";"21";"LMGTEPro";"71";"ITA";"AF Corse";"ITA|GBR|ESP";"Davide Rigon|Sam Bird|Miguel Molina";"Ferrari 488 GTE";"Ferrari F154CB 3.9 L Turbo V8";"Michelin";"339";"4619.680";"24:03:07.323";""
"2017";"22";"LMGTEPro";"68";"USA";"Ford Chip Ganassi Team USA";"USA|BRA|DEU";"Joey Hand|Tony Kanaan|Dirk Müller";"Ford GT";"Ford EcoBoost 3.5 L Turbo V6";"Michelin";"339";"4619.700";"24:04:38.154";""
"2017";"23";"LMGTEPro";"69";"USA";"Ford Chip Ganassi Team USA";"AUS|NZL|GBR";"Ryan Briscoe|Scott Dixon|Richard Westbrook";"Ford GT";"Ford EcoBoost 3.5 L Turbo V6";"Michelin";"337";"4592.420";"24:04:03.586";""
