"Year";"Pos";"Class";"No";"TeamCtry";"Team";"DrCtry";"Drivers";"Chassis";"Engine";"Tyres";"Laps";"Distance";"Time";"Reason"
"1996";"1";"LMP1";"7";"DEU";"Joest Racing";"USA|AUT|DEU";"Davy Jones|Alexander Wurz|Manuel Reuter";"TWR Porsche WSC-95";"Porsche Type-935 3.0L Turbo Flat-6";"Goodyear";"354";"4814.400";"";""
"1996";"2";"GT1";"25";"DEU";"Porsche AG";"DEU|BEL|FRA";"Hans-Joachim Stuck|Thierry Boutsen|Bob Wollek";"Porsche 911 GT1";"Porsche 3.2L Turbo Flat-6";"Michelin";"353";"4800.800";"";""
"1996";"3";"GT1";"26";"DEU";"Porsche AG";"AUT|FRA|CAN";"Karl Wendlinger|Yannick Dalmas|Scott Goodyear";"Porsche 911 GT1";"Porsche 3.2L Turbo Flat-6";"Michelin";"341";"4637.600";"";""
"1996";"4";"GT1";"30";"GBR|GBR";"West Competition|David Price Racing";"DNK|DEU|NLD";"John Nielsen|Dr. Thomas Bscher|Peter Kox";"McLaren F1 GTR";"BMW S70 6.1L V12";"Goodyear";"338";"4596.800";"";""
"1996";"5";"GT1";"34";"GBR|GBR";"Gulf Racing|GTC Racing";"FRA|GBR|AUS";"Pierre-Henri Raphanel|Lindsay Owen-Jones|David Brabham";"McLaren F1 GTR";"BMW S70 6.1L V12";"Michelin";"335";"4556.000";"";""
"1996";"6";"GT1";"29";"GBR|GBR";"Harrods Mach One Racing|David Price Racing";"GBR|FRA|GBR";"Andy Wallace|Olivier Grouillard|Derek Bell";"McLaren F1 GTR";"BMW S70 6.1L V12";"Goodyear";"328";"4460.800";"";""
"1996";"7";"LMP1";"5";"FRA";"La Filière Elf";"FRA|FRA|FRA";"Henri Pescarolo|Franck Lagorce|Emmanuel Collard";"Courage C36";"Porsche Type-935 3.0L Turbo Flat-6";"Michelin";"327";"4447.200";"";""
"1996";"8";"GT1";"39";"ITA|DEU";"Team Bigazzi SRL|Team BMW Motorsport";"BRA|VEN|USA";"Nelson Piquet|Johnny Cecotto|Danny Sullivan";"McLaren F1 GTR";"BMW S70 6.1L V12";"Michelin";"324";"4406.400";"";""
"1996";"9";"GT1";"33";"GBR|GBR";"Gulf Racing|GTC Racing";"GBR|GBR|FIN";"Ray Bellm|James Weaver|""JJ Lehto"" Jyrki Juhani Järvilehto";"McLaren F1 GTR";"BMW S70 6.1L V12";"Michelin";"323";"4392.800";"";""
"1996";"10";"GT1";"48";"USA";"Canaska Southwind Motorsport";"USA|USA|USA";"Price Cobb|Shawn Hendricks|Mark Dismore";"Chrysler Viper GTS-R";"Chrysler 356-T6 8.0L V10";"Michelin";"320";"4352.000";"";""
"1996";"11";"GT1";"38";"ITA|DEU";"Team Bigazzi SRL|Team BMW Motorsport";"FRA|GBR|BEL";"Jacques Laffite|Steve Soper|Marc Duez";"McLaren F1 GTR";"BMW S70 6.1L V12";"Michelin";"318";"4324.800";"";""
"1996";"12";"GT2";"79";"DEU";"Roock Racing Team";"FRA|DEU|CHE";"Guy Martinolle|Ralf Kelleners|Bruno Eichmann";"Porsche 911 GT2";"Porsche 3.6L Turbo Flat-6";"Michelin";"317";"4311.200";"";""
"1996";"13";"LMP1";"4";"FRA";"Courage Compétition";"USA|NLD|GBR";"Mario Andretti|Jan Lammers|Derek Warwick";"Courage C36";"Porsche Type-935 3.0L Turbo Flat-6";"Michelin";"315";"4284.000";"";""
"1996";"14";"GT2";"71";"NZL|GBR";"New Hardware Racing|Parr Motorsport";"NZL|NZL|GBR";"Bill Farmer|Greg Murphy|Robert Nearn";"Porsche 911 GT2";"Porsche 3.6L Turbo Flat-6";"Pirelli";"313";"4256.800";"";""
"1996";"15";"GT1";"23";"JPN";"NISMO";"JPN|JPN|JPN";"Kazuyoshi Hoshino|Masahiro Hasemi|Toshio Suzuki";"Nissan Skyline GT-R LM";"Nissan 2.8L Turbo I6";"Bridgestone";"307";"4175.200";"";""
"1996";"16";"GT2";"75";"JPN";"Team Kunimitsu Honda";"JPN|JPN|JPN";"Kunimitsu Takahashi|Keiichi Tsuchiya|Akira Iida";"Honda NSX";"Honda 3.0L V6";"Yokohama";"305";"4148.000";"";""
"1996";"17";"GT2";"83";"NZL|GBR";"New Hardware Racing|Parr Motorsport";"MCO|USA|NZL";"Stéphane Ortelli|Andy Pilgrim|Andrew Bagnall";"Porsche 911 GT2";"Porsche 3.6L Turbo Flat-6";"Pirelli";"299";"4066.400";"";""
"1996";"18";"GT2";"77";"DEU";"Seikel Motorsport";"FRA|AUT|JPN";"Guy Fuster|Manfred Jurasz|Takaji Suzuki";"Porsche 911 GT2";"Porsche 3.6L Turbo Flat-6";"Pirelli";"297";"4039.200";"";""
"1996";"19";"GT1";"28";"GBR";"Newcastle United Lister";"GBR|GBR|GBR";"Geoff Lees|Tiff Needell|Anthony Reid";"Lister Storm GTS";"Jaguar 7.0L V12";"Michelin";"295";"4012.000";"";""
"1996";"20";"GT2";"82";"FRA";"Larbre Compétition";"FRA|DEU|FRA";"Patrice Goueslard|André Ahrlé|Patrick Bourdais";"Porsche 911 GT2";"Porsche 3.6L Turbo Flat-6";"Michelin";"284";"3862.400";"";""
"1996";"21";"GT1";"50";"FRA";"Viper Team Oreca";"FRA|FRA|FRA";"Philippe Gache|Éric Hélary|Olivier Beretta";"Chrysler Viper GTS-R";"Chrysler 356-T6 8.0L V10";"Michelin";"283";"3848.800";"";""
"1996";"22";"GT1";"27";"FRA|FRA";"Chéreau Sports|Larbre Compétition";"FRA|FRA|FRA";"Jean-Luc Chéreau|Pierre Yver|Jack Leconte";"Porsche 911 GT2 Evo";"Porsche 3.6L Turbo Flat-6";"Michelin";"279";"3794.400";"";""
"1996";"23";"GT1";"49";"USA";"Canaska Southwind Motorsport";"FRA|CAN|USA";"Alain Cudini|Victor Sifton|John Morton";"Chrysler Viper GTS-R";"Chrysler 356-T6 8.0L V10";"Michelin";"269";"3658.400";"";""
"1996";"24";"GT1";"46";"JPN";"Team Menicon SARD Co. Ltd.";"FRA|ITA|FRA";"Alain Ferté|Mauro Martini|Pascal Fabre";"SARD MC8-R";"Toyota 4.0L Turbo V8";"Dunlop";"256";"3481.600";"";""
"1996";"25";"LMP2";"20";"JPN";"Mazdaspeed Co. Ltd.";"JPN|USA|FRA";"Yojiro Terada|Jim Downing|Franck Fréon";"Kudzu DLM";"Mazda 2.0L 3- Rotor";"Goodyear";"251";"3413.600";"";""
"1996";"DNF";"LMP1";"8";"DEU";"Joest Racing";"ITA|ITA|BEL";"Michele Alboreto|Pierluigi Martini|Didier Theys";"TWR Porsche WSC-95";"Porsche Type-935 3.0L Turbo Flat-6";"Goodyear";"300";"4080.000";"22:21:00";"Transmission (driveshaft)"
"1996";"DNF";"LMP2";"14";"FRA";"Welter Racing SARL";"FRA|FRA|FRA";"Patrick Gonin|Pierre Petit|Marc Rostan";"WR LM96";"Peugeot 2.0L Turbo I4";"Michelin";"221";"3005.600";"18:27:00";"Mechanical"
"1996";"DNF";"LMP1";"3";"FRA";"Courage Compétition";"FRA|FRA|FRA";"Didier Cottaz|Philippe Alliot|Jérôme Policand";"Courage C36";"Porsche Type-935 3.0L Turbo Flat-6";"Michelin";"215";"2924.000";"14:37:00";"Accident"
"1996";"DNF";"GT1";"22";"JPN";"NISMO";"JPN|JPN|JPN";"Aguri Suzuki|Masahiko Kageyama|Masahiko Kondo";"Nissan Skyline GT-R LM";"Nissan 2.8L Turbo I6";"Bridgestone";"209";"2842.400";"15:12:00";"Accident"
"1996";"DNF";"WSC";"17";"BEL|BEL";"Racing For Belgium|Team Scandia";"BEL|BEL|BEL";"Eric van de Poele|Marc Goossens|Éric Bachelart";"Ferrari 333 SP";"Ferrari F310E 4.0L V12";"Pirelli";"208";"2828.800";"15:00:00";"Accident"
"1996";"DNF";"GT1";"57";"JPN";"Team SARD Toyota Co. Ltd.";"JPN|JPN|JPN";"Masanori Sekiya|Hidetoshi Mitsusada|Masami Kageyama";"Toyota Supra LM";"Toyota 3S-GTE 2.1L Turbo I4";"Dunlop";"205";"2788.000";"17:13:00";"Accident"
"1996";"DNF";"LMP2";"15";"FRA";"Welter Racing SARL";"FRA|FRA|FRA";"William David|Sébastien Enjolras|Arnaud Trévisiol";"WR LM96";"Peugeot 2.0L Turbo I4";"Michelin";"162";"2203.200";"13:25:00";"Accident"
"1996";"DNF";"WSC";"19";"USA";"Riley & Scott Cars Inc.";"ZAF|USA|USA";"Wayne Taylor|Scott Sharp|Jim Pace";"Riley & Scott Mk III";"Oldsmobile Aurora 4.0L V8";"Pirelli";"157";"2135.200";"";"Transmission"
"1996";"DNF";"GT1";"53";"GBR|FRA";"Kokusai Kaihatsu Racing|Giroix Racing Team";"FRA|CHE|BRA";"Fabien Giroix|Jean-Denis Délétraz|Maurizio Sandro Sala";"McLaren F1 GTR";"BMW S70 6.1L V12";"Michelin";"146";"1985.600";"10:40:00";"Engine"
"1996";"DNF";"GT1";"59";"ITA|ITA";"Ennea SRL|Ferrari Club Italia";"GBR|ITA|JPN";"Robin Donovan|Piero Nappi|Tetsuya Ota";"Ferrari F40 GTE";"Ferrari F120B 3.5L Turbo V8";"Pirelli";"129";"1754.400";"11:10:00";"Clutch"
"1996";"DNF";"GT2";"74";"GBR";"Agusta Racing Team Ltd.";"ITA|ITA|FRA";"Rocky Agusta|Almo Copelli|Patrick Camus";"Callaway Corvette";"Chevrolet LT1 6.2L V8";"Dunlop";"114";"1550.400";"11:05:00";"Clutch"
"1996";"DNF";"LMP1";"1";"DEU";"Kremer Racing";"FRA|DEU|FIN";"Christophe Bouchut|Jürgen Lässig|Harri Toivonen";"Kremer K8 Spyder";"Porsche Type-935 3.0L Turbo Flat-6";"Goodyear";"110";"1496.000";"8:00:00";"Accident"
"1996";"DNF";"GT1";"37";"DEU";"Konrad Motorsport";"AUT|BRA|DEU";"Franz Konrad|Antonio Herrmann de Azevedo|Wido Rössler";"Porsche 911 GT2 Evo";"Porsche 3.6L Turbo Flat-6";"Michelin";"107";"1455.200";"7:26:00";"Fire"
"1996";"DNF";"GT1";"44";"ITA";"Ennea SRL Igol";"ITA|SWE|SWE";"Luciano Della Noce|Anders Olofsson|Carl Rosenblad";"Ferrari F40 GTE";"Ferrari F120B 3.5L Turbo V8";"Pirelli";"98";"1332.800";"6:11:00";"Engine"
"1996";"DNF";"GT1";"51";"FRA";"Viper Team Oreca";"FRA|GBR|GBR";"Dominique Dupuy|Perry McCarthy|Justin Bell";"Chrysler Viper GTS-R";"Chrysler 356-T6 8.0L V10";"Michelin";"96";"1305.600";"10:38:00";"Engine"
"1996";"DNF";"GT1";"55";"DEU";"Roock Racing Team";"FRA|ESP|GBR";"Jean-Pierre Jarier|Jesús Pareja|Dominic Chappell";"Porsche 911 GT2 Evo";"Porsche 3.6L Turbo Flat-6";"Michelin";"93";"1264.800";"10:30:00";"Engine"
"1996";"DNF";"GT1";"56";"FRA";"Pilot Pen Racing";"FRA|FRA|FRA";"Michel Ferté|Olivier Thévenin|Nicolas Leboissetier";"Ferrari F40 LM";"Ferrari F120B 3.5L Turbo V8";"Michelin";"93";"1264.800";"8:27:00";"Fire"
"1996";"DNF";"LMP1";"2";"DEU";"Kremer Racing";"USA|ZAF|SWE";"Steve Fossett|George Fouché|Stanley Dickens";"Kremer K8 Spyder";"Porsche Type-935 3.0L Turbo Flat-6";"Goodyear";"58";"788.800";"4:10:00";"Accident"
"1996";"DNF";"GT2";"73";"CHE";"Elf Haberthur Racing";"BEL|CHE|FRA";"Michel Neugarten|Toni Seiler|Bruno Ilien";"Porsche 911 GT2";"Porsche 3.6L Turbo Flat-6";"Dunlop";"46";"625.600";"";"Transmission (gearbox)"
"1996";"DNF";"GT2";"81";"GBR";"Team Marcos";"NLD|BRA|FRA";"Cor Euser|Thomas Erdos|Pascal Dro";"Marcos Mantara LM600";"Chevrolet 6.1L V8";"Dunlop";"40";"544.000";"2:50:00";"Electrics"
"1996";"DNF";"GT1";"45";"ITA";"Ennea SRL Igol";"FRA|FRA|FRA";"Jean-Marc Gounon|Éric Bernard|Paul Belmondo";"Ferrari F40 GTE";"Ferrari F120B 3.5L Turbo V8";"Pirelli";"40";"544.000";"2:31:00";"Engine"
