"Year";"Pos";"Class";"No";"TeamCtry";"Team";"DrCtry";"Drivers";"Chassis";"Engine";"Tyres";"Laps";"Distance";"Time";"Reason"
"1938";"1";"5.0";"15";"FRA|FRA";"Eug?ne Chaboud (private entrant)|Jean Tr?moulet (private entrant)";"FRA|FRA";"Eug?ne Chaboud|Jean Tr?moulet";"Delahaye 135CS";"Delahaye 3.6L S6";"Dunlop";"235";"3180.940";"";""
"1938";"2";"5.0";"14";"FRA";"Gaston Serraud";"FRA|FRA";"Gaston Serraud|Yves Giraud-Cabantous";"Delahaye 135CS";"Delahaye 3.6L S6";"";"233";"3153.873";"";""
"1938";"3";"5.0";"5";"FRA";"Jean Prenant";"FRA|FRA";"Jean Prenant|André Morel";"Talbot T150SS Coupe";"Talbot 4.0L S6";"";"219";"2959.697";"";""
"1938";"4";"5.0";"10";"FRA";"Louis Villeneuve (private entrant)";"FRA|FRA";"Louis Villeneuve|René Biolay";"Delahaye 135CS";"Delahaye 3.6L S6";"";"218";"2945.791";"";""
"1938";"5";"2.0";"24";"FRA";"Emile Darl'Mat";"FRA|FRA";"Charles de Cortanze|Marcel Contet";"Darl'mat DS";"Peugeot 2.0L S4";"";"214";"2896.981";"";""
"1938";"6";"2.0";"28";"DEU";"Adler";"DEU|DEU";"Peter Graff Orssich|Rudolf Sauerwein";"Adler Super Trumpf Rennlimousine";"Adler 1.7L S4";"";"211";"2856.382";"";""
"1938";"7";"1.5";"33";"DEU";"Adler";"DEU|DEU";"Otto Löhr|Paul von Guillaume";"Adler Trumpf Rennlimousine";"Adler 1.5L S4";"";"204";"2765.037";"";""
"1938";"8";"1.1";"46";"FRA";"Jacques Savoye (private entrant)";"FRA|FRA";"Jacques Savoye|Pierre Savoye";"Singer Nine Le Mans Replica ""Savoye Special""";"Singer 1.0L S4";"";"174";"2350.982";"";""
"1938";"9";"1.1";"42";"FRA";"Just-Émile Vernet (private entrant)";"FRA|FRA";"Albert Debille|Guy Lapchin";"Simca Huit";"Fiat 1.1L S4";"";"172";"2329.556";"";""
"1938";"10";"1.5";"31";"GBR";"Ecurie Lapin Blanc";"GBR|GBR";"Peter Clark|Marcus Chambers";"HRG Le Mans";"Singer 1.5L S4";"";"170";"2303.287";"";""
"1938";"11";"1.1";"48";"FRA";"Victor Camerano";"FRA|FRA";"Victor Camerano|Robert Klempeneré (R. Robert)";"Simca Huit";"Fiat 1.1L S4";"";"166";"2249.211";"";""
"1938";"12";"1.1";"49";"FRA";"Claude Bonneau";"FRA|FRA";"Claude Bonneau|Mme Anne-Cécile Rose-Itier";"MG PA Midget Special";"MG 1.0L S4";"";"165";"2227.548";"";""
"1938";"13";"1.1";"40";"GBR";"Miss P.M. Fawcett";"GBR|GBR";"Miss Marjorie Fawcett|Geoffrey White";"Morgan 4/4";"Coventry Climax 1.1L S4";"";"163";"2209.385";"";""
"1938";"14";"750";"51";"FRA";"Amédée Gordini";"FRA|FRA";"Maurice Aimé|Charles Plantivoux";"Simca Cinq";"Fiat 0.6L S4";"";"151";"2042.759";"";""
"1938";"15";"750";"52";"FRA";"Amédée Gordini";"FRA|ITA";"Albert Leduc|Athos Querzola";"Simca Cinq";"Fiat 0.6L S4";"";"140";"1891.405";"";""
"1938";"DNF";"5.0";"19";"FRA";"Raymond Sommer";"FRA|ITA";"Raymond Sommer|Clemente Biondetti";"Alfa Romeo 8C 2900B Touring";"Alfa Romeo 8C 2900B Touring";"";"219";"2954.748";"";"Accident, engine broken, lost oil"
"1938";"DNF";"5.0";"8";"FRA";"Norbert Jean Mahé (private entrant)";"GBR|GBR";"Donald Mathieson|Freddy Clifford";"Talbot T150C";"Talbot 4.0L S6";"";"159";"2145.228";"";"Fire"
"1938";"DNF";"5.0";"7";"FRA";"Jean Trévoux";"FRA|FRA";"Jean Trévoux|Pierre Levegh";"Talbot T150C";"Talbot 4.0L S6";"";"159";"2145.228";"";"Engine"
"1938";"DNF";"2.0";"27";"GBR";"Robert P Hichens";"GBR|GBR";"Robert P Hichens|Mortimer Morris-Goodall";"Aston Martin Speed Model";"Aston Martin Speed Model";"";"150";"2023.800";"";"Burnt valves"
"1938";"DNF";"1.1";"37";"FRA";"Amédée Gordini";"FRA|FRA";"Amédée Gordini|José Scaron";"Simca Huit";"Simca Huit";"";"140";"1888.880";"";"Oil pipe"
"1938";"DNF";"1.5";"36";"FRA";"Pierre Ferry";"FRA|FRA";"Pierre Ferry|Francis Noireaux";"Riley Sprite TT";"Riley Sprite TT";"";"127";"1713.484";"";"Gearbox, Engine"
"1938";"DNF";"1.1";"43";"FRA";"Amédée Gordini";"FRA|FRA";"Robert Lévy|Adrien Alin";"Simca";"Simca";"";"124";"1673.008";"";"Engine"
"1938";"DNF";"1.1";"38";"FRA";"Amédée Gordini";"FRA|FRA";"Jean Viale|Jean Breillet";"Simca Huit";"Simca Huit";"";"111";"1497.612";"";"Tyre on fire, oil pipe"
"1938";"DNF";"3.0";"23";"FRA";"Mme Fernande Roux / Mme Germaine Rouault";"FRA|FRA";"Mme Fernande Roux|Mme Germaine Rouault";"Amilcar G36 ""Pegase Special""";"Amilcar G36 ""Pegase Special""";"";"101";"1362.692";"";"Engine"
"1938";"DNF";"5.0";"4";"ITA";"Luigi Chinetti";"FRA|FRA";"René Carrière|René Le Bègue";"Talbot T150C";"Talbot 4.0L S6";"";"101";"1362.692";"";"Clutch"
"1938";"DNF";"5.0";"12";"FRA";"Georges Monneret";"FRA|FRA";"Georges Monneret|Roger Loyer";"Delahaye 135CS";"Delahaye 135CS";"";"88";"1187.296";"";"Fuel pump, lightning"
"1938";"DNF";"5.0";"6";"ITA";"Luigi Chinetti";"FRA|FRA";"Louis Rosier|Robert Huguet";"Talbot T150SS Coupe";"Talbot T150SS Coupe";"";"81";"1022.852";"";"Engine"
"1938";"DNF";"1.1";"47";"GBR";"Team Autosports";"GBR|GBR";"John Donald Barnes|Tommy Wisdom";"Singer Nine Le Mans Replica";"Singer Nine Le Mans Replica";"";"74";"998.408";"";"Engine (crankshaft, support)"
"1938";"DNF";"1.1";"45";"FRA";"Just-Émile Vernet (private entrant)";"FRA|FRA";"Gaston Tramar|Paul Samuel";"Simca 1000";"Simca 1000";"";"69";"930.948";"";"Engine"
"1938";"DNF";"5.0";"3";"ITA";"Luigi Chinetti";"FRA|ITA";"Philippe Etancelin|Luigi Chinetti";"Talbot T26";"Talbot T26";"";"66";"890.472";"";"Engine, valves"
"1938";"DNF";"3.0";"22";"FRA";"Société R.V.";"FRA|FRA";"Louis Gérard|Jacques de Velance de Minardiere";"Delage D6-70";"Delage D6-70";"";"58";"782.536";"";"Engine"
"1938";"DNF";"1.1";"41";"FRA";"Just-Émile Vernet (private entrant)";"FRA|FRA";"Just-Émile Vernet|Mme Suzanne Largeot";"Simca Huit";"Simca Huit";"";"55";"748.060";"";"Oil pipe"
"1938";"DNF";"5.0";"21";"FRA";"Marcel Horvilleur";"FRA|FRA";"Marcel Horvilleur|Yves Matra";"Alfa Romeo 2300 Monza";"Alfa Romeo 2300 Monza";"";"53";"715.076";"";"Engine"
"1938";"DNF";"5.0";"11";"FRA";"Joseph Paul";"FRA|FRA";"Marcel Mongin|Robert Mazaud";"Delahaye 135CS";"Delahaye 135CS";"";"50";"674.600";"";"Fire"
"1938";"DNF";"1.1";"50";"GBR";"Miss Dorothy Stanley-Turner";"GBR|GBR";"Mrs. Elsie Wisdom|Arthur Dobson";"MG PB Midget";"MG PB Midget";"";"48";"647.616";"";"Clutch, out of water"
"1938";"DNF";"1.1";"39";"FRA";"Just-Émile Vernet (private entrant)";"FRA|FRA";"Angelo Molinari|Georges Sarret";"Fiat 508S Balilla";"Fiat 508S Balilla";"";"40";"539.680";"";"Oil pipe"
"1938";"DNF";"1.5";"29";"FRA";"Raoul Forestier";"FRA|CHE";"Raoul Forestier|Roger Charon";"Riley Sprite TT";"Riley Sprite TT";"";"30";"404.760";"";"Gearbox"
"1938";"DNF";"5.0";"1";"FRA";"Ecurie Bleue";"FRA|MCO";"René Dreyfus|Louis Chiron";"Delahaye 145";"Delahaye 145";"";"23";"310.316";"";"Oil pressure, cooling"
"1938";"DNF";"2.0";"25";"FRA";"Emile Darl'Mat";"FRA|FRA";"Jean Pujol|Louis Rigal";"Darl'mat DS";"Darl'Mat DS";"";"18";"242.856";"";"Engine"
"1938";"DNF";"5.0";"2";"FRA";"Ecurie Bleue";"ITA|FRA";"Gianfranco Comotti|Albert Divo";"Delahaye 145";"Delahaye 145";"";"7";"94.444";"";"Gearbox"
"1938";"DNF";"2.0";"26";"FRA";"Emile Darl'Mat";"FRA|FRA";"Maurice Serre|Daniel Porthault";"Darl'mat DS";"Darl'Mat DS";"";"6";"80.952";"";"Gearbox"
"1938";"DNF";"1.5";"35";"GBR";"Charles Morrison";"GBR|GBR";"Charles Morrison|Neil Watson";"Atalanta";"Atalanta";"";"4";"53.968";"";"Front hub, bearing"
"1938";"DNA";"5.0";"9";"FRA";"Norbert Jean Mahé (private entrant)";"FRA|FRA";"Norbert Jean Mahé|Heonnet";"Talbot T150C";"Talbot 4.0L S6";"";"0";"0.0";"";""
"1938";"DNA";"3.0";"20";"CHE";"Hans Ruesch";"";"";"Alfa Romeo";"";"";"0";"0.0";"";""
