"Year";"Pos";"Class";"No";"TeamCtry";"Team";"DrCtry";"Drivers";"Chassis";"Engine";"Tyres";"Laps";"Distance";"Time";"Reason"
"1955";"1";"S5.0";"6";"GBR";"Jaguar Cars Ltd.";"GBR|GBR";"Mike Hawthorn|Ivor Bueb";"Jaguar D-Type";"Jaguar 3.4L S6";"Dunlop";"307";"4135.380";"";""
"1955";"2";"S3.0";"23";"GBR";"Aston Martin Lagonda Ltd.";"GBR|BEL";"Peter Collins|Paul Frère";"Aston Martin DB3S";"Aston Martin 2.9L S6";"Avon";"302";"4073.020";"";""
"1955";"3";"S5.0";"10";"BEL";"Ecurie Francorchamps";"BEL|BEL";"Jacques Swaters|Johnny Claes";"Jaguar D-Type";"Jaguar 3.4L S6";"Dunlop";"296";"3986.930";"";""
"1955";"4";"S1.5";"37";"DEU";"Porsche KG";"DEU|DEU";"Helmut Polensky|Richard von Frankenberg";"Porsche 550 RS Spyder";"Porsche 1498cc F4";"Dunlop";"284";"3829.730";"";""
"1955";"5";"S1.5";"66";"BEL|FRA";"Ecurie Belge|Gustave Olivier (private entrant)";"DEU|BEL";"Wolfgang Seidel|Olivier Gendebien";"Porsche 550 RS Spyder";"Porsche 1498cc F4";"Dunlop";"276";"3715.550";"";""
"1955";"6";"S1.5";"62";"DEU";"Porsche KG";"DEU|GTM|CZE";"Helmut 'Helm' Glöckler|Jaroslav Juhan";"Porsche 550 RS Spyder";"Porsche 1498cc F4";"Dunlop";"273";"3679.670";"";""
"1955";"7";"S2.0";"34";"GBR";"Bristol Aeroplane Co.";"GBR|GBR";"Lt. Cdr. Peter Wilson|Jim Mayers";"Bristol 450C";"Bristol 1979cc S6";"Dunlop";"271";"3654.310";"";""
"1955";"8";"S2.0";"33";"GBR";"Bristol Aeroplane Co.";"GBR|GBR";"Mike Keen|Tommy Line";"Bristol 450C";"Bristol 1979cc S6";"Dunlop";"270";"3641.380";"";""
"1955";"9";"S2.0";"32";"GBR";"Bristol Aeroplane Co.";"GBR|GBR";"Tommy Wisdom|Jack Fairman";"Bristol 450C";"Bristol 1979cc S6";"Dunlop";"268";"3614.400";"";""
"1955";"10";"S2.0";"35";"GBR";"Automobiles Frazer Nash Ltd.";"FRA|GBR";"Marcel Becquart|Richard 'Dickie' Stoop";"Frazer Nash Sebring";"Bristol 1971cc S6";"Dunlop";"260";"3506.160";"";""
"1955";"11";"S1.5";"40";"USA";"Edgar Fronteras (private entrant)";"ITA|ITA";"Giulio Cabianca|Giuseppe Scorbati";"O.S.C.A. MT-4";"O.S.C.A. 1491cc S4";"Pirelli";"256";"3449.080";"";""
"1955";"12";"S1.5";"41";"GBR";"MG Cars Ltd.";"GBR|GBR";"Ken Miles|John Lockett";"MG EX.182";"MG 1489cc S4";"Dunlop";"249";"3353.910";"";""
"1955";"13";"S1.1";"49";"DEU";"Porsche KG";"FRA|USA";"Auguste Veuillet|Zora Arkus-Duntov";"Porsche 550 RS Spyder";"Porsche 1097cc S4";"Dunlop";"245";"3303.570";"";""
"1955";"14";"S2.0";"28";"GBR";"Standard-Triumph Ltd.";"SCO|GBR";"Ninian Sanderson|Bob Dickson";"Triumph TR2";"Triumph 1991cc S4";"";"242";"3263.310";"";""
"1955";"15";"S2.0";"29";"GBR";"Standard-Triumph Ltd.";"GBR|GBR";"Ken Richardson|Bert Hadley";"Triumph TR2";"Triumph 1991cc S4";"Dunlop";"242";"3263.150";"";""
"1955";"16";"S750";"63";"FRA";"Ecurie Jeudy-Bonnet";"FRA|FRA";"Louis Cornet|Robert Mougin";"DB HBR-MC";"Panhard 745cc F2";"Dunlop";"236";"3177.890";"";""
"1955";"17";"S1.5";"64";"GBR";"MG Cars Ltd.";"GBR|CHE";"Ted Lund|Hans Waeffler";"MG EX.182";"MG 1489cc S4";"Dunlop";"234";"3156.250";"";""
"1955";"18";"S1.5";"65";"FRA";"Gustave Olivier (private entrant)";"FRA|DEU";"Gonzague Olivier|Josef Jeser";"Porsche 550 RS Spyder";"Porsche 1498cc F4";"Dunlop";"234";"3155.310";"";""
"1955";"NC";"S2.0";"68";"GBR";"Standard-Triumph Ltd.";"GBR|GBR";"Leslie Brooke|Mortimer Morris-Goodall";"Triumph TR2";"Triumph 1991cc S4";"Dunlop";"214";"2885.640";"";""
"1955";"19";"S750";"59";"FRA";"Ecurie Jeudy-Bonnet";"FRA|FRA";"Louis Héry|Georges Trouis";"DB HBR Spyder";"Panhard 745cc F2";"Dunlop";"209";"2815.140";"";""
"1955";"NC";"S1.1";"47";"GBR";"Cooper Car Co.";"GBR|GBR";"John Brown|Edgar Wadsworth";"Cooper T39";"Coventry Climax 1098cc S4";"Dunlop";"207";"2789.610";"";""
"1955";"DNF";"S3.0";"16";"ITA";"Officine Alfieri Maserati";"ITA|ITA";"Luigi Musso|Luigi ""Gino"" Valenzano";"Maserati 300S";"Maserati 3.0L S6";"Pirelli";"239";"3224.588";"19:00:00";"Transmission (gearbox)"
"1955";"DNF";"S3.0";"22";"USA";"Briggs Cunningham (private entrant)";"USA|USA";"Briggs Cunningham|Sherwood Johnston";"Cunningham C6-R";"Offenhauser 2.9L S4";"Firestone";"196";"2644.432";"18:00:00";"Engine (piston)"
"1955";"DNF";"S5.0";"7";"GBR";"Jaguar Cars Ltd.";"GBR|GBR";"Tony Rolt|Duncan Hamilton";"Jaguar D-Type";"Jaguar 3.4L S6";"Dunlop";"186";"2509.512";"15:12:00";"Gearbox, out of fuel"
"1955";"DNF";"S2.0";"30";"FRA";"Automobiles Gordini";"BRA|FRA";"Hermano da Silva Ramos|Jacques Pollet";"Gordini T15S";"Gordini 1987cc S8";"Englebert";"145";"1956.340";"13:00:00";"Holed radiator"
"1955";"DNF";"S750";"52";"FRA";"Société Monopole";"FRA|FRA";"Jean Hémard|Pierre Flahault";"Monopole X86";"Panhard 745cc F2";"Dunlop";"145";"1956.340";"22:00:00";"Accident"
"1955";"DNF";"S750";"60";"ITA";"Automobili Stanguellini";"FRA|FRA";"René Philippe Faure|Pierre Duval";"Stanguellini S750 Bialbero";"Stanguellini 740cc S4";"Dunlop";"136";"1834.912";"16:00:00";"Ignition"
"1955";"DNF";"S3.0";"19";"DEU";"Daimler-Benz AG";"ARG|GBR";"Juan Manuel Fangio|Stirling Moss";"Mercedes-Benz 300 SLR";"Mercedes-Benz 3.0L S8";"Continental";"134";"1807.928";"9:00:00";"Withdrawn after 3rd hour accident"
"1955";"DNF";"S3.0";"21";"DEU";"Daimler-Benz AG";"DEU|FRA";"Karl Kling|André Simon";"Mercedes-Benz 300 SLR";"Mercedes-Benz 3.0L S8";"Continental";"130";"1753.960";"9:00:00";"Withdrawn after 3rd hour accident"
"1955";"DNF";"S1.1";"51";"FRA";"Automobiles Panhard et Levassor";"FRA|FRA";"René Cotton|André Beaulieux";"Panhard VM-5";"Panhard 850cc F2";"Dunlop";"108";"1457.136";"12:00:00";"Gearbox"
"1955";"DNF";"S5.0";"5";"ITA";"Scuderia Ferrari";"FRA|USA";"Maurice Trintignant|Harry Schell";"Ferrari 121LM";"Ferrari 4.4L S6";"Englebert";"107";"1443.644";"9:00:00";"Clutch"
"1955";"DNF";"S5.0";"8";"GBR";"Jaguar Cars Ltd.";"GBR|GBR";"Don Beauman|Norman Dewis";"Jaguar D-Type";"Jaguar 3.4L S6";"Dunlop";"106";"1430.152";"10:55:00";"Accident (on sandbanks at Arnage)"
"1955";"DNF";"S3.0";"24";"GBR";"Aston Martin Lagonda Ltd.";"GBR|GBR";"Roy Salvadori|Peter Walker";"Aston Martin DB3S";"Aston Martin 2.9L S6";"Avon";"105";"1416.660";"9:00:00";"Engine"
"1955";"DNF";"S3.0";"12";"FRA";"Heldé";"FRA|FRA";"Pierre Louis-Dreyfus (""Heldé"")|Jean Lucas";"Ferrari 750 Monza";"Ferrari 3.0L S4";"Dunlop";"104";"1403.168";"9:00:00";"Distributor"
"1955";"DNF";"S750";"58";"FRA";"Ecurie Jeudy-Bonnet";"FRA|FRA";"Paul Armagnac|Gérard Laureau";"DB HBR-MC";"Panhard 745cc F2";"Dunlop";"101";"1362.692";"22:00:00";"Wheel bearings"
"1955";"DSQ";"S1.1";"48";"GBR";"Lotus Engineering";"GBR|SCO";"Colin Chapman|Ron Flockhart";"Lotus Mark IX";"Coventry Climax 1098cc S4";"Dunlop";"99";"1335.708";"11:00:00";"Reversed on track, exited without order from marshals after exit at Arnage"
"1955";"DNF";"S2.0";"31";"ITA";"Officine Alfieri Maserati";"ARG|ITA";"Carlo Tomasi|Francesco Giardini";"Maserati 200S";"Maserati 1986cc S4";"Pirelli";"96";"1295.232";"8:00:00";"Distribution"
"1955";"DNF";"S1.1";"50";"FRA";"Automobiles Panhard et Levassor";"FRA|FRA";"Pierre Chancel|Robert Chancel";"Panhard VM-5";"Panhard 850cc F2";"Dunlop";"94";"1268.248";"10:00:00";"Out of fuel"
"1955";"DNF";"S5.0";"1";"GBR";"Aston Martin Lagonda Ltd.";"GBR|GBR";"Reg Parnell|Dennis Poore";"Lagonda DP-166";"Lagonda 4.5L V12";"Avon";"93";"1254.756";"7:00:00";"Out of fuel"
"1955";"DNF";"S3.0";"25";"GBR";"Aston Martin Lagonda Ltd.";"GBR|GBR";"Tony Brooks|John Riseley-Pritchard";"Aston Martin DB3S";"Aston Martin 2.9L S6";"Avon";"83";"1119.836";"8:00:00";"Electrics (battery)"
"1955";"DNF";"S3.0";"27";"FRA";"Jean-Paul Colas (private entrant)";"FRA|FRA";"Jean-Paul Colas|""Franc"" (Jacques Dewez)";"Salmson 2300S Cabriolet";"Salmson 2.3L L4";"Dunlop";"82";"1106.344";"8:00:00";"Oil leak"
"1955";"DNF";"S5.0";"3";"ITA";"Scuderia Ferrari";"ITA|USA";"Umberto Maglioli|Phil Hill";"Ferrari 121LM";"Ferrari 4.4L S6";"Englebert";"76";"1025.392";"6:00:00";"Clutch"
"1955";"DNF";"S1.5";"38";"CHE";"Walter Ringgenberg (private entrant)";"CHE|CHE";"Walter Ringgenberg|Hans-Jörg Gilomen";"Porsche 550/4";"Porsche 1498cc F4";"Dunlop";"65";"876.980";"7:00:00";"Engine (piston)"
"1955";"DNF";"S1.5";"43";"GBR";"Connaught Engineering";"GBR|GBR";"Kenneth McAlpine|Eric Thompson";"Connaught AL/SR";"Lea-Francis 1484cc S4";"Dunlop";"60";"809.520";"8:00:00";"Engine (piston)"
"1955";"DNF";"S5.0";"4";"ITA";"Scuderia Ferrari";"ITA|ITA";"Eugenio Castellotti|Paolo Marzotto";"Ferrari 121LM";"Ferrari 4.4L S6";"Englebert";"52";"701.584";"4:00:00";"Engine"
"1955";"DNF";"S2.0";"69";"FRA";"Alexis Constantin (private entrant)";"FRA|FRA";"Jacques Savoye|Jacques Poch";"Constantin 203C Spyder";"Peugeot 1425cc S4 Supercharged";"Englebert";"51";"688.092";"8:00:00";"Gearbox"
"1955";"DNF";"S1.1";"46";"GBR";"Kieft Cars Ltd.";"GBR|GBR";"Alan Rippon|Ray Merrick";"Kieft Sport";"Coventry Climax 1098cc S4";"Dunlop";"47";"634.124";"5:00:00";"Oil leak"
"1955";"DNF";"S750";"57";"FRA";"Ecurie Jeudy-Bonnet";"FRA|FRA";"René Bonnet|Claude Storez";"D.B. HBR";"Panhard 745cc F2";"Dunlop";"44";"593.648";"8:00:00";"Distribution"
"1955";"DNF";"S5.0";"9";"USA";"Briggs Cunningham (private entrant)";"USA|USA";"Phil Walters|William ""Bill"" Spear";"Jaguar D-Type";"Jaguar 3.4L S6";"Dunlop";"43";"580.156";"6:00:00";"Engine (valve)"
"1955";"DNF";"S5.0";"11";"GBR";"Cooper Car Co";"GBR|GBR";"Peter Whitehead|Graham Whitehead";"Cooper T38";"Jaguar 3.4L S6";"Dunlop";"38";"512.696";"3:00:00";"Oil leak"
"1955";"DNF";"S3.0";"20";"DEU";"Daimler-Benz AG";"FRA|USA";"Pierre Levegh|John Fitch";"Mercedes-Benz 300 SLR";"Mercedes-Benz 3.0L L8";"Continental";"34";"458.728";"2:25:00";"Fatal accident - Levegh (at Pit straight)"
"1955";"DNF";"S2.0";"36";"GBR";"Automobiles Frazer Nash Ltd.";"IRL|GBR";"Cecil Vard|Dick Odlum";"Frazer Nash Sebring";"Bristol 1971cc S6";"Dunlop";"33";"445.236";"5:00:00";"Engine"
