"Year";"Pos";"Class";"No";"TeamCtry";"Team";"DrCtry";"Drivers";"Chassis";"Engine";"Tyres";"Laps";"Distance";"Time";"Reason"
"2010";"1";"LMP1";"9";"DEU";"Audi Sport North America";"DEU|DEU|FRA";"Mike Rockenfeller|Timo Bernhard|Romain Dumas";"Audi R15 TDI plus";"Audi TDI 5.5 L Turbo V10(Diesel)";"Michelin";"397";"5410.713";"";""
"2010";"2";"LMP1";"8";"DEU";"Audi Sport Team Joest";"DEU|CHE|FRA";"André Lotterer|Marcel Fässler|Benoît Tréluyer";"Audi R15 TDI plus";"Audi TDI 5.5 L Turbo V10(Diesel)";"Michelin";"396";"5397.084";"";""
"2010";"3";"LMP1";"7";"DEU";"Audi Sport Team Joest";"DNK|GBR|ITA";"Tom Kristensen|Allan McNish|Rinaldo Capello";"Audi R15 TDI plus";"Audi TDI 5.5 L Turbo V10(Diesel)";"Michelin";"394";"5369.826";"";""
"2010";"4";"LMP1";"6";"FRA";"AIM Team Oreca Matmut";"FRA|FRA|GBR";"Soheil Ayari|Didier André|Andy Meyrick";"Oreca 01";"AIM YS5.5 5.5 L V10";"Dunlop";"369";"5029.101";"";""
"2010";"5";"LMP2";"42";"GBR";"Strakka Racing";"GBR|GBR|GBR";"Nick Leventis|Danny Watts|Jonny Kane";"HPD ARX-01C";"HPD AL7R 3.4 L V8";"Michelin";"367";"5001.843";"";""
"2010";"6";"LMP1";"7";"GBR";"Aston Martin Racing";"CHE|DEU|MEX";"Harold Primat|Stefan Mücke|Adrián Fernández";"Lola-Aston Martin B09/60";"Aston Martin 6.0 L V12";"Michelin";"365";"4974.585";"";""
"2010";"7";"LMP2";"35";"FRA";"OAK Racing";"FRA|FRA|CZE";"Matthieu Lahaye|Guillaume Moreau|Jan Charouz";"Pescarolo 01";"Judd DB 3.4 L V8";"Dunlop";"361";"4920.069";"";""
"2010";"8";"LMP2";"25";"GBR";"RML";"GBR|BRA|GBR";"Mike Newton|Thomas Erdos|Andy Wallace";"Lola B08/80";"HPD AL7R 3.4 L V8";"Dunlop";"358";"4879.182";"";""
"2010";"9";"LMP2";"24";"FRA";"OAK Racing";"FRA|MCO|FRA";"Jacques Nicolet|Richard Hein|Jean-François Yvon";"Pescarolo 01";"Judd DB 3.4 L V8";"Dunlop";"341";"4647.489";"";""
"2010";"10";"LMP2";"41";"GBR";"Team Bruichladdich";"GBR|SAU|FRA";"Tim Greaves|Karim Ojjeh|Gary Chalandon";"Ginetta- Zytek GZ09S/2";"Zytek ZG348 3.4 L V8";"Dunlop";"341";"4647.489";"";""
"2010";"11";"LMGT2";"77";"DEU";"Team Felbermayr-Proton";"DEU|AUT|DEU";"Marc Lieb|Richard Lietz|Wolf Henzler";"Porsche 997 GT3-RSR";"Porsche 4.0 L Flat-6";"Michelin";"338";"4606.602";"";""
"2010";"12";"LMGT2";"89";"DEU";"Hankook Team Farnbacher";"DEU|DNK|USA";"Dominik Farnbacher|Allan Simonsen|Leh Keen";"Ferrari F430 GT2";"Ferrari 4.0 L V8";"Hankook";"336";"4579.344";"";""
"2010";"13";"LMGT1";"50";"FRA";"Larbre Compétition";"FRA|FRA|CHE";"Roland Berville|Julien Canal|Gabriele Gardel";"Saleen S7-R";"Ford 7.0 L V8";"Michelin";"331";"4511.199";"";""
"2010";"14";"LMGT2";"97";"ITA";"BMS Scuderia Italia SpA";"DEU|GBR|DEU";"Marco Holzer|Richard Westbrook|Timo Scheider";"Porsche 997 GT3-RSR";"Porsche 4.0 L Flat-6";"Michelin";"327";"4456.683";"";""
"2010";"15";"LMGT1";"72";"FRA";"Luc Alphand Aventures";"FRA|FRA|NLD";"Stéphane Grégoire|Jérôme Policand|David Hart";"Chevrolet Corvette C6.R";"Corvette LS7.R 7.0 L V8";"Dunlop";"327";"4456.683";"";""
