"Year";"Pos";"Class";"No";"TeamCtry";"Team";"DrCtry";"Drivers";"Chassis";"Engine";"Tyres";"Laps";"Distance";"Time";"Reason"
"1949";"1";"S2.0";"22";"GBR";"Lord Selsdon (private entrant)";"USA|GBR";"Luigi Chinetti|Peter Mitchell-Thomson, Lord Selsdon";"Ferrari 166 MM";"Ferrari 2.0L V12";"Englebert";"235";"3178.299";"";""
"1949";"2";"S3.0";"15";"FRA";"Henri Louveau (private entrant)";"FRA|ESP";"Henri Louveau|Juan Jover";"Delage D6S-3L";"Delage 3.0L S6";"";"234";"3162.576";"";""
"1949";"3";"S2.0";"26";"GBR";"Mrs. P. Trevelyan (private entrant)";"GBR|GBR";"Harold John Aldington|Norman Culpan";"Frazer Nash High Speed Le Mans Replica";"Bristol 2.0L S6";"";"224";"3033.420";"";""
"1949";"4";"S3.0";"14";"GBR";"W.S. Watney (private entrant)";"FRA|ESP";"Louis Gérard|Francisco ""Chico"" Godia-Sales";"Delage D6S-3L";"Delage 3.0L S6";"";"212";"2871.737";"";""
"1949";"5";"S5.0";"11";"FRA";"Pierre Meyrat (private entrant)";"FRA|FRA";"Pierre Meyrat|Robert Brunet";"Delahaye 135CS";"Delahaye 4.0L S6";"";"210";"2844.816";"";""
"1949";"6";"S5.0";"6";"GBR";"H.S.F. Hay (private entrant)";"GBR|GBR";"Jack ""Zoltan"" Hay|Tommy Wisdom";"Embiricos Bentley Paulin";"Bentley 4.3L S6";"";"210";"2841.380";"";""
"1949";"7";"S2.0";"27";"GBR";"Arthur Jones (private entrant)";"GBR|GBR";"Arthur Jones|Nick Haines";"Aston Martin DB2";"Aston Martin 2.0L S4";"";"207";"2801.165";"";""
"1949";"8";"S1.5";"35";"GBR|GBR";"Ecurie Lapin Blanc|HRG Engineering";"GBR|GBR";"Eric Thompson|Jack Fairman";"HRG 1500 Lightweight Le Mans";"Singer 1.5L S4";"";"202";"2736.182";"";""
"1949";"9";"S5.0";"12";"FRA";"René Bouchard (private entrant)";"FRA|FRA";"René Bouchard|Pierre Larrue";"Delahaye 135MS";"Delahaye 3.6L S6";"";"200";"2711.467";"";""
"1949";"NC";"S5.0";"9";"FRA";"Henry Leblanc (private entrant)";"FRA|FRA";"Henry Leblanc|Jean Brault";"Delahaye 135CS";"Delahaye 3.6L S6";"";"194";"2619.820";"";""
