"Year";"Pos";"Class";"No";"TeamCtry";"Team";"DrCtry";"Drivers";"Chassis";"Engine";"Tyres";"Laps";"Distance";"Time";"Reason"
"1984";"1";"C1";"7";"DEU";"New-Man Joest Racing";"FRA|DEU";"Henri Pescarolo|Klaus Ludwig";"Porsche 956B";"Porsche Type-935 2.6 L Turbo Flat-6";"Dunlop";"360";"4900.276";"";""
"1984";"2";"C1";"26";"USA";"Henn's T-Bird Swap Shop";"FRA|USA";"Jean Rondeau|John Paul Jr.";"Porsche 956";"Porsche Type-935 2.6 L Turbo Flat-6";"Goodyear";"358";"4873.979";"";""
"1984";"3";"C1";"33";"GBR|GBR";"Skoal Bandit Porsche Team|John Fitzpatrick Racing";"GBR|FRA|ZAF";"David Hobbs|Philippe Streiff|Sarel van der Merwe";"Porsche 956B";"Porsche Type-935 2.6 L Turbo Flat-6";"Yokohama";"351";"4779.349";"";""
"1984";"4";"C1";"9";"CHE";"Brun Motorsport GmbH";"CHE|DEU|USA";"Walter Brun|Prince Leopold von Bayern|Bob Akin";"Porsche 956B";"Porsche Type-935 2.6 L Turbo Flat-6";"Dunlop";"340";"4628.068";"";""
"1984";"5";"C1";"12";"DEU|DEU";"New-Man Joest Racing|Schornstein Racing Team";"DEU|DEU|DEU";"Volkert Merl|Dieter Schornstein|""John Winter"" (Louis Krages)";"Porsche 956";"Porsche Type-935 2.6 L Turbo Flat-6";"Dunlop";"340";"4625.728";"";""
"1984";"6";"C1";"11";"DEU";"Porsche Kremer Racing";"AUS|AUS|FRA";"Vern Schuppan|Alan Jones|Jean-Pierre Jarier";"Porsche 956B";"Porsche Type-935 2.6 L Turbo Flat-6";"Dunlop";"337";"4586.850";"";""
"1984";"7";"C1";"20";"CHE";"Brun Motorsport GmbH";"ITA|ARG|FRA";"Massimo Sigala|Oscar Larrauri|Joël Gouhier";"Porsche 956";"Porsche Type-935 2.6 L Turbo Flat-6";"Dunlop";"335";"4555.610";"";""
"1984";"8";"C1";"4";"ITA";"Martini Racing";"FRA|ITA";"Bob Wollek|Alessandro Nannini";"Lancia LC2";"Ferrari 308C 3.0 L Turbo V8";"Dunlop";"326";"4436.964";"";""
"1984";"9";"C1";"17";"DEU";"Porsche Kremer Racing";"GBR|GBR|AUS";"Tiff Needell|David Sutherland|Rusty French";"Porsche 956";"Porsche Type-935 2.6L Turbo Flat-6";"Dunlop";"321";"4369.392";"";""
"1984";"10";"C2";"68";"USA";"B.F. Goodrich Company";"USA|USA|JPN";"John O'Steen|John Morton|Yoshimi Katayama";"Lola T616";"Mazda 13B 1.3 L 2- Rotor";"BF Goodrich";"320";"4357.491";"";""
"1984";"11";"C2";"93";"FRA|FRA";"Jean-Philippe Grand|Graff Racing";"FRA|BEL|BEL";"Jean-Philippe Grand|Jean-Paul Libert|Pascal Witmeur";"Rondeau M379";"Ford Cosworth DFV 3.0 L V8";"Avon";"310";"4213.706";"";""
"1984";"12";"C2";"67";"USA";"B.F. Goodrich Company";"USA|NLD|USA";"Jim Busby|Boy Hayje|Rick Knoop";"Lola T616";"Mazda 13B 1.3 L 2- Rotor";"BF Goodrich";"295";"4016.821";"";""
"1984";"13";"C1";"37";"USA";"McCormack and Dodge";"USA|USA|FRA";"Jim Mullen|Walt Bohren|Alain Ferté";"Rondeau M482";"Ford Cosworth DFL 3.3 L V8";"Goodyear";"293";"3989.823";"";""
"1984";"14";"B";"109";"DEU";"Helmut Gall";"FRA|FRA|FRA";"Philippe Dagoreau|Jean-François Yvon|Pierre de Thoisy";"BMW M1";"BMW M88/1 3.5 L I6";"Dunlop";"292";"3975.517";"";""
"1984";"15";"C2";"87";"JPN";"Mazdaspeed Co. Ltd.";"IRL|BEL|BEL";"David Kennedy|Jean-Michel Martin|Philippe Martin";"Mazda 727C";"Mazda 13B 1.3 L 2- Rotor";"Dunlop";"291";"3693.113";"";""
"1984";"16";"B";"106";"CHE";"Claude Haldi (private entrant)";"CHE|DEU|CHE";"Claude Haldi|Altfrid Heger|Jean Krucker";"Porsche 930";"Porsche 3.3 L Turbo Flat-6";"Michelin";"285";"3880.162";"";""
"1984";"17";"IMSAGTO";"122";"FRA";"Raymond Touroul";"FRA|FRA|FRA";"Raymond Touroul|Valentin Bertapelle|Thierry Perrier";"Porsche 911 SC";"Porsche 3.0 L Flat-6";"Michelin";"283";"3852.273";"";""
"1984";"18";"IMSAGTO";"123";"FRA";"Equipe Alméras Fréres";"FRA|FRA|USA";"Jean-Marie Alméras|Jacques Alméras|Tom Winters";"Porsche 930";"Porsche 3.3 L Turbo Flat-6";"Michelin";"268";"3662.658";"";""
"1984";"19";"C2";"81";"ITA";"Scuderia Jolly Club";"ITA|ITA|ITA";"Almo Coppelli|Davide Pavia|Guido Daccò";"Alba AR2";"Giannini Carma FF 2.0 L Turbo I4";"Avon";"262";"3569.281";"";""
"1984";"20";"C2";"86";"JPN";"Mazdaspeed Co. Ltd.";"BEL|JPN|JPN";"Pierre Dieudonné|Takashi Yorino|Yojiro Terada";"Mazda 727C";"Mazda 13B 1.3 L 2- Rotor";"Dunlop";"261";"3567.973";"";""
"1984";"21";"C2";"80";"ITA";"Scuderia Jolly Club";"ITA|ITA|CHE";"Martino Finotto|Carlo Facetti|Marco Vanoli";"Alba AR2";"Giannini Carma FF 2.0 L Turbo I4";"Avon";"258";"3508.137";"";""
"1984";"22";"B";"107";"FRA";"Raymond Boutinaud";"FRA|FRA|FRA";"Raymond Boutinaud|Philippe Renault|Giles Guinand";"Porsche 928S";"Porsche 4.7 L V8";"Dunlop";"255";"3475.991";"";""
"1984";"DNF";"IMSAGTP";"44";"USA";"Jaguar Group 44";"GBR|USA|USA";"Brian Redman|Doc Bundy|Bob Tullius";"Jaguar XJR-5";"Jaguar 6.0 L V12";"Goodyear";"291";"3965.166";"20:00:00";"Transmission (gearbox)"
"1984";"DNF";"C1";"5";"ITA";"Martini Racing";"ITA|DEU|ITA";"Paolo Barilla|Hans Heyer|Mauro Baldi";"Lancia LC2";"Ferrari 308C 3.0 L Turbo V8";"Dunlop";"275";"3747.150";"";"Engine, disribution"
"1984";"DNF";"C1";"21";"GBR";"Charles Ivey Racing";"FRA|AUS|GBR";"Alain de Cadenet|Allan Grice|Chris Craft";"Porsche 956";"Porsche Type-935 2.6 L Turbo Flat-6";"Dunlop";"274";"3733.524";"20:00:00";"Engine"
"1984";"DNF";"IMSAGTP";"61";"USA";"Henn's T-Bird Swap Shop";"FRA|DEU|USA";"Michel Ferté|Edgar Dören|Preston Henn";"Porsche 962";"Porsche Type-935 2.9 L Turbo Flat-6";"Goodyear";"247";"3365.622";"19:00:00";"Ignition"
"1984";"DNF";"C1";"14";"GBR";"GTi Engineering";"NLD|GBR";"Jan Lammers|Jonathan Palmer";"Porsche 956";"Porsche Type-935 2.6 L Turbo Flat-6";"Dunlop";"239";"3256.614";"17:00:00";"Alternator"
"1984";"DNF";"IMSAGTP";"40";"USA";"Jaguar Group 44";"USA|GBR|FRA";"Tony Adamowicz|John Watson|Claude Ballot-Léna";"Jaguar XJR-5";"Jaguar 6.0 L V12";"Goodyear";"212";"2888.712";"16:00:00";"Accident"
"1984";"DNF";"C1";"8";"DEU";"New-Man Joest Racing";"SWE|FRA|COL";"Stefan Johansson|Jean-Louis Schlesser|Mauricio de Narváez";"Porsche 956";"Porsche Type-935 2.6 L Turbo Flat-6";"Dunlop";"170";"2316.420";"14:00:00";"Accident (at Indianapolis)"
"1984";"DNF";"C1";"38";"GBR";"Dorset Racing Associates";"GBR|IRL|GBR";"Nick Faure|Mark Galvin|Richard Jones";"Dome RC82";"Ford Cosworth DFL 3.3 L V8";"Dunlop";"156";"2115.656";"14:00:00";"Oil pressure"
"1984";"DNF";"C1";"50";"FRA";"Primagaz";"FRA|BEL|FRA";"Pierre Yver|Bernard de Dryver|Pierre-François Rousselot";"Rondeau M382";"Ford Cosworth DFV 3.0 L V8";"Michelin";"155";"2112.030";"16:00:00";"Electrics"
"1984";"DNF";"C1";"13";"FRA";"Primagaz";"FRA|FRA|USA";"Yves Courage|Michel Dubois|John Jellinek";"Cougar C02";"Ford Cosworth DFL 3.3 L V8";"Michelin";"153";"2084.778";"16:00:00";"Engine, oil pump"
"1984";"DNF";"C1";"47";"DEU";"Obermaier Racing GmbH";"DEU|ZAF|CAN";"Jürgen Lässig|George Fouché|John Graham";"Porsche 956";"Porsche Type-935 2.6 L Turbo Flat-6";"Dunlop";"147";"2003.022";"17:00:00";"Accident, suspension"
