"Year";"Pos";"Class";"No";"TeamCtry";"Team";"DrCtry";"Drivers";"Chassis";"Engine";"Tyres";"Laps";"Distance";"Time";"Reason"
"1936";"DNA";"2.0";"1";"FRA";"Mme Anne-C?cile Rose-Itier";"FRA";"Mme Anne-C?cile Rose-Itier";"Adler Super Trumpf Rennlimousine";"Adler 1.7L S4";"";"0";"0.0";"";"Race cancelled"
"1936";"DNA";"2.0";"2";"DEU";"Adler";"DEU|DEU";"Peter Orssich|Rudolph Sauerwein";"Adler Super Trumpf Rennlimousine";"Adler 1.7L S4";"";"0";"0.0";"";"Race cancelled"
"1936";"DNA";"2.0";"3";"DEU";"Adler";"DEU|DEU";"Prince Paul von Schaumberg-Lippe|Edouard Legré";"Adler Super Trumpf Rennlimousine";"Adler 1.7L S4";"";"0";"0.0";"";"Race cancelled"
"1936";"DNA";"2.0";"4";"DEU";"Adler";"DEU|DEU";"Paul von Guilleaume|Otto Löhr";"Adler Super Trumpf Rennlimousine";"Adler 1.7L S4";"";"0";"0.0";"";"Race cancelled"
"1936";"DNA";"3.0";"5";"ITA";"Luigi Chinetti";"ITA|FRA";"Luigi Chinetti|Raymond Sommer";"Alfa Romeo 8C 2300";"Alfa Romeo 2.3L S8";"";"0";"0.0";"";"Race cancelled"
"1936";"DNA";"3.0";"6";"ITA";"Comte Pierre Merlin";"FRA";"Comte Pierre Merlin";"Alfa Romeo 8C 2300";"Alfa Romeo 2.3L S8";"";"0";"0.0";"";"Race cancelled"
"1936";"DNA";"2.0";"7";"GBR";"Aston Martin";"GBR";"Beris Harcourt Wood";"Aston Martin Speed Model";"Aston Martin 2.0L S4";"";"0";"0.0";"";"Race cancelled"
"1936";"DNA";"2.0";"8";"GBR";"Aston Martin";"GBR|GBR";"Dr. Dudley Benjafield|John Elwes";"Aston Martin Speed Model";"Aston Martin 2.0L S4";"";"0";"0.0";"";"Race cancelled"
"1936";"DNA";"2.0";"9";"GBR";"Aston Martin";"GBR|GBR";"Sammy Davis|W. G. Everitt";"Aston Martin Speed Mode";"Aston Martin 2.0L S4";"";"0";"0.0";"";"Race cancelled"
"1936";"DNA";"2.0";"10";"GBR";"Aston Martin";"GBR";"Mortimer Morris-Goodall";"Aston Martin";"Aston Martin 2.0L S4";"";"0";"0.0";"";"Race cancelled"
"1936";"DNA";"2.0";"11";"GBR";"John Cecil Noël";"GBR|GBR";"Pat Fairfield|Charles Brackenbury";"Aston Martin Speed Model";"Aston Martin 2.0L S4";"";"0";"0.0";"";"Race cancelled"
"1936";"DNA";"2.0";"12";"GBR";"C. T. Thomas";"";"";"Aston Martin";"Aston Martin 2.0L S4";"";"0";"0.0";"";"Race cancelled"
"1936";"DNA";"750";"13";"GBR";"John Carr";"GBR|GBR";"John Carr|John Barbour";"Austin 7 Speedy";"Austin 0.7L S4";"";"0";"0.0";"";"Race cancelled"
"1936";"DNA";"750";"14";"GBR";"Austin Motor Company";"GBR|GBR";"Pat Driscoll|Charles Goodacre";"Austin 7 Speedy";"Austin 0.7L S4";"";"0";"0.0";"";"Race cancelled"
"1936";"DNA";"750";"15";"GBR";"Austin Motor Company";"CAN|GBR";"Mrs. Kay Petre|Mrs. Elsie Wisdom";"Austin 7 Speedy";"Austin 0.7L S4";"";"0";"0.0";"";"Race cancelled"
"1936";"DNA";"750";"16";"GBR";"Austin Motor Company";"GBR|GBR";"John Donald Barnes|Charles Dodson";"Austin 7 Speedy";"Austin 0.7L S4";"";"0";"0.0";"";"Race cancelled"
"1936";"DNA";"750";"17";"GBR";"A. R. Marsh";"";"";"Austin 7 Speedy";"Austin 0.7L S4";"";"0";"0.0";"";"Race cancelled"
"1936";"DNA";"5.0";"18";"GBR";"Eddie Hall";"GBR";"Eddie Hall";"Bentley 4 1/2 Litre";"Bentley 4.3L Supercharged S6";"";"0";"0.0";"";"Race cancelled"
"1936";"DNA";"3.0";"19";"FRA";"René Kippeurt";"FRA|FRA";"René Kippeurt|f.n.u. Bécor";"Bugatti T44";"Bugatti 3.0L S8";"";"0";"0.0";"";"Race cancelled"
"1936";"DNA";"5.0";"20";"FRA";"Roger Labric";"FRA";"Roger Labric";"Bugatti Type 57G Tank";"Bugatti 3.3L S8";"";"0";"0.0";"";"Race cancelled"
"1936";"DNA";"5.0";"21";"FRA";"Bugatti";"";"";"Bugatti Type 57T";"Bugatti 4.8L S8";"";"0";"0.0";"";"Race cancelled"
"1936";"DNA";"5.0";"22";"FRA";"Georges Nancy";"FRA|FRA";"Georges Nancy|f.n.u. Pehache";"Bugatti";"Bugatti 5.0L S8";"";"0";"0.0";"";"Race cancelled"
"1936";"DNA";"2.0";"23";"FRA";"Guy Pfiszter";"FRA|FRA";"Guy Pfister|Victor Rault";"Citroën Sport";"Citroën 1.9L S4";"";"0";"0.0";"";"Race cancelled"
"1936";"DNA";"3.0";"24";"FRA";"Delage";"FRA|FRA";"Henri Fretet|Robert Laly";"Delage D6-70";"Delage 3.0L S6";"";"0";"0.0";"";"Race cancelled"
"1936";"DNA";"5.0";"25";"FRA";"Delahaye";"FRA";"Albert Perrot";"Delahaye 135CS";"Delahaye 3.6L S6";"";"0";"0.0";"";"Race cancelled"
"1936";"DNA";"5.0";"26";"FRA";"Delahaye";"FRA";"Armand Girod";"Delahaye 135CS";"Delahaye 3.6L S6";"";"0";"0.0";"";"Race cancelled"
"1936";"DNA";"5.0";"27";"FRA";"René Le Bègue";"FRA";"René Le Bègue";"Delahaye 135CS";"Delahaye 3.6L S6";"";"0";"0.0";"";"Race cancelled"
