"Year";"Pos";"Class";"No";"TeamCtry";"Team";"DrCtry";"Drivers";"Chassis";"Engine";"Tyres";"Laps";"Distance";"Time";"Reason"
"2008";"1";"LMP1";"2";"DEU";"Audi Sport North America";"GBR|ITA|DNK";"Allan McNish|Rinaldo Capello|Tom Kristensen";"Audi R10 TDI";"Audi TDI 5.5 L Turbo V12( Diesel)";"Michelin";"381";"5192.649";"";""
"2008";"2";"LMP1";"7";"FRA";"Team Peugeot Total";"FRA|ESP|CAN";"Nicolas Minassian|Marc Gené|Jacques Villeneuve";"Peugeot 908 HDi FAP";"Peugeot HDi 5.5 L Turbo V12( Diesel)";"Michelin";"381";"5192.649";"";""
"2008";"3";"LMP1";"9";"FRA";"Peugeot Sport Total";"FRA|BRA|AUT";"Franck Montagny|Ricardo Zonta|Christian Klien";"Peugeot 908 HDi FAP";"Peugeot HDi 5.5 L Turbo V12( Diesel)";"Michelin";"379";"5165.391";"";""
"2008";"4";"LMP1";"3";"DEU";"Audi Sport Team Joest";"DEU|DEU|FRA";"Mike Rockenfeller|Lucas Luhr|Alexandre Prémat";"Audi R10 TDI";"Audi TDI 5.5 L Turbo V12( Diesel)";"Michelin";"374";"5097.246";"";""
"2008";"5";"LMP1";"8";"FRA";"Team Peugeot Total";"FRA|PRT|AUT";"Stéphane Sarrazin|Pedro Lamy|Alexander Wurz";"Peugeot 908 HDi FAP";"Peugeot HDi 5.5 L Turbo V12( Diesel)";"Michelin";"368";"5015.472";"";""
"2008";"6";"LMP1";"1";"DEU";"Audi Sport North America";"DEU|DEU|ITA";"Frank Biela|Marco Werner|Emanuele Pirro";"Audi R10 TDI";"Audi TDI 5.5 L Turbo V12( Diesel)";"Michelin";"367";"5001.843";"";""
"2008";"7";"LMP1";"17";"FRA";"Pescarolo Sport";"FRA|FRA|CHE";"Christophe Tinseau|Benoît Tréluyer|Harold Primat";"Pescarolo 01";"Judd GV5.5 S2 5.5 L V10";"Michelin";"362";"4933.698";"";""
"2008";"8";"LMP1";"5";"FRA";"Team Oreca-Matmut";"FRA|FRA|FRA";"Soheil Ayari|Loïc Duval|Laurent Groppi";"Courage- Oreca LC70";"Judd GV5.5 S2 5.5 L V10";"Michelin";"357";"4865.553";"";""
"2008";"9";"LMP1";"10";"CZE|GBR";"Charouz Racing System|Aston Martin Racing";"CZE|CZE|DEU";"Jan Charouz|Tomáš Enge|Stefan Mücke";"Lola B08/60";"Aston Martin 6.0L V12";"Michelin";"354";"4824.666";"";""
"2008";"10";"LMP2";"34";"NLD";"Van Merksteijn Motorsport";"NLD|NLD|NLD";"Peter van Merksteijn|Jeroen Bleekemolen|Jos Verstappen";"Porsche RS Spyder Evo";"Porsche MR6 3.4 L V8";"Michelin";"354";"4824.666";"";""
