"Year";"Pos";"Class";"No";"TeamCtry";"Team";"DrCtry";"Drivers";"Chassis";"Engine";"Tyres";"Laps";"Distance";"Time";"Reason"
"1939";"1";"8.0";"1";"FRA";"Jean-Pierre Wimille";"FRA|FRA";"Jean-Pierre Wimille|Pierre Veyron";"Bugatti Type 57C Tank";"Bugatti 3.3L Supercharged S8";"Dunlop";"249";"3354.760";"";""
"1939";"2";"3.0";"21";"GBR";"Ecurie Walter Watney";"FRA|FRA";"Louis Gérard|Georges Monneret";"Delage D6-3L";"Delage 3.0L S6";"Dunlop";"245";"3312.222";"";""
"1939";"3";"5.0";"5";"GBR";"Lagonda Ltd.";"GBR|GBR";"Arthur Dobson|Charles Brackenbury";"Lagonda V12";"Lagonda 4.5L V12";"Dunlop";"239";"3229.451";"";""
"1939";"4";"5.0";"6";"GBR";"Lord Selsdon (private entrant)";"GBR|GBR";"Peter Mitchell-Thomson, Lord Selsdon|Lord William Waleran";"Lagonda V12";"Lagonda 4.5L V12";"";"239";"3219.481";"";""
"1939";"5";"2.0";"26";"DEU";"BMW";"DEU|DEU";"Max zu Schaumburg-Lippe|Fritz Hans Wenscher";"BMW 328 Touring Coupe";"BMW 2.0L S6";"Dunlop";"236";"3188.450";"";""
"1939";"6";"5.0";"12";"FRA";"Louis Villeneuve (private entrant)";"FRA|FRA";"Louis Villeneuve|René Biolay";"Delahaye 135CS";"Delahaye 3.6L S6";"";"235";"3180.287";"";""
"1939";"7";"2.0";"27";"DEU";"BMW";"DEU|DEU";"Ralph Röese|Paul Heinemann";"BMW 328";"BMW 2.0L S6";"";"230";"3106.969";"";""
"1939";"8";"5.0";"20";"GBR";"Count Heyden";"GBR|GBR";"R.R.C. Rob Walker|Ian Connell";"Delahaye 135CS";"Delahaye 3.6L S6";"";"224";"3025.799";"";""
"1939";"9";"2.0";"28";"DEU";"BMW";"DEU|DEU";"Willi Breim|Rudolf Scholtz";"BMW 328";"BMW 2.0L S6";"";"220";"2975.903";"";""
"1939";"10";"1.1";"39";"FRA";"Gordini";"FRA|FRA";"Amédée Gordini|José Scaron";"Simca Huit";"Fiat 1.1L S4";"Dunlop";"213";"2885.906";"";""
"1939";"11";"5.0";"14";"FRA";"Joseph Chotard";"FRA|FRA";"Joseph Chotard|Jacques Seylair";"Delahaye 135CS";"Delahaye 3.6L S6";"";"202";"2733.409";"";""
"1939";"12";"2.0";"29";"GBR";"Robert Peverell Hichens";"GBR|GBR";"Robert P. Hichens|Mortimer Morris-Goodall";"Aston Martin Speed Model";"Aston Martin 2.0L S4";"";"199";"2688.148";"";""
"1939";"13";"1.1";"41";"FRA";"Gordini";"FRA|FRA";"Guy Lapchin|Charles Plantivaux";"Simca Huit";"Fiat 1.1L S4";"";"195";"2640.811";"";""
"1939";"14";"1.5";"32";"GBR";"Ecurie Lapin Blanc";"GBR|GBR";"Peter Clark|Marcus Chambers";"HRG 1500";"Singer 1.5L S4";"Dunlop";"192";"2599.700";"";""
"1939";"15";"1.1";"37";"GBR";"Mrs. Majorie Fawcett";"GBR|GBR";"Geoffrey White|C.M. Anthony";"Morgan 4/4";"Coventry Climax 1.1L S4";"";"184";"2493.292";"";""
"1939";"16";"1.5";"34";"FRA";"Just-Émile Vernet (private entrant)";"FRA|FRA";"Just-Émile Vernet|Carl de Bodard";"Riley Sprite TT Pourtout";"Riley 1.5L S4";"";"180";"2434.625";"";""
"1939";"17";"1.1";"38";"FRA";"Victor Camerano";"FRA|FRA";"Victor Camerano|Henri Louveau";"Simca Huit";"Fiat 1.1L S4";"";"163";"2212.264";"";""
"1939";"18";"1.1";"45";"GBR";"Arthur W. Jones";"GBR|GBR";"Arthur W. Jones|Gordon Wilkins";"Singer Le Mans Replica";"Singer 1.0L S4";"";"154";"2000.423";"";""
"1939";"19";"750";"48";"FRA";"Gordini";"FRA|FRA";"Adrien Alin|Albert Alin";"Simca Cinq";"Fiat 0.6L S4";"Dunlop";"148";"1999.472";"";""
"1939";"20";"750";"49";"FRA";"Gordini";"FRA|FRA";"Maurice Aimé|Albert Leduc";"Simca Cinq";"Fiat 0.6L S4";"";"147";"1987.249";"";""
"1939";"DNF";"3.0";"25";"FRA";"Raymond Sommer";"FRA|THA";"Raymond Sommer|Prince Birabongse Bhanubandh (""Bira"")";"Alfa Romeo 6C 2500SS";"Alfa Romeo 2.4L S6";"";"173";"2334.116";"";"Engine"
"1939";"DNF";"5.0";"18";"FRA";"Ecuria Francia";"FRA|FRA";"Marcel Contet|Robert Brunet";"Delahaye 135CS";"Delahaye 3.6L S6";"";"171";"2307.132";"";"Suspension"
"1939";"DNF";"1.5";"31";"FRA";"Victor Polledry";"FRA|FRA";"Victor Polledry|Robert Klempeneré (R. Robert)";"Aston Martin 1½ Ulster";"Aston Martin 1.5L S4";"";"155";"2091.260";"";""
"1939";"DNF";"5.0";"3";"ITA";"Luigi Chinetti";"ITA|GBR";"Luigi Chinetti|Donald Mathieson";"Talbot T26";"Talbot 4.5L S6";"";"154";"2077.768";"";"Accident"
"1939";"DNF";"3.0";"22";"GBR";"Ecurie Walter Watney";"CHE|FRA";"Armand Hug|Roger Loyer";"Delage D6-3L";"Delage 3.0L S6";"";"153";"2064.276";"";"Accident"
"1939";"DNF";"5.0";"15";"FRA";"Robert Mazaud";"FRA|FRA";"Robert Mazaud|Marcel Mongin";"Delahaye 135CS";"Delahaye 3.6L S6";"";"115";"1551.580";"";"Fire"
"1939";"DSQ";"1.1";"44";"GBR";"Archie Scott Brown";"GBR|GBR";"Archie Scott Brown|Tommy Wisdom";"Singer Nine Le Mans Replica";"Singer 1.0L S4";"";"105";"1416.660";"";"Refuelling too early, dirty Fuel"
"1939";"DNF";"5.0";"9";"ITA";"Luigi Chinetti";"FRA|FRA";"René Le Begue|Pierre Levegh";"Talbot-Lago SS";"Talbot 4.0L S6";"";"102";"1376.184";"";"Ignition (defective spark plugs)"
"1939";"DNF";"5.0";"19";"FRA";"Ecurie Francia";"FRA|FRA";"Eugène Chaboud|Yves Giraud-Cabantous";"Delahaye 135CS";"Delahaye 3.6L S6";"";"99";"1335.708";"";"Valves"
"1939";"DNF";"5.0";"8";"GBR";"T.A.S.O. Mathieson";"FRA|FRA";"Philippe de Massa|Norbert Jean Mahé";"Talbot 150SS Figoni";"Talbot 4.0L S6";"";"88";"1187.296";"";"Mechanical problem"
"1939";"DNF";"5.0";"7";"ITA";"Luigi Chinetti";"FRA|GBR";"André Morel|Jim Bradley";"Talbot T26";"Talbot 4.5L S6";"";"88";"1187.296";"";"Mechanical problem"
"1939";"DNF";"5.0";"10";"FRA";"Jean Trémoulet (private entrant)";"FRA|FRA";"Jean Trémoulet|Raoul Forestier";"Talbot-Lago SS";"Talbot 4.0L S6";"";"65";"876.980";"";"Punctured tank"
"1939";"DNF";"1.1";"36";"USA";"Miles Collier";"USA|GBR";"Miles Collier|Lewis Welch";"MG PA Midget";"MG 0.8L S4";"";"63";"849.996";"";"Punctured tank"
"1939";"DNF";"5.0";"16";"FRA";"Ecurie Francia";"FRA|FRA";"Joseph Paul|Jean Trévoux";"Delahaye 135CS";"Delahaye 3.6L S6";"";"62";"836.504";"";"Mechanical problem"
"1939";"DNF";"5.0";"11";"FRA";"André Bellecroix";"FRA|FRA";"André Bellecroix|Gaston Serraud";"Delahaye 135CS";"Delahaye 3.6L S6";"";"50";"674.600";"";"Accident"
"1939";"DNF";"1.1";"43";"FRA";"Just-Émile Vernet (private entrant)";"FRA|FRA";"Robert Cayeux|Gaston Tramar";"Simca Huit";"Fiat 1.1L S4";"";"50";"674.600";"";"Engine"
"1939";"DNF";"5.0";"4";"ITA";"Luigi Chinetti";"FRA|FRA";"Pierre Louis-Dreyfus (""Heldé"")|Antoine Schumann";"Talbot T26";"Talbot 4.5L S6";"";"45";"607.140";"";""
"1939";"DNF";"1.1";"47";"FRA";"Claude Bonneau";"FRA|FRA";"Claude Bonneau|Max Mathieu";"MG PB Midget";"MG 1.0L S4";"";"40";"539.680";"";"Carburettor"
"1939";"DNF";"1.1";"40";"FRA";"Gordini";"FRA|FRA";"Jean Breillet|Albert Debille";"Simca Huit";"Fiat 1.1L S4";"";"29";"391.268";"";"Accident"
"1939";"DNF";"1.1";"42";"FRA";"Mme Anne-Cécile Rose-Itier";"FRA|FRA";"Mme Anne-Cécile Rose-Itier|Mme Suzanne Largeot";"Simca Huit";"Fiat 1.1L S4";"";"26";"350.792";"";"Accident (at Arnage)"
"1939";"DNF";"1.5";"30";"DEU";"Adler";"DEU|DEU";"Otto Löhr|Paul von Guilleaume";"Adler Trumpf";"Adler 1.5L S4";"";"6";"80.952";"";"Mechanical problem"
"1939";"DNF";"1.1";"46";"FRA";"Jacques Savoye (private entrant)";"FRA|FRA";"Jacques Savoye|Pierre Savoye";"Singer Nine Le Mans Replica ""Savoye Special""";"Singer 1.0L S4";"";"4";"53.968";"";"Engine (piston)"
"1939";"DNS";"1.5";"24";"DEU";"Adler";"DEU|DEU";"Fritz Huschke von Hanstein|f.n.u. Karkmann";"Adler Trumpf";"Adler 1.5L S4";"";"0";"0.0";"";""
"1939";"DNS";"1.5";"33";"FRA";"No Team Name";"FRA|FRA";"Jacques Sayler|Georges Brunot";"Riley TT Sprite";"Riley 1.5L S4";"";"0";"0.0";"";""
