"Year";"Pos";"Class";"No";"TeamCtry";"Team";"DrCtry";"Drivers";"Chassis";"Engine";"Tyres";"Laps";"Distance";"Time";"Reason"
"1982";"1";"C";"1";"DEU";"Rothmans Porsche System";"BEL|GBR";"Jacky Ickx|Derek Bell";"Porsche 956";"Porsche Type-935 2.6L Turbo Flat-6";"Dunlop";"359";"4899.086";"";""
"1982";"2";"C";"2";"DEU";"Rothmans Porsche System";"DEU|AUS";"Jochen Mass|Vern Schuppan";"Porsche 956";"Porsche Type-935 2.6L Turbo Flat-6";"Dunlop";"356";"4858.169";"";""
"1982";"3";"C";"3";"DEU";"Rothmans Porsche System";"USA|USA|DEU";"Hurley Haywood|Al Holbert|Jürgen Barth";"Porsche 956";"Porsche Type-935 2.6L Turbo Flat-6";"Dunlop";"340";"4640.113";"";""
"1982";"4";"IMSAGTX";"79";"GBR";"John Fitzpatrick Racing";"GBR|GBR";"John Fitzpatrick|David Hobbs";"Porsche 935/78 Moby Dick";"Porsche Type-935 2.7L Turbo Flat-6";"Goodyear";"329";"4488.164";"";""
"1982";"5";"IMSAGTX";"78";"USA";"Cooke Racing - BP";"FRA|FRA|FRA";"Dany Snobeck|François Sérvanin|René Metge";"Porsche 935 K3";"Porsche Type-935 2.8L Turbo Flat-6";"Goodyear";"325";"4431.804";"";""
"1982";"6";"IMSAGTX";"70";"USA";"Prancing Horse Farm Racing";"BEL|USA|BEL";"Pierre Dieudonné|Carson Baird|Jean-Paul Libert";"Ferrari 512BB/LM";"Ferrari 4.9L Flat-12";"Michelin";"322";"4387.786";"";""
"1982";"7";"C";"32";"GBR|GBR";"Viscount Downe|Pace Petroleum";"GBR|GBR|GBR";"Ray Mallock|Simon Phillips|Mike Salmon";"Nimrod NRA/C2";"Aston Martin-Tickford DP1229 5.3L V8";"Avon";"317";"4320.979";"";""
"1982";"8";"Gr.5";"60";"GBR";"Charles Ivey Racing";"GBR|GBR|BEL";"John Cooper|Paul Smith|Claude Bourgoignie";"Porsche 935 K3";"Porsche Type-935 3.1L Turbo Flat-6";"Dunlop";"316";"4607.310";"";""
"1982";"9";"IMSAGTX";"72";"USA";"NART";"FRA|USA|USA";"Alain Cudini|John Morton|John Paul Jr.";"Ferrari 512BB/LM";"Ferrari 4.9L Flat-12";"Michelin";"306";"4182.783";"";""
"1982";"10";"C";"25";"FRA";"Primagaz";"FRA|FRA|FRA";"Pierre Yver|Bruno Sotty|Lucien Guitteny";"Rondeau M379";"Ford Cosworth DFV 3.0L V8";"Avon";"306";"4178.048";"";""
"1982";"11";"IMSAGTX";"77";"USA";"Garretson Developments";"FRA|USA|USA";"Mme Anne-Charlotte Verney|Bob Garretson|Ray Ratcliff";"Porsche 935 K3";"Porsche Type-935 2.8L Turbo Flat-6";"Goodyear";"299";"4074.881";"";""
