"Year";"Pos";"Class";"No";"TeamCtry";"Team";"DrCtry";"Drivers";"Chassis";"Engine";"Tyres";"Laps";"Distance";"Time";"Reason"
"1986";"1";"C1";"1";"DEU";"Rothmans Porsche";"GBR|DEU|USA";"Derek Bell|Hans-Joachim Stuck|Al Holbert";"Porsche 962C";"Porsche Type-935 2.6L Turbo Flat-6";"Dunlop";"368";"4972.731";"";""
"1986";"2";"C1";"17";"CHE";"Brun Motorsport";"ARG|ESP|FRA";"Oscar Larrauri|Jesús Pareja|Joël Gouhier";"Porsche 962C";"Porsche Type-935 2.6L Turbo Flat-6";"Michelin";"360";"4856.731";"";""
"1986";"3";"C1";"8";"DEU";"Joest Racing";"USA|USA|USA";"George Follmer|John Morton|Kenper Miller";"Porsche 956";"Porsche Type-935 2.6L Turbo Flat-6";"Goodyear";"355";"4796.734";"";""
"1986";"4";"C1";"33";"ESP|GBR";"Danone Porsche España|John Fitzpatrick Racing";"ESP|ESP|ZAF";"Emilio de Villota|Fermín Velez|George Fouché";"Porsche 956B";"Porsche Type-935 2.6L Turbo Flat-6";"Goodyear";"349";"4720.555";"";""
"1986";"5";"C1";"9";"DEU";"Obermaier Racing";"DEU|ITA|GBR";"Jürgen Lässig|Fulvio Ballabio|Dudley Wood";"Porsche 956";"Porsche Type-935 2.6L Turbo Flat-6";"Goodyear";"345";"4658.297";"";""
"1986";"6";"C1";"63";"DEU";"Ernst Schuster";"DEU|DEU|DEU";"Siegfried Brunn|Ernst Schuster|Rudi Seher";"Porsche 936C";"Porsche Type-962 2.8L Turbo Flat-6";"Dunlop";"344";"4641.672";"";""
"1986";"7";"GTX";"180";"DEU";"Porsche AG";"FRA|FRA";"René Metge|Claude Ballot-Léna";"Porsche 961";"Porsche Type-935 2.8L Turbo Flat-6";"Dunlop";"321";"4335.983";"";""
"1986";"8";"C2";"75";"GBR";"ADA Engineering";"GBR|GBR|GBR";"Ian Harrower|Evan Clements|Tom Dodd-Noble";"Gebhardt JC843";"Ford Cosworth DFL 3.3L V8";"Avon";"318";"4295.236";"";""
"1986";"9";"C1";"14";"GBR";"Liqui Moly Equipe";"ITA|USA|USA";"Mauro Baldi|Price Cobb|Rob Dyson";"Porsche 956 GTi";"Porsche Type-935 2.6L Turbo Flat-6";"Goodyear";"318";"4286.802";"";""
"1986";"10";"C1";"55";"GBR";"John Fitzpatrick Racing";"FRA|ESP|FRA";"Philippe Alliot|Paco Romero|Michel Trollé";"Porsche 962C";"Porsche Type-935 2.6L Turbo Flat-6";"Goodyear";"312";"4220.321";"";""
"1986";"11";"C2";"90";"DNK";"Jens Winther";"DNK|GBR|DNK";"Jens Winther|David Mercer|Lars Viggo Jensen";"URD C83";"BMW M88 3.5L I6";"Avon";"310";"4186.799";"";""
"1986";"12";"C2";"100";"FRA";"WM Secateva";"CHE|FRA|FRA";"Claude Haldi|Roger Dorchy|Pascal Pessiot";"WM P83B";"Peugeot PRV 2.7L Turbo V6";"Michelin";"301";"4070.801";"";""
"1986";"13";"C1";"47";"FRA";"Graff Racing";"FRA|FRA|FRA";"Jean-Philippe Grand|Jacques Goudchaux|Marc Menant";"Rondeau M482";"Ford Cosworth DFL 3.3L V8";"Michelin";"299";"4043.613";"";""
"1986";"14";"GTP";"21";"GBR";"Richard Cleare Racing";"GBR|FRA|USA";"Richard Cleare|Lionel Robert|Jack Newsum";"March 85G";"Porsche Type-962 2.8L Turbo Flat-6";"Goodyear";"299";"4040.834";"";""
"1986";"15";"C2";"78";"GBR";"Ecurie Ecosse";"USA|USA|USA";"Les Delano|John Hotchkis Sr.|Andy Petery";"Ecosse C285";"Ford Cosworth DFL 3.3L V8";"Avon";"293";"3961.575";"";""
"1986";"16";"C1";"32";"JPN";"Nissan Motorsport";"GBR|JPN|JPN";"James Weaver|Masahiro Hasemi|Takao Wada";"Nissan R85V";"Nissan VG30ET 3.0L Turbo V6";"Dunlop";"285";"3850.511";"";""
"1986";"17";"C2";"102";"FRA";"Lucien Rossiaud";"FRA|FRA|FRA";"Noël del Bello|Lucien Rossiaud|Bruno Sotty";"Rondeau M379C";"Ford Cosworth DFV 3.0L V8";"Avon";"278";"3751.832";"";""
"1986";"18";"C1";"13";"FRA";"Primagaz Team Cougar";"FRA|GBR|FRA";"Yves Courage|Alain de Cadenet|Pierre-Henri Raphanel";"Cougar C12";"Porsche Type-935 2.6L Turbo Flat-6";"Michelin";"267";"3599.712";"";""
"1986";"19";"C2";"70";"GBR";"Spice Engineering";"GBR|GBR|BEL";"Gordon Spice|Ray Bellm|Jean-Michel Martin";"Spice SE86C";"Ford Cosworth DFL 3.3L V8";"Avon";"257";"3485.328";"";""
"1986";"NC";"C1";"38";"JPN";"Dome Co. Ltd.";"SWE|ITA|JPN";"Eje Elgh|Beppe Gabbiani|Toshio Suzuki";"Dome 86C-L";"Toyota 4T-GT 2.1L Turbo I4";"Dunlop";"296";"4004.288";"";"Insufficient distance"
"1986";"NC";"B";"111";"DEU";"MK Motorsport";"DEU|BEL|BEL";"Michael Krankenberg|Pascal Witmeur|Jean-Paul Libert";"BMW M1";"BMW M88 3.5L I6";"Dunlop";"265";"3584.920";"";"Insufficient distance"
"1986";"NC";"C2";"72";"GBR";"Bartlett/Goodmans Sound";"GBR|GBR|GBR";"Robin Donovan|Richard Jones|Nick Adams";"Bardon DB1";"Ford Cosworth DFL 3.3L V8";"Avon";"211";"2854.408";"";"Insufficient distance"
"1986";"NC";"C2";"95";"FRA";"Roland Bassaler";"FRA|FRA|FRA";"Roland Bassaler|Dominique Lacaud|Yvon Tapy";"Sauber SHS C6";"BMW M88 3.5L I6";"Avon";"201";"2719.128";"";"Insufficient distance"
"1986";"DNF";"C1";"51";"GBR|GBR";"Silk Cut Jaguar|Tom Walkinshaw Racing";"GBR|USA|FRA";"Derek Warwick|Eddie Cheever|Jean-Louis Schlesser";"Jaguar XJR-6";"Jaguar 6.0L V12";"Dunlop";"239";"3233.192";"";"Suspension"
"1986";"DNF";"C1";"7";"DEU";"Joest Racing";"DEU|ITA|DEU";"Klaus Ludwig|Paolo Barilla|""John Winter"" (Louis Krages)";"Porsche 956B";"Porsche Type-935 2.6L Turbo Flat-6";"Goodyear";"196";"2651.488";"";"Engine"
"1986";"DSQ";"C2";"79";"GBR";"Ecurie Ecosse";"GBR|GBR|GBR";"David Leslie|Ray Mallock|Mike Wilds";"Ecosse C286";"Austin-Rover V64V 3.0L V6";"Avon";"181";"2448.568";"";"Filling water on track"
"1986";"DNF";"C1";"2";"DEU";"Rothmans Porsche";"DEU|FRA|AUS";"Jochen Mass|Bob Wollek|Vern Schuppan";"Porsche 962C";"Porsche Type-935 2.6L Turbo Flat-6";"Dunlop";"180";"2435.040";"";"Accident"
