"Year";"Pos";"Class";"No";"TeamCtry";"Team";"DrCtry";"Drivers";"Chassis";"Engine";"Tyres";"Laps";"Distance";"Time";"Reason"
"1929";"1";"8.0";"1";"GBR";"Bentley Motors Limited";"GBR|GBR";"Woolf Barnato|Sir Henry ""Tim"" Birkin";"Bentley Speed Six Old Number One";"Bentley 6.6L S6";"Dunlop";"174";"2843.830";"";""
"1929";"2";"5.0";"9";"GBR";"Bentley Motors Limited";"GBR|GBR";"Glen Kidston|Jack Dunfee";"Bentley 4½ Litre";"Bentley 4.4L S4";"Dunlop";"167";"2729.378";"";""
"1929";"3";"5.0";"10";"GBR";"Bentley Motors Limited";"GBR|FRA";"Dr. Dudley Benjafield|Baron André d'Erlanger";"Bentley 4½ Litre";"Bentley 4.4L S4";"Dunlop";"159";"2598.367";"";""
"1929";"4";"5.0";"8";"GBR";"Bentley Motors Limited";"GBR|FRA";"Frank Clement|Jean Chassagne";"Bentley 4½ Litre";"Bentley 4.4L S4";"Dunlop";"156";"2564.867";"";""
"1929";"5";"8.0";"5";"FRA";"Automobiles Elite Paris";"FRA|FRA";"Guy Bouriat|Philippe de Rothschild";"Stutz Model M Blackhawk";"Stutz 5.3L S8 supercharged";"Dunlop";"153";"2504.568";"";""
"1929";"6";"5.0";"14";"FRA";"Grand Garage Saint-Didier Paris";"FRA|FRA";"Robert Benoist|Henri Stoffel";"Chrysler Six 75";"Chrysler 4.1L S6";"Dunlop";"152";"2489.798";"";""
"1929";"7";"5.0";"12";"FRA";"Grand Garage Saint-Didier Paris";"FRA|FRA";"Cyril de Vere|Marcel Mongin";"Chrysler Six 77";"Chrysler 4.1L S6";"Dunlop";"149";"2434.917";"";""
"1929";"8";"1.5";"21";"GBR";"K.S. Peacock (private entrant)";"GBR|GBR";"Kenneth Peacock|Sammy Newsome";"Lea-Francis S-Type Hyper";"Meadows 1.5L S4 supercharged";"Dunlop";"136";"2221.939";"";""
"1929";"9";"1.1";"26";"FRA";"SA des Automobiles Tracta";"FRA|FRA";"Louis Balart|Louis Debeugny";"Tracta Type A";"S.C.A.P. 1.0L S4 supercharged";"Dunlop";"128";"2091.636";"";""
"1929";"10";"1.1";"27";"FRA";"SA des Automobiles Tracta";"FRA|FRA";"Jean-Albert Grégoire|Fernand Vallon";"Tracta Type A";"S.C.A.P. 1.0L S4 supercharged";"Dunlop";"126";"2060.323";"";""
"1929";"DNF";"8.0";"6";"GBR";"Colonel Warwick Wright (private entrant)";"GBR|GBR";"Capt. George Eyston|Dick Watney";"Stutz Model M Blackhawk";"Stutz 5.3L S8 supercharged";"Dunlop";"104";"1701.440";"";"Fuel tank"
"1929";"DNF";"1.5";"20";"FRA";"Bollack, Netter et Cie";"FRA|FRA";"Lucien Desvaux|Auguste Garalp";"B.N.C. Acacias";"B.N.C. 1.5L S4";"Dunlop";"88";"1439.680";"";"Transmission"
"1929";"DNF";"5.0";"7";"GBR";"C.W. Fiennes (private entrant)";"GBR|GBR";"Maj Cecil Twisleton-Wykeham-Fiennes|Arthur Owen Saunders-Davies";"Invicta LC 4½ Litre";"Meadows 4.5L S6";"Dunlop";"78";"1276.080";"";"Engine (connecting rod)"
"1929";"DNF";"2.0";"19";"FRA";"Société des Applications à Refroidissement par Air";"GBR|GBR";"W.R. Hutchinson|R.F. Turner";"S.A.R.A. SP7";"S.A.R.A. 1.8L S4";"Dunlop";"73";"1194.280";"";""
"1929";"DNF";"1.1";"25";"FRA";"SA des Automobiles Tracta";"FRA|FRA";"Maurice Benoist|Lucien Lemesle";"Tracta Type A";"S.C.A.P. 1.0L S4 supercharged";"Dunlop";"70";"1145.200";"";"Fuel pipe"
"1929";"DNF";"8.0";"4";"FRA";"Société de Carrosserie Weymann";"FRA|MCO";"Édouard Brisson|Louis Chiron";"Stutz Model M Blackhawk";"Stutz 5.3L S8 supercharged";"Dunlop";"65";"1063.400";"";"Fire, petrol hose, clutch"
"1929";"DNF";"1.1";"24";"FRA";"SA des Automobiles Tracta";"FRA|FRA";"Roger Bourcier|f.n.u. Tribaudot";"Tracta Speciale";"Cozette 1.0L S4 supercharged (2-Stroke)";"Dunlop";"43";"703.480";"";"Engine (broken petrol pipe)"
"1929";"DNF";"2.0";"16";"GBR";"Fox & Nicholl / PERR";"GBR|GBR";"Tim Rose-Richards|Brian Lewis, Baron Essendon";"Lagonda 2 Litre Speed";"Lagonda 2.0L S4";"Dunlop";"29";"473.860";"";"Engine (head gasket), Fire"
"1929";"DNF";"1.1";"29";"FRA";"Bollack, Netter et Cie";"FRA|FRA";"Jean Lajeune|Maurice Faure";"B.N.C. Type 527";"B.N.C. 1.0L S4";"Dunlop";"24";"392.640";"";"Engine"
"1929";"DNF";"2.0";"18";"FRA";"Société des Applications à Refroidissement par Air";"FRA|GBR";"Gaston Mottet|Douglas Hawkes";"S.A.R.A. SP7";"S.A.R.A. 1.8L S4";"Dunlop";"22";"359.920";"";"Engine"
"1929";"DNF";"1.5";"22";"GBR";"Alvis Car & Engineering Company";"GBR|GBR";"Cyril Paul|Bill Urquhart-Dykes";"Alvis FA8/15";"Alvis 1.5L S4 supercharged";"Dunlop";"21";"343.560";"";"Engine"
"1929";"DNF";"8.0";"2";"USA";"Du Pont Motor Company";"USA|USA";"Charles Moran Jr.|Alfredo Miranda Jr.";"Du Pont Model G Speedster";"Continental 5.3L S8";"Dunlop";"20";"327.200";"";"Transmission"
"1929";"DNF";"1.1";"30";"FRA";"Bollack, Netter et Cie";"FRA|FRA";"Michel Doré|Jean Treunet";"B.N.C. Type 527";"B.N.C. 1.0L S4";"Dunlop";"15";"245.400";"";"Engine, valves"
"1929";"DNF";"750";"31";"FRA";"Cyclecars D’Yrsan";"FRA|FRA";"f.n.u. Trillaud|Henri Lachner";"D’Yrsan Grand Sport";"Ruby 0.7 S4";"Dunlop";"9";"147.240";"";"Engine"
"1929";"DNF";"5.0";"11";"GBR";"Bentley Motors Limited";"AUS|GBR";"Bernard Rubin|Francis Curzon, Earl Howe";"Bentley 4½ Litre";"Bentley 4.4L S6";"Dunlop";"7";"114.520";"";"Ignition (magneto)"
"1929";"DNS";"1.5";"23";"GBR";"Alvis Car & Engineering Company";"GBR|GBR";"Sammy Davis|Leon Cushman";"Alvis FA8/15";"Alvis 1.5L S4 supercharged";"";"0";"0.0";"";"Engine"
"1929";"DNA";"8.0";"3";"USA";"Du Pont Motor Co.";"AUS|AUS";"Sidney Cotton|Millicent Cotton";"Du Pont Model G Speedster";"Continental 5.3L S8";"";"0";"0.0";"";""
"1929";"DNA";"4.0";"15";"FRA";"Compagnie Maryland Paris";"";"";"Oakland All-American Six";"Oakland 3.5L S6";"";"0";"0.0";"";""
"1929";"DNA";"2.0";"17";"GBR";"Fox & Nicholl / PERR";"";"";"Lagonda 2 Litre Speed";"Lagonda 1954cc S4";"";"0";"0.0";"";""
"1929";"DNA";"1.1";"28";"FRA";"Cyclecars D’Yrsan";"";"";"D’Yrsan Grand Sport";"Ruby 1097cc S4";"";"0";"0.0";"";""
