"Year";"Pos";"Class";"No";"TeamCtry";"Team";"DrCtry";"Drivers";"Chassis";"Engine";"Tyres";"Laps";"Distance";"Time";"Reason"
"1937";"1";"5.0";"2";"FRA";"Roger Labric";"FRA|FRA";"Jean-Pierre Wimille|Robert Benoist";"Bugatti Type 57G Tank";"Bugatti 3.3L S8";"Dunlop";"243";"3287.938";"";""
"1937";"2";"5.0";"14";"FRA";"Joseph Paul";"FRA|FRA";"Joseph Paul|Marcel Mongin";"Delahaye 135CS";"Delahaye 3.6L S6";"";"236";"3185.443";"";""
"1937";"3";"5.0";"10";"FRA";"Ecurie Bleue";"FRA|FRA";"René Dreyfus|Henri Stoffel";"Delahaye 135CS";"Delahaye 3.6L S6";"";"231";"3125.428";"";""
"1937";"4";"3.0";"19";"FRA";"Société R.V.";"FRA|FRA";"Jacques de Valence de Minardiere|Louis Gérard";"Delage D6-70";"Delage 3.0L S6";"";"215";"2907.590";"";""
"1937";"5";"1.5";"37";"GBR";"J.M. Skeffington";"GBR|GBR";"J.M. Skeffington|R.C. Murton-Neale";"Aston Martin 1½ Ulster";"Aston Martin 1.5L S4";"";"205";"2768.686";"";""
"1937";"6";"2.0";"33";"DEU";"Adler";"DEU|DEU";"Peter Graff Orssich|Rudolf Sauerwein";"Adler Super Trumpf Rennlimousine";"Adler 1.7L S4";"";"205";"2766.894";"";""
"1937";"7";"2.0";"26";"FRA";"Emile Darl'Mat";"FRA|FRA";"Jean Pujol|Marcel Contet";"Darl'mat DS";"Peugeot 2.0L S4";"";"203";"2739.634";"";""
"1937";"8";"2.0";"25";"FRA";"Emile Darl'Mat";"FRA|FRA";"Charles de Cortanze|Maurice Serre";"Darl'mat DS";"Peugeot 2.0L S4";"";"203";"2739.576";"";""
"1937";"9";"2.0";"34";"DEU";"Adler";"DEU|DEU";"Otto Löhr|Paul von Guilleaume";"Adler Super Trumpf Rennlimousine";"Adler 1.7L S4";"";"202";"2730.806";"";""
"1937";"10";"2.0";"27";"FRA";"Emile Darl'Mat";"FRA|FRA";"Daniel Porthault|Louis Rigal";"Darl'mat DS";"Peugeot 2.0L S4";"";"197";"2668.060";"";""
"1937";"11";"2.0";"31";"GBR";"C.T. Thomas";"GBR|GBR";"Mortimer Morris-Goodall|Robert P. Hichens";"Aston Martin Speed Model";"Aston Martin 2.0L S4";"";"193";"2613.884";"";""
"1937";"12";"1.1";"48";"FRA";"Just-Émile Vernet (private entrant)";"FRA|FRA";"Just-Émile Vernet|Mme Suzanne Largeot";"Simca";"Fiat 1.0L S4";"";"171";"2308.906";"";""
"1937";"13";"1.5";"36";"GBR";"A.C. Scott";"GBR|GBR";"Archie Scott|Ted Halford";"HRG 1500 Le Mans";"Meadows 1.5L S4";"";"163";"2212.364";"";""
"1937";"14";"1.1";"42";"GBR";"M.K.H. Bilney";"GBR|AUS";"M.K.H. Bilney|Miss Joan Richmond";"Ford Ten GB";"Ford 1.1L S4";"";"161";"2174.178";"";""
"1937";"15";"1.1";"49";"FRA";"H. Lesbros";"FRA|FRA";"Dimitri Calaraseano|H. Lesbros";"Adler Trumpf Junior";"Adler 1.0L S4";"";"160";"2160.642";"";""
"1937";"16";"1.1";"54";"GBR";"Capt. G.E.T. Eyston";"GBR|GBR";"Miss Dorothy Stanley-Turner|Miss Enid ""Joan"" Riddell";"MG PB Midget";"MG 0.9L S4";"";"154";"2082.620";"";""
"1937";"17";"750";"59";"FRA";"Gordini";"FRA|FRA";"Jean Viale|Albert Alin";"Simca Cinq";"Fiat 0.6L S4";"";"145";"1968.038";"";""
