"Year";"Pos";"Class";"No";"TeamCtry";"Team";"DrCtry";"Drivers";"Chassis";"Engine";"Tyres";"Laps";"Distance";"Time";"Reason"
"2020";"1";"LMP1";"8";"JPN";"Toyota Gazoo Racing";"CHE|NZL|JPN";"S?bastien Buemi|Brendon Hartley|Kazuki Nakajima";"Toyota TS050 Hybrid";"Toyota 2.4 L Hybrid Turbo V6";"Michelin";"387";"5273.262";"24:01:45.305";""
"2020";"2";"LMP1";"1";"CHE";"Rebellion Racing";"USA|FRA|BRA";"Gustavo Menezes|Norman Nato|Bruno Senna";"Rebellion R13";"Gibson GL458 4.5 L V8";"Michelin";"382";"5205.132";"24:03:05.492";""
"2020";"3";"LMP1";"7";"JPN";"Toyota Gazoo Racing";"GBR|JPN|ARG";"Mike Conway|Kamui Kobayashi|José María López";"Toyota TS050 Hybrid";"Toyota 2.4 L Hybrid Turbo V6";"Michelin";"381";"5191.506";"24:03:18.565";""
"2020";"4";"LMP1";"3";"CHE";"Rebellion Racing";"FRA|CHE|FRA";"Nathanaël Berthon|Louis Delétraz|Romain Dumas";"Rebellion R13";"Gibson GL458 4.5 L V8";"Michelin";"381";"5191.506";"24:04:27.973";""
"2020";"5";"LMP2";"22";"GBR";"United Autosports";"PRT|GBR|GBR";"Filipe Albuquerque|Philip Hanson|Paul di Resta";"Oreca 07";"Gibson GK428 4.2 L V8";"Michelin";"370";"5041.620";"24:02:33.577";""
"2020";"6";"LMP2";"38";"GBR";"Jota";"PRT|GBR|MEX";"António Félix da Costa|Anthony Davidson|Roberto González";"Oreca 07";"Gibson GK428 4.2 L V8";"Goodyear";"370";"5041.620";"24:03:06.408";""
"2020";"7";"LMP2";"31";"FRA";"Panis Racing";"FRA|FRA|FRA";"Julien Canal|Nico Jamin|Matthieu Vaxivière";"Oreca 07";"Gibson GK428 4.2 L V8";"Goodyear";"368";"5014.368";"24:01:57.436";""
"2020";"8";"LMP2";"36";"FRA";"Signatech Alpine Elf";"FRA|BRA|FRA";"Thomas Laurent|André Negrão|Pierre Ragues";"Alpine A470";"Gibson GK428 4.2 L V8";"Michelin";"367";"5000.742";"24:03:13.572";""
"2020";"9";"LMP2";"26";"RUS";"G-Drive Racing";"DNK|RUS|FRA";"Mikkel Jensen|Roman Rusinov|Jean-Éric Vergne";"Aurus 01";"Gibson GK428 4.2 L V8";"Michelin";"367";"5000.742";"24:04:11.150";""
"2020";"10";"LMP2";"28";"FRA";"IDEC Sport";"GBR|FRA|FRA";"Richard Bradley|Paul-Loup Chatin|Paul Lafargue";"Oreca 07";"Gibson GK428 4.2 L V8";"Michelin";"366";"4987.116";"24:02:57.605";""
