"Year";"Pos";"Class";"No";"TeamCtry";"Team";"DrCtry";"Drivers";"Chassis";"Engine";"Tyres";"Laps";"Distance";"Time";"Reason"
"1923";"1";"3.0";"9";"FRA";"Chenard-Walcker";"FRA|FRA";"Andr? Lagache|Ren? L?onard";"Chenard et Walcker Type U 15CV Sport";"Chenard et Walcker 3.0L S4";"Michelin";"128";"2209.536";"";""
"1923";"2";"3.0";"10";"FRA";"Chenard-Walcker";"FRA|FRA";"Raoul Bachmann|Christian Dauvergne";"Chenard et Walcker Type U 15CV Sport";"Chenard et Walcker 3.0L S4";"Michelin";"124";"2140.488";"";""
"1923";"3";"2.0";"23";"FRA";"Établissements industriels Jacques Bignan";"FRA|BEL";"Paul Gros|Raymond de Tornaco";"Bignan 11CV Desmo Sport";"Bignan 2.0L S4";"Englebert";"120";"2071.440";"";""
"1923";"4";"3.0";"8";"GBR";"Bentley Motors Limited";"CAN|GBR";"John Duff|Frank Clement";"Bentley 3 Litre Sport";"Bentley 3.0L S4";"Rapson";"112";"1933.344";"";""
"1923";"5";"2.0";"24";"FRA";"Établissements industriels Jacques Bignan";"FRA|FRA";"Philippe de Marne|Jean Martin";"Bignan 11CV Sport";"Bignan 2.0L S4";"Englebert";"112";"1933.344";"";""
"1923";"6";"8.0";"1";"BEL";"Automobiles Excelsior SA";"FRA|FRA";"Gonzaque Lécureul|f.n.u. Flaud";"Excelsior Adex C";"Excelsior 5.3L S6";"Englebert";"112";"1933.344";"";""
"1923";"7";"3.0";"11";"FRA";"Chenard-Walcker";"FRA|FRA";"Fernand Bachmann|Raymond Glaszmann";"Chenard et Walcker Type U 15CV Sport";"Chenard et Walcker 3.0L S4";"Michelin";"110";"1898.820";"";""
"1923";"8";"5.0";"7";"FRA";"Société Lorraine de Dietrich et Cie";"FRA|FRA";"Gérard de Courcelles|André Rossignol";"Lorraine-Dietrich B3-6 Sport";"Lorraine-Dietrich 3.4L S6";"Englebert";"108";"1864.296";"";""
"1923";"9";"8.0";"2";"BEL";"Automobiles Excelsior SA";"BEL|BEL";"André Dills|Nicolas Caerels";"Excelsior Adex C";"Excelsior 5.3L S6";"Englebert";"106";"1829.772";"";""
"1923";"10";"1.5";"29";"FRA";"Automobiles Ettore Bugatti";"FRA|FRA";"Max de Pourtealés|Sosthene de la Rochefoucauld";"Bugatti T22";"Bugatti 1.5L S4";"Englebert";"104";"1795.248";"";""
