"Year";"Pos";"Class";"No";"TeamCtry";"Team";"DrCtry";"Drivers";"Chassis";"Engine";"Tyres";"Laps";"Distance";"Time";"Reason"
"2006";"1";"LMP1";"8";"DEU";"Audi Sport Team Joest";"DEU|DEU|ITA";"Frank Biela|Marco Werner|Emanuele Pirro";"Audi R10 TDI";"Audi TDI 5.5L Turbo V12( Diesel)";"Michelin";"380";"5187.000";"";""
"2006";"2";"LMP1";"17";"FRA";"Pescarolo Sport";"FRA|FRA|FRA";"Sébastien Loeb|Éric Hélary|Franck Montagny";"Pescarolo C60 Hybrid";"Judd GV5 S2 5.0L V10";"Michelin";"376";"5132.400";"";""
"2006";"3";"LMP1";"7";"DEU";"Audi Sport Team Joest";"ITA|DNK|GBR";"Rinaldo Capello|Tom Kristensen|Allan McNish";"Audi R10 TDI";"Audi TDI 5.5L Turbo V12( Diesel)";"Michelin";"367";"5009.550";"";""
"2006";"4";"GT1";"64";"USA";"Corvette Racing";"GBR|MCO|DNK";"Oliver Gavin|Olivier Beretta|Jan Magnussen";"Chevrolet Corvette C6.R";"Chevrolet LS7R 7.0L V8";"Michelin";"355";"4845.750";"";""
"2006";"5";"LMP1";"16";"FRA";"Pescarolo Sport";"FRA|FRA|FRA";"Emmanuel Collard|Érik Comas|Nicolas Minassian";"Pescarolo C60 Hybrid";"Judd GV5 S2 5.0L V10";"Michelin";"352";"4804.800";"";""
"2006";"6";"GT1";"7";"GBR";"Aston Martin Racing";"CZE|GBR|ITA";"Tomáš Enge|Darren Turner|Andrea Piccini";"Aston Martin DBR9";"Aston Martin 6.0L V12";"Michelin";"350";"4777.500";"";""
"2006";"7";"GT1";"72";"FRA";"Luc Alphand Aventures";"FRA|FRA|FRA";"Luc Alphand|Patrice Goueslard|Jérôme Policand";"Chevrolet Corvette C5-R";"Chevrolet LS7R 7.0L V8";"Michelin";"346";"4722.900";"";""
"2006";"8";"LMP2";"25";"GBR";"Ray Mallock Ltd. (RML)";"GBR|BRA|GBR";"Mike Newton|Thomas Erdos|Andy Wallace";"MG-Lola EX264";"AER P07 2.0L Turbo I4";"Michelin";"343";"4681.950";"";""
"2006";"9";"GT1";"62";"RUS|GBR";"Russian Age Racing|Team Modena";"ESP|AUS|BRA";"Antonio García|David Brabham|Nelson Piquet Jr.";"Aston Martin DBR9";"Aston Martin 6.0L V12";"Michelin";"343";"4681.950";"";""
"2006";"10";"GT1";"9";"GBR";"Aston Martin Racing";"PRT|FRA|MCO";"Pedro Lamy|Stéphane Sarrazin|Stéphane Ortelli";"Aston Martin DBR9";"Aston Martin 6.0L V12";"Michelin";"342";"4668.300";"";""
"2006";"11";"GT1";"66";"USA";"ACEMCO Motorsports";"GBR|USA|BRA";"Johnny Mowlem|Terry Borcheller|Christian Fittipaldi";"Saleen S7-R";"Ford 7.0L V8";"Michelin";"337";"4600.050";"";""
"2006";"12";"GT1";"63";"USA";"Corvette Racing";"CAN|USA|ITA";"Ron Fellows|Johnny O'Connell|Max Papis";"Chevrolet Corvette C6.R";"Chevrolet LS7R 7.0L V8";"Michelin";"327";"4463.550";"";""
"2006";"13";"LMP2";"24";"USA";"Binnie Motorsports";"USA|JPN|GBR";"William Binnie|Yojiro Terada|Allen Timpany";"Lola B05/42";"Zytek ZG348 3.4L V8";"Michelin";"326";"4449.900";"";""
"2006";"14";"LMP2";"27";"USA";"Miracle Motorsports";"USA|USA|GBR";"Andy Lally|John Macaluso|Ian James";"Courage C65";"AER P07 2.0L Turbo I4";"Kumho";"324";"4422.600";"";""
"2006";"15";"GT2";"81";"GBR";"Team LNT";"GBR|GBR|GBR";"Lawrence Tomlinson|Tom Kimber-Smith|Richard Dean";"Panoz Esperante GT-LM";"Ford ( Élan) 5.0L V8";"Pirelli";"321";"4381.650";"";""
"2006";"16";"GT2";"83";"DEU|DEU";"Seikel Motorsport|Farnbacher Racing";"DNK|DEU|DEU";"Lars-Erik Nielsen|Pierre Ehret|Dominik Farnbacher";"Porsche 911 GT3-RS";"Porsche 3.6L Flat-6";"Yokohama";"320";"4368.000";"";""
"2006";"17";"GT2";"87";"GBR";"Scuderia Ecosse";"GBR|CAN|GBR";"Andrew Kirkaldy|Chris Niarchos|Tim Mullen";"Ferrari F430GT";"Ferrari F136 4.0L V8";"Michelin";"311";"4245.150";"";""
"2006";"18";"GT2";"80";"USA";"Flying Lizard Motorsports";"USA|USA|USA";"Johannes van Overbeek|Patrick Long|Seth Neiman";"Porsche 911 GT3-RSR";"Porsche 3.6L Flat-6";"Michelin";"309";"4217.850";"";""
"2006";"19";"LMP2";"33";"USA";"Intersport Racing";"USA|USA|USA";"Clint Field|Miss Liz Halliday|Duncan Dayton";"Lola B05/40";"AER P07 2.0L Turbo I4";"Goodyear";"297";"4054.050";"";""
"2006";"20";"LMP2";"22";"GBR";"Rollcentre Racing";"GBR|PRT|GBR";"Martin Short|João Barbosa|Stuart Moseley";"Radical SR9";"Judd XV675 3.4L V8";"Dunlop";"294";"4013.100";"";""
"2006";"21";"LMP2";"32";"FRA";"Barazi-Epsilon";"DNK|NLD|NZL";"Juan Barazi|Michael Vergers|Neil Cunningham";"Courage C65";"AER P07 2.0L Turbo I4";"Michelin";"294";"4013.100";"";""
"2006";"22";"GT2";"93";"JPN";"Team Taisan Advan";"JPN|JPN|USA";"Kazuyuki Nishizawa|Shinichi Yamaji|Philip Collin";"Porsche 911 GT3-RS";"Porsche 3.6L Flat-6";"Yokohama";"291";"3972.150";"";""
"2006";"23";"GT2";"73";"BEL|BEL";"Gordon Racing Team|Ice Pol Racing Team";"BEL|BEL|FRA";"Yves-Emmanuel Lambert|Christian Lefort|Romain Iannetta";"Porsche 911 GT3-RSR";"Porsche 3.8L Flat-6";"Dunlop";"282";"3849.300";"";""
"2006";"24";"LMP1";"2";"GBR|DNK";"Zytek Engineering|Team Essex Invest";"DNK|DNK|DNK";"John Nielsen|Casper Elgaard|Philip Andersen";"Zytek 06S";"Zytek ZB408 4.0L V8";"Michelin";"269";"3671.850";"";""
"2006";"25";"LMP1";"19";"GBR";"Chamberlain-Synergy Motorsport";"GBR|GBR|GBR";"Bob Berridge|Gareth Evans|Peter Owen";"Lola B06/10";"AER P32T 3.6L Turbo V8";"Dunlop";"267";"3644.550";"";""
"2006";"NC";"LMP2";"20";"FRA";"Pir Competition";"FRA|GBR|USA";"Marc Rostan|Simon Pullan|Chris MacAllister";"Pilbeam MP93";"Judd XV675 3.4L V8";"Michelin";"244";"3330.600";"";"Insufficient distance"
"2006";"NC";"GT1";"53";"JPN";"JLOC Isao Noritake";"ITA|JPN|JPN";"Marco Apicella|Koji Yamanishi|Yasutaka Hinoi";"Lamborghini Murcielago R-GT";"Lamborghini L535 6.0L V12";"Pirelli";"283";"3862.950";"";"Did not corss the finish line"
"2006";"DNF";"GT2";"89";"GBR";"Sebah Automotive Ltd.";"DEU|FRA|DNK";"Christian Ried|Xavier Pompidou|Thorkild Thyrring";"Porsche 911 GT3-RSR";"Porsche 3.6L Flat-6";"Dunlop";"256";"3494.400";"20:40:00";"Transmission (cardan)"
"2006";"DNF";"LMP1";"9";"GBR";"Creation Autosportif Ltd.";"CHE|ITA|GBR";"Felipe Ortiz|Giuseppe Gabbiani|Jamie Campbell-Walter";"Creation CA06/H";"Judd GV5 S2 5.0L V10";"Michelin";"240";"3276.000";"20:00:00";"Engine"
"2006";"DNF";"GT1";"50";"FRA";"Larbre Compétition";"FRA|FRA|CHE";"Patrick Bornhauser|Jean-Luc Blanchemain|Gabriele Gardel";"Ferrari 550-GTS Maranello";"Ferrari F133 5.9L V12";"Michelin";"222";"3030.300";"17:35:00";"Clutch"
"2006";"DNF";"GT2";"76";"FRA";"IMSA Performance Matmut";"FRA|ITA|FRA";"Raymond Narac|Luca Riccitelli|Romain Dumas";"Porsche 911 GT3-RSR";"Porsche 3.8L Flat-6";"Michelin";"211";"2880.150";"18:17:00";"Engine"
