"Year";"Pos";"Class";"No";"TeamCtry";"Team";"DrCtry";"Drivers";"Chassis";"Engine";"Tyres";"Laps";"Distance";"Time";"Reason"
"1977";"1";"S+2.0";"4";"DEU";"Martini Racing Porsche System";"DEU|USA|BEL";"J?rgen Barth|Hurley Haywood|Jacky Ickx";"Porsche 936/77";"Porsche Type-935 2.1L Turbo Flat-6";"Dunlop";"342";"4671.630";"";""
"1977";"2";"S+2.0";"10";"USA|FRA";"Grand Touring Cars Inc.|Mirage Renault";"AUS|FRA";"Vern Schuppan|Jean-Pierre Jarier";"Mirage GR8";"Renault 2.0L Turbo V6";"Goodyear";"331";"4519.790";"";""
"1977";"3";"Gr.5";"40";"FRA";"JMS Racing / ASA Cachia";"FRA|USA";"Claude Ballot-Léna|Peter Gregg";"Porsche 935";"Porsche Type-935 2.9L Turbo Flat-6";"Dunlop";"315";"4307.530";"";""
"1977";"4";"GTP";"88";"FRA";"Inaltera";"FRA|FRA";"Jean Ragnotti|Jean Rondeau";"Inaltera LM77";"Ford Cosworth DFV 3.0L V8";"Goodyear";"315";"4305.410";"";""
"1977";"5";"S+2.0";"5";"GBR";"Alain de Cadenet";"GBR|GBR";"Alain de Cadenet|Chris Craft";"De Cadenet-Lola LM";"Ford Cosworth DFV 3.0L V8";"Goodyear";"315";"4302.820";"";""
"1977";"6";"S2.0";"20";"FRA";"Racing Organisation Course";"FRA|FRA|FRA";"Michel Pignard|Albert Dufréne|Jacques Henry";"Chevron B36";"ROC-Chrysler 2.0L I4";"Goodyear";"303";"4144.080";"";""
"1977";"7";"GT";"58";"DEU";"Porsche Kremer Racing";"FRA|BEL|FRA";"Bob Wollek|""Steve"" (Jean-Pierre Wielemans)|Philippe Gurdjian";"Porsche 934";"Porsche 3.0L Turbo Flat-6";"Goodyear";"298";"4066.070";"";""
"1977";"8";"IMSA";"71";"BEL";"Luigi Racing";"BEL|BEL|ITA";"Jean Xhenceval|Pierre Dieudonné|Spartaco Dini";"BMW 3.0 CSL";"BMW M30 3.2L I6";"Dunlop";"291";"3980.590";"";""
"1977";"9";"IMSA";"50";"FRA";"Hervé Poulain";"FRA|FRA";"Hervé Poulain|Marcel Mignot";"BMW 320i";"BMW M12 2.0L I4";"Goodyear";"287";"3921.270";"";""
"1977";"10";"IMSA";"61";"FRA";"Christian Gouttepifre";"FRA|FRA|FRA";"Christian Gouttepifre|Philippe Malbran|Alain Leroux";"Porsche 911 Carrera RS";"Porsche 3.0L Flat-6";"Dunlop";"281";"3844.080";"";""
"1977";"11";"S+2.0";"2";"FRA";"Inaltera";"ITA|BEL";"Mme Lella Lombardi|Mme Christine Beckers";"Inaltera LM77";"Ford Cosworth DFV 3.0L V8";"Goodyear";"279";"3815.290";"";""
"1977";"12";"IMSA";"70";"FRA";"JMS Racing / ASA Cachia";"GBR|FRA|FRA";"Simon de Lautour|Jean-Pierre Delaunay|Jacques Guérin";"Porsche 911 Carrera RSR";"Porsche 3.0L Flat-6";"Dunlop";"275";"3762.900";"";""
"1977";"13";"S+2.0";"1";"FRA";"Inaltera";"FRA|USA";"Jean-Pierre Beltoise|Al Holbert";"Inaltera LM77";"Ford Cosworth DFV 3.0L V8";"Goodyear";"275";"3759.000";"";""
"1977";"14";"IMSA";"79";"FRA";"Ravenel Frères";"FRA|FRA|FRA";"Jean-Louis Ravenel|Jean Ravenel|Jean-Marie Détrin";"Porsche 911 Carrera RS";"Porsche 3.0L Flat-6";"Dunlop";"274";"3759.110";"";""
"1977";"15";"GTP";"86";"FRA";"WM A.E.R.E.M.";"FRA|FRA|FRA";"Max Mamers|Jean-Daniel Raulet|Xavier Mathiot";"WM P76";"PeugeotPRV 2.7L V6";"Michelin";"274";"3755.640";"";""
"1977";"16";"IMSA";"75";"USA";"North American Racing Team";"FRA|FRA";"François Migault|Lucien Guitteny";"Ferrari 365 GT4/BB";"Ferrari 4.4L Flat-12";"Goodyear";"268";"3749.800";"";""
"1977";"17";"GTP";"83";"GBR";"Robin Hamilton";"GBR|GBR|GBR";"Robin Hamilton|David Preece|Mike Salmon";"Aston Martin DBS V8";"Aston Martin 5.3L V8";"Dunlop";"260";"3667.190";"";""
"1977";"18";"Gr.5";"47";"FRA";"Anne-Charlotte Verney / BP";"FRA|FRA|FRA|FRA";"Mme Anne-Charlotte Verney|René Metge|Dany Snobeck|Hubert Striebig";"Porsche 911 Carrera RSR";"Porsche 3.0L Flat-6";"Goodyear";"254";"3557.910";"";""
"1977";"19";"GT";"56";"FRA";"JMS Racing / ASA Cachia";"FRA|FRA|FRA";"Jean-Louis Bousquet|Cyril Grandet|Philippe Dagoreau";"Porsche 934";"Porsche 3.0L Turbo Flat-6";"Dunlop";"253";"3467.890";"";""
"1977";"20";"IMSA";"77";"BEL|USA";"Wynn's International|Kirby-Hitchcock Racing";"USA|USA|USA";"Dennis Aase|Bob Kirby|John Hotchkis Sr.";"Porsche 911 Carrera RSR";"Porsche 3.0L Flat-6";"Goodyear";"246";"3451.860";"";""
"1977";"NC";"S2.0";"31";"GBR";"Dorset Racing Associates";"GBR|IRL|NLD|GBR";"Ian Harrower|Martin Birrane|Ernst Berg|Richard Down";"Lola T294S";"Ford Cosworth BDA 2.0L I4";"Goodyear";"212";"3367.340";"";"Insufficient distance"
"1977";"DNF";"S+2.0";"8";"FRA";"Équipe Renault Elf";"FRA|FRA";"Patrick Depailler|Jacques Laffite";"Renault Alpine A442";"Renault 2.0L Turbo V6";"Goodyear";"289";"3941.960";"21:00:00";"Engine (piston)"
"1977";"DNF";"Gr.5";"39";"DEU";"Gelo Racing Team";"NLD|AUS|DEU";"Toine Hezemans|Tim Schenken|Hans Heyer";"Porsche 935";"Porsche Type-935 2.9L Turbo Flat-6";"Michelin";"269";"3669.160";"21:00:00";"Injection"
"1977";"DNF";"S+2.0";"9";"FRA";"Équipe Renault Elf";"FRA|GBR";"Jean-Pierre Jabouille|Derek Bell";"Renault Alpine A442";"Renault 2.0L Turbo V6";"Michelin";"257";"3505.480";"18:00:00";"Engine (piston)"
"1977";"DNF";"GTX";"96";"CHE";"GVEA Porsche Club Romand";"CHE|CHE|CHE";"André Savary|Jean-Robert Corthay|Antoine Salamin";"Porsche 911 Carrera RS";"Porsche 3.0L Flat-6";"Goodyear";"211";"2878.040";"19:00:00";"Engine (head gasket)"
"1977";"DNF";"IMSA";"78";"GBR";"Charles Ivey Racing";"USA|GBR|GBR";"John Rulon-Miller|John Cooper|Peter Lovett";"Porsche 911 Carrera RSR";"Porsche 3.0L Flat-6";"Michelin";"198";"2700.720";"18:00:00";"Engine, distribution"
"1977";"DNF";"IMSA";"80";"FRA";"Bernard Béguin";"FRA|FRA|FRA";"Bernard Béguin|René Boubet|Jean-Claude Briavoine";"Porsche 911 Carrera RS";"Porsche 3.0L Flat-6";"Goodyear";"191";"2605.240";"17:00:00";"Engine (haed gasket)"
"1977";"DNF";"S2.0";"25";"FRA";"Racing Organisation Course";"MAR|FRA|FRA";"Max Cohen-Olivar|Alain Flotard|Michel Dubois";"Chevron B36";"ROC-Chrysler 2.0L I4";"Dunlop";"176";"2400.640";"17:00:00";"Engine, distribution"
"1977";"DNF";"S2.0";"21";"CHE";"P.P. Sauber AG / Francy Racing";"CHE|CHE";"Eugen Strähl|Peter Bernhard";"Sauber C5";"BMW M12 2.0L I4";"Michelin";"161";"2196.040";"14:00:00";"Oil leak"
"1977";"DNF";"GT";"59";"CHE";"Schiller Racing Team";"FRA|FRA|FRA";"François Sérvanin|Laurent Ferrier|Franz Hummel";"Porsche 934";"Porsche 3.0L Turbo Flat-6";"Goodyear";"160";"2182.400";"13:00:00";"Transmission (gearbox)"
"1977";"DNF";"S+2.0";"7";"FRA";"Équipe Renault Elf";"FRA|FRA";"Patrick Tambay|Jean-Pierre Jaussaud";"Renault Alpine A442";"Renault 2.0L Turbo V6";"Dunlop";"158";"2155.120";"13:00:00";"Engine (piston)"
"1977";"DNF";"GTP";"87";"FRA";"Bernard Decure";"FRA|FRA|FRA";"Bernard Decure|Jean-Luc Thérier|""Cochise"" (Jacky Cauchy)";"Alpine A310";"RenaultPRV 2.7L V6";"Michelin";"137";"1868.680";"16:00:00";"Water leak"
