"Year";"Pos";"Class";"No";"TeamCtry";"Team";"DrCtry";"Drivers";"Chassis";"Engine";"Tyres";"Laps";"Distance";"Time";"Reason"
"1957";"1";"S5.0";"3";"GBR";"Ecurie Ecosse";"GBR|GBR";"Ron Flockhart|Ivor Bueb";"Jaguar D-Type";"Jaguar 3.8L S6";"Dunlop";"327";"4397.108";"";""
"1957";"2";"S5.0";"15";"GBR";"Ecurie Ecosse";"GBR|GBR";"Ninian Sanderson|John 'Jock' Lawrence";"Jaguar D-Type";"Jaguar 3.4L S6";"";"319";"4289.536";"";""
"1957";"3";"S5.0";"17";"FRA";"Equipe Los Amigos";"FRA|FRA";"Jean Lucas|""Mary"" (Jean Brussin)";"Jaguar D-Type";"Jaguar 3.4L S6";"Dunlop";"317";"4255.155";"";""
"1957";"4";"S5.0";"16";"BEL";"Equipe Nationale Belge";"BEL|BEL";"Paul Frère|Freddy Rousselle";"Jaguar D-Type";"Jaguar 3.4L S6";"Dunlop";"310";"4169.237";"";""
"1957";"5";"S5.0";"8";"ITA";"Scuderia Ferrari";"GBR|ITA";"Stuart Lewis-Evans|Martino Severi";"Ferrari 315 S";"Ferrari 3.8L V12";"Englebert";"300";"4031.618";"";""
"1957";"6";"S5.0";"4";"GBR";"Duncan Hamilton (private entrant)";"GBR|USA";"Duncan Hamilton|Masten Gregory";"Jaguar D-Type";"Jaguar 3.8L S6";"Dunlop";"299";"4017.047";"";""
"1957";"7";"S2.0";"28";"BEL";"Equipe Nationale Belge";"BEL|BEL";"Lucien Bianchi|Georges Harris";"Ferrari 500 TRC";"Ferrari 1985cc S4";"Englebert";"288";"3869.080";"";""
"1957";"8";"S1.5";"35";"USA";"Ed Hugus (private entrant)";"USA|NLD";"Ed Hugus|Carel Godin de Beaufort";"Porsche 550A";"Porsche 1498cc S4";"";"286";"3848.353";"";""
"1957";"9";"S1.1";"62";"GBR";"Lotus Engineering";"USA|USA";"Jay Chamberlain|Herbert MacKay-Fraser";"Lotus Eleven";"Coventry Climax FWA 1098cc S4";"";"285";"3826.999";"";""
"1957";"10";"S2.0";"31";"GBR";"AC Cars Ltd.";"GBR|GBR";"Ken Rudd|Peter Bolton";"AC Ace";"Bristol 1970cc S6";"";"281";"3780.473";"";""
"1957";"NC";"S1.5";"34";"DEU";"Porsche KG";"FRA|USA";"Claude Storez|Ed Crawford";"Porsche 550A";"Porsche 1498cc F4";"";"275";"3658.987";"";"Last lap too slow, out of fuel"
"1957";"11";"S3.0";"21";"GBR";"Aston Martin Ltd.";"FRA|FRA";"Jean-Paul Colas|Jean Kerguen";"Aston Martin DB3S";"Aston Martin 3.0L S6";"Englebert";"272";"3494.588";"";""
"1957";"12";"S2.0";"26";"FRA";"Georges Guyot (private entrant)";"FRA|FRA";"Georges Guyot|Michel Parsy";"Maserati A6GCS";"Maserati 1985cc S4";"Dunlop";"260";"3477.821";"";""
"1957";"13";"S1.1";"42";"GBR";"Bob Walshaw (private entrant)";"GBR|GBR";"Bob Walshaw|John Dalton";"Lotus Eleven";"Coventry Climax FWA 1098cc S4";"";"259";"3477.164";"";""
"1957";"14";"S750";"55";"GBR";"Lotus Engineering";"GBR|GBR";"Cliff Allison|Keith Hall";"Lotus Eleven";"Coventry Climax FWC 745cc S4";"Dunlop";"259";"3409.845";"";""
"1957";"15";"S1.1";"40";"GBR";"Cooper Cars";"AUS|GBR";"Jack Brabham|Ian Raby";"Cooper T39";"Coventry Climax FWA 1098cc S4";"Dunlop";"254";"3395.987";"";""
"1957";"16";"S1.1";"41";"FRA";"André Héchard (private entrant)";"FRA|FRA";"André Héchard|Roger Masson";"Lotus Eleven";"Coventry Climax FWA 1098cc S4";"";"253";"3211.927";"";""
"1957";"17";"S750";"49";"FRA";"Automobiles Deutsch et Bonnet";"FRA|FRA";"Louis Cornet|Henri Perrier";"DB HBR-4 Spyder";"Panhard 745cc F2";"";"239";"3192.634";"";""
"1957";"18";"S750";"52";"FRA";"Equipe Monopole Course";"FRA|FRA";"Pierre Chancel|Jean Hémard";"Monopole X89 Coupé";"Panhard 745cc F2";"";"238";"3138.534";"";""
"1957";"19";"S750";"46";"ITA";"Automobili O.S.C.A.";"FRA|FRA";"Jean Laroche|Rémy Radix";"O.S.C.A. 750 S";"O.S.C.A. 749cc S4";"";"234";"3092.647";"";""
"1957";"20";"S750";"58";"ITA";"Automobili Stanguellini";"FRA|FRA";"Fernand Sigrand|Michel Nicol";"Stanguellini S750 Sport";"Stanguellini 741cc S4";"";"214";"2879.739";"";""
"1957";"DNF";"S2.0";"24";"GBR";"Automobiles Frazer Nash Ltd.";"GBR|GBR";"Richard 'Dickie' Stoop|Peter Jopp";"Frazer Nash Sebring";"Bristol 1971cc S6";"";"240";"3230.640";"23:00:00";"Oil leak"
"1957";"DNF";"S2.0";"27";"FRA";"Fernand Tavano (private entrant)";"FRA|FRA";"Fernand Tavano|Jacques Péron";"Ferrari 500 TRC";"Ferrari 1985cc S4";"Englebert";"235";"3163.335";"21:00:00";"Engine (piston)"
"1957";"DNF";"S750";"53";"FRA";"Equipe Monopole Course";"FRA|FRA";"Robert Chancel|Pierre Flahault";"Monopole X88 Coupé";"Panhard 745cc F2";"";"230";"3096.030";"23:00:00";"Engine"
"1957";"DNF";"S5.0";"10";"USA";"George Arents (private entrant)";"USA|BEL";"George Arents|Jan de Vroom";"Ferrari 290 MM";"Ferrari 3.5L V12";"Englebert";"183";"2463.363";"15:00:00";"Brakes"
"1957";"DNF";"S1.1";"45";"DEU";"Wolfgang Seidel (private entrant)";"DEU|DEU";"Wolfgang Seidel|Heinz Meier";"DKW Monza Coupé";"DKW 994cc S3 (2-Stroke)";"Continental";"151";"2032.611";"20:00:00";"Engine"
"1957";"DNF";"S3.0";"20";"GBR";"Aston Martin Ltd.";"GBR|GBR";"Tony Brooks|Noël Cunningham-Reid";"Aston Martin DBR1/300";"Aston Martin 2.9L S6";"";"140";"1884.540";"11:00:00";"Accident (with #32 at Tetre Rouge), gearbox, oil leak"
"1957";"DNF";"S2.0";"25";"FRA";"Léon Coulibeuf (private entrant)";"FRA|FRA";"Léon Coulibeuf|José Behra";"Maserati 200S";"Maserati 1998cc S4";"Pirelli";"136";"1830.696";"14:00:00";"Fuel leak, punctured tank"
"1957";"DNF";"S750";"56";"ITA";"Automobili Stanguellini";"FRA|FRA";"René-Philippe Faure|Gilbert Foury";"Stanguellini S750 Bialbero";"Stanguellini 741cc S4";"";"131";"1763.391";"13:00:00";"Engine (valves)"
"1957";"DNF";"S2.0";"29";"FRA";"Equipe Los Amigos";"FRA|USA";"François Picard|Richie Ginther";"Ferrari 500 TRC";"Ferrari 1985cc S4";"Englebert";"129";"1736.469";"12:00:00";"Water pump"
"1957";"DNF";"S1.5";"32";"DEU";"Porsche KG";"ITA|DDDE";"Umberto Maglioli|Edgar Barth";"Porsche 718 RSK";"Porsche 1498cc F4";"";"129";"1736.469";"11:00:00";"Accident (with #20 at Tetre Rouge)"
"1957";"DNF";"S750";"54";"FRA";"Equipe Monopole Course";"FRA|FRA";"René Cotton|Jacques Blanchet";"Monopole X88 Spyder";"Panhard 745cc F2";"";"127";"1709.547";"13:00:00";"Gearbox"
"1957";"DNF";"S750";"50";"FRA";"Automobiles Deutsch et Bonnet";"FRA|FRA";"Jean-Claude Vidilles|Jo Schlesser";"DB HBR-4 Spyder";"Panhard 747cc F2";"";"126";"1696.086";"13:00:00";"Accident"
"1957";"DNF";"S750";"51";"FRA";"Automobiles Deutsch et Bonnet";"FRA|FRA";"Paul Armagnac|Gérard Laureau";"DB HBR-4 Spyder";"Panhard 747cc F2";"";"120";"1615.320";"14:00:00";"Accident"
"1957";"DNF";"S3.0";"19";"GBR";"Aston Martin Ltd.";"GBR|GBR";"Roy Salvadori|Les Leston";"Aston Martin DR1/300";"Aston Martin 2.9L S6";"";"112";"1507.632";"9:00:00";"Clutch, gearbox, oil pipe"
"1957";"DNF";"S5.0";"9";"ITA";"Scuderia Ferrari";"BEL|FRA";"Olivier Gendebien|Maurice Trintignant";"Ferrari 250 TR";"Ferrari 3.1L V12";"Englebert";"109";"1467.249";"9:00:00";"Engine (piston)"
"1957";"DNF";"S1.5";"33";"DEU";"Porsche KG";"DEU|DEU";"Hans Herrmann|Richard von Frankenberg";"Porsche 500A";"Porsche 1498cc F4";"";"87";"1171.107";"7:00:00";"Ignition"
"1957";"DNF";"S5.0";"5";"GBR";"Aston Martin Ltd.";"GBR|GBR";"Peter Whitehead|Graham Whitehead";"Aston Martin DBR2";"Aston Martin 3.7L S6";"";"81";"1090.341";"7:00:00";"Gearbox"
