"Year";"Pos";"Class";"No";"TeamCtry";"Team";"DrCtry";"Drivers";"Chassis";"Engine";"Tyres";"Laps";"Distance";"Time";"Reason"
"2000";"1";"LMP900";"8";"DEU";"Audi Sport Team Joest";"DEU|DNK|ITA";"Frank Biela|Tom Kristensen|Emanuele Pirro";"Audi R8";"Audi 3.6L Turbo V8";"Michelin";"368";"5007.988";"";""
"2000";"2";"LMP900";"9";"DEU";"Audi Sport Team Joest";"FRA|GBR|MCO";"Laurent Aïello|Allan McNish|Stéphane Ortelli";"Audi R8";"Audi 3.6L Turbo V8";"Michelin";"367";"4994.374";"";""
"2000";"3";"LMP900";"7";"DEU";"Audi Sport Team Joest";"DEU|ITA|ITA";"Christian Abt|Michele Alboreto|Rinaldo Capello";"Audi R8";"Audi 3.6L Turbo V8";"Michelin";"365";"4967.160";"";""
"2000";"4";"LMP900";"16";"FRA";"Pescarolo Sport";"FRA|FRA|FRA";"Olivier Grouillard|Sébastien Bourdais|Emmanuel Clérico";"Courage C52";"Peugeot A32 3.2L Turbo V6";"Michelin";"344";"4684.273";"";""
"2000";"5";"LMP900";"12";"USA";"Panoz Motorsports";"USA|JPN|FRA";"Johnny O'Connell|Hiroki Katoh|Pierre-Henri Raphanel";"Panoz LMP-1 Roadster-S";"Élan 6L8 6.0L V8";"Michelin";"342";"4650.282";"";""
"2000";"6";"LMP900";"23";"JPN";"TV Asahi Team Dragon";"JPN|JPN|JPN";"Toshio Suzuki|Masami Kageyama|Masahiko Kageyama";"Panoz LMP-1 Roadster-S";"Élan 6L8 6.0L V8";"Michelin";"340";"4630.200";"";""
"2000";"7";"GTS";"51";"FRA";"Viper Team Oreca";"FRA|MCO|AUT";"Dominique Dupuy|Olivier Beretta|Karl Wendlinger";"Chrysler Viper GTS-R";"Chrysler 8.0L V10";"Michelin";"333";"4531.825";"";""
"2000";"8";"LMP900";"22";"JPN";"TV Asahi Team Dragon";"JPN|JPN|JPN";"Keiichi Tsuchiya|Akira Iida|Masahiko Kondo";"Panoz LMP-1 Roadster-S";"Élan 6L8 6.0L V8";"Michelin";"330";"4494.105";"";""
"2000";"9";"GTS";"53";"FRA";"Viper Team Oreca";"USA|PRT|FRA";"David Donohue|Ni Amorim|Anthony Beltoise";"Chrysler Viper GTS-R";"Chrysler 8.0L V10";"Michelin";"328";"4463.792";"";""
"2000";"10";"GTS";"64";"USA";"Corvette Racing";"FRA|USA|USA";"Franck Fréon|Andy Pilgrim|Kelly Collins";"Chevrolet Corvette C5-R";"Chevrolet LS7R 7.0L V8";"Goodyear";"327";"4441.382";"";""
"2000";"11";"GTS";"63";"USA";"Corvette Racing";"USA|CAN|GBR";"Chris Kneifel|Ron Fellows|Justin Bell";"Chevrolet Corvette C5-R";"Chevrolet LS7R 7.0L V8";"Goodyear";"326";"4433.531";"";""
"2000";"12";"GTS";"52";"FRA";"Viper Team Oreca";"USA|BEL|NLD";"Tommy Archer|Marc Duez|Patrick Huisman";"Chrysler Viper GTS-R";"Chrysler 8.0L V10";"Michelin";"324";"4409.617";"";""
"2000";"13";"GTS";"57";"NLD";"Carsport Holland";"NLD|NLD|NLD";"Mike Hezemans|David Hart|Hans Hugenholtz";"Chrysler Viper GTS-R";"Chrysler 8.0L V10";"Michelin";"317";"4307.715";"";""
"2000";"14";"GTS";"60";"DEU";"Konrad Motorsport";"USA|USA|DEU";"Charles Slater|Tommy Kendall|Jürgen von Gartzen";"Porsche 911 GT2";"Porsche 3.8L Turbo Flat-6";"Dunlop";"317";"4306.594";"";""
"2000";"15";"LMP900";"11";"USA";"Panoz Motorsports";"AUS|DNK|USA";"David Brabham|Jan Magnussen|Mario Andretti";"Panoz LMP-1 Roadster-S";"Élan 6L8 6.0L V8";"Michelin";"315";"4291.468";"";""
"2000";"16";"GT";"73";"JPN";"Team Taisan ( ja) Advan";"JPN|JPN|BEL";"Hideo Fukuyama|Atsushi Yogo|Bruno Lambert";"Porsche 911 GT3-R";"Porsche 3.6L Flat-6";"Yokohama";"310";"4220.975";"";""
"2000";"17";"GT";"82";"AUS";"Skea Racing International";"GBR|USA|DEU";"Johnny Mowlem|David Murry|Sascha Maassen";"Porsche 911 GT3-R";"Porsche 3.6L Flat-6";"Pirelli";"304";"4138.542";"";""
"2000";"18";"GT";"76";"DEU";"Seikel Motorsport";"MAR|BEL|CAN";"Max Cohen-Olivar|Michel Neugarten|Anthony Burgess";"Porsche 911 GT3-R";"Porsche 3.6L Flat-6";"Dunlop";"302";"4106.595";"";""
"2000";"19";"LMP900";"3";"FRA";"Team DAMS";"FRA|FRA|FRA";"Éric Bernard|Emmanuel Collard|Franck Montagny";"Cadillac Northstar LMP";"Cadillac Northstar 4.0L Turbo V8";"Pirelli";"300";"4074.379";"";""
"2000";"20";"LMP900";"6";"FRA";"Mopar Team Oreca";"BEL|BEL|FRA";"Didier Theys|Jeffrey van Hooydonk|Didier André";"Reynard 2KQ-LM";"Chrysler Mopar 6.0L V8";"Michelin";"292";"3973.320";"";""
"2000";"21";"LMP900";"1";"USA";"Team Cadillac";"FRA|USA|GBR";"Franck Lagorce|Butch Leitzinger|Andy Wallace";"Cadillac Northstar LMP";"Cadillac Northstar 4.0L Turbo V8";"Pirelli";"291";"3954.845";"";""
"2000";"22";"LMP900";"2";"USA";"Team Cadillac";"ZAF|ITA|BEL";"Wayne Taylor|Max Angelelli|Eric van de Poele";"Cadillac Northstar LMP";"Cadillac Northstar 4.0L Turbo V8";"Pirelli";"287";"3900.400";"";""
"2000";"23";"GT";"79";"FRA";"Perspective Racing";"FRA|FRA|FRA";"Thierry Perrier|Jean-Louis Ricci|Romano Ricci";"Porsche 911 GT3-R";"Porsche 3.6L Flat-6";"Pirelli";"286";"3892.966";"";""
"2000";"24";"GT";"80";"BEL";"M1 Club-Renstal Excelsior";"BEL|BEL|BEL";"Philippe Verellen|Rudi Penders|Kurt Dujardyn";"Porsche 911 GT3-R";"Porsche 3.6L Flat-6";"Pirelli";"285";"3879.444";"";""
"2000";"25";"LMP675";"32";"CAN";"Multimatic Motorsports";"CAN|CAN|CAN";"Scott Maxwell|John Graham|Greg Wilkins";"Lola B2K/40";"Nissan ( AER) VQL 3.0L V6";"Pirelli";"274";"3726.007";"";""
"2000";"26";"LMP675";"36";"FRA";"Rachel Welter";"FRA|JPN|FRA";"Richard Balandras|Yojiro Terada|Sylvain Boulay";"WR LMP";"Peugeot 2.0L Turbo I4";"Michelin";"266";"3612.825";"";""
"2000";"27";"GT";"75";"DEU|USA";"Manthey Racing|Gunnar Racing";"USA|USA|USA";"Michael Brockman|Mike Lauer|Gunnar Jeannette";"Porsche 911 GT3-R";"Porsche 3.6L Flat-6";"Dunlop";"261";"3551.103";"";""
"2000";"NC";"LMP900";"10";"DNK";"Team Den Blå Avis";"DNK|ITA|DEU";"John Nielsen|Mauro Baldi|Klaus Graf";"Panoz LMP-1 Roadster-S";"Élan 6L8 6.0L V8";"Pirelli";"205";"2789.025";"";"Insufficient distance"
"2000";"DSQ";"GT";"83";"USA";"Dick Barbour Racing";"DEU|DEU|FRA";"Dirk Müller|Lucas Luhr|Bob Wollek";"Porsche 911 GT3-R";"Porsche 3.6L Flat-6";"Michelin";"319";"4338.745";"";"Oversize fuel tank"
"2000";"DNF";"GTS";"59";"DEU";"Freisinger Motorsport";"DEU|JPN|JPN";"Wolfgang Kaufmann|Yukihiro Hane|Katsunori Iketani";"Porsche 911 GT2";"Porsche 3.8L Turbo Flat-6";"Dunlop";"313";"4258.365";"";"Suspension"
"2000";"DNF";"GT";"81";"CHE";"Haberthur Racing";"ITA|FRA|ITA";"Gabrio Rosa|Michel Ligonnet|Fabio Babini";"Porsche 911 GT3-R";"Porsche 3.6L Flat-6";"Pirelli";"310";"4217.550";"";"Accident"
"2000";"DNF";"LMP900";"17";"FRA";"SMG Compétition";"FRA|ZAF|FRA";"Philippe Gache|Gary Formato|Didier Cottaz";"Courage C60";"Judd GV4 4.0L V10";"Pirelli";"219";"2979.495";"";"Suspension"
"2000";"DNF";"GTS";"56";"JPN|GBR";"Team Goh|Chamberlain Engineering";"CHE|CHE|DEU";"Walter Brun|Toni Seiler|Christian Gläsel";"Chrysler Viper GTS-R";"Chrysler 8.0L V10";"Michelin";"210";"2857.050";"";"Accident"
"2000";"DNF";"GTS";"54";"FRA";"Paul Belmondo Racing";"FRA|FRA|FRA";"Boris Derichebourg|Guy Martinolle|Jean-Claude Lagniez";"Chrysler Viper GTS-R";"Chrysler 8.0L V10";"Dunlop";"180";"2448.900";"22:27:00";"Accident, gearbox"
"2000";"DNF";"LMP900";"15";"DEU|GBR";"Thomas Bscher Promotion|David Price Racing";"DEU|GBR|FRA";"Dr. Thomas Bscher|Geoff Lees|Jean-Marc Gounon";"BMW V12 LM";"BMW S70 6.0L V12";"Goodyear";"180";"2448.900";"";"Engine"
"2000";"DNF";"LMP675";"35";"FRA";"Gerard Welter";"FRA|FRA|FRA";"Xavier Pompidou|Stéphane Daoudi|Jean-Bernard Bouvet";"WR LMP";"Peugeot 2.0L Turbo I4";"Michelin";"169";"2299.245";"";"Engine"
"2000";"DNF";"LMP900";"21";"ITA";"Team Rafanelli SRL";"ITA|BEL|ITA";"Domenico Schiattarella|Didier de Radiguès|Emanuele Naspetti";"Lola B2K/10";"Judd GV4 4.0L V10";"Michelin";"154";"2095.170";"12:20:00";"Engine"
"2000";"DNF";"LMP900";"24";"USA";"Johansson-Matthews Racing";"SWE|GBR|USA";"Stefan Johansson|Guy Smith|Jim Matthews";"Reynard 2KQ-LM";"Judd GV4 4.0L V10";"Yokohama";"133";"1809.465";"17:26:00";"Engine"
"2000";"DNF";"GT";"72";"ESP";"Repsol Racing Engineering";"ESP|ESP|ITA";"Tomas Saldaña|Jesús Diez Villaroel|Giovanni Lavaggi";"Porsche 911 GT3-R";"Porsche 3.6L Flat-6";"Dunlop";"78";"1061.190";"15:58:00";"Accident"
"2000";"DNF";"LMP675";"34";"FRA";"Racing Organisation Course (ROC)";"ESP|FRA|FRA";"Jordi Gené|Jean-Christophe Boullion|Jérôme Policand";"Reynard 2KQ-LM";"Volkswagen HPT16 2.0L Turbo I4";"Michelin";"72";"979.560";"11:52:00";"Engine"
"2000";"DNF";"LMP675";"33";"FRA";"Racing Organisation Course (ROC)";"DEU|FRA|CHE";"Ralf Kelleners|David Terrien|Jean-Denis Délétraz";"Reynard 2KQ-LM";"Volkswagen HPT16 2.0L Turbo I4";"Michelin";"44";"598.620";"11:47:00";"Engine"
"2000";"DNF";"LMP900";"20";"DEU|NLD";"Konrad Motorsport|Racing for Holland";"NLD|NLD|NLD";"Jan Lammers|Tom Coronel|Peter Kox";"Lola B2K/10";"Ford ( Roush) 6.0L V8";"Dunlop";"38";"516.990";"";"Lost wheel, DQ: left car"
"2000";"DNF";"GT";"77";"FRA";"Larbre Compétition";"FRA|FRA|FRA";"Patrice Goueslard|Christophe Bouchut|Jean-Luc Chéreau";"Porsche 911 GT3-R";"Porsche 3.6L Flat-6";"Michelin";"34";"462.570";"10:42:00";"Accident (with #78)"
"2000";"DNF";"GT";"78";"FRA";"BBA Compétition";"FRA|FRA|ITA";"Jean-Luc Maury-Laribière|Bernard Chauvin|Angelo Zadra";"Porsche 911 GT3-R";"Porsche 3.6L Flat-6";"Dunlop";"32";"435.360";"10:42:00";"Accident (with #77)"
"2000";"DNF";"LMP675";"30";"FRA";"Didier Bonnet Racing";"FRA|FRA|FRA";"Patrick Lemarié|Jean-Francois Yvon|Yann Goudy";"Debora LMP2000";"BMW 3.2L I6";"Avon";"24";"326.520";"";"Oil leak"
"2000";"DNF";"GT";"71";"USA";"Michael Colucci Racing";"USA|USA|USA";"Shane Lewis|Cort Wagner|Bob Mazzuoccola";"Porsche 911 GT3-R";"Porsche 3.6L Flat-6";"Michelin";"22";"299.310";"";"Accident"
"2000";"DNF";"LMP900";"4";"FRA";"Team DAMS";"BEL|FRA|DNK";"Marc Goossens|Christophe Tinseau|Kristian Kolby";"Cadillac Northstar LMP";"Cadillac Northstar 4.0L Turbo V8";"Pirelli";"4";"54.420";"";"Engine (fire)"
"2000";"DNF";"LMP900";"5";"FRA";"Mopar Team Oreca";"FRA|FRA|FRA";"Yannick Dalmas|Nicolas Minassian|Jean-Philippe Belloc";"Reynard 2KQ-LM";"Chrysler Mopar 6.0L V8";"Michelin";"1";"13.605";"";"Oil pressure"
"2000";"DNA";"LMP900";"13";"FRA";"Courage Compétition";"";"";"Courage C60";"Nissan 3.5L Turbo V8";"";"0";"0.0";"";"Withdrawn"
"2000";"DNA";"LMP900";"14";"GBR";"Team Ascari";"CAN|NLD|BRA";"Robbie Stirling|Klaas Zwart|Max Wilson";"Ascari A410";"Judd GV4 4.0L V10";"Pirelli";"0";"0.0";"";""
"2000";"DNA";"LMP900";"18";"ITA";"Risi Competizione";"DEU|ITA|ITA";"Ralf Kelleners|Domenico Schiattarella|Alex Caffi";"Ferrari 333SP";"Ferrari F130E 4.0L V12";"";"0";"0.0";"";"Withdrawn"
"2000";"DNA";"LMP900";"19";"GBR";"Gerard MacQuillan";"GBR|GBR|GBR";"Gary Ayles|Richard Jones|Gerard MacQuillan";"Harrier LR10-LMP";"Porsche 3.8L Turbo Flat-6";"Goodyear";"0";"0.0";"";""
"2000";"DNA";"LMP675";"31";"FRA";"Pierre Bruneau";"FRA|FRA";"Pierre Bruneau|Marc Rostan";"Debora LMP299";"BMW 3.2L I6";"Avon";"0";"0.0";"";""
"2000";"DNA";"GTS";"55";"JPN";"TV Asahi Team Tiger";"JPN|JPN|JPN";"Naoki Hattori|Masahiko Kondō|Masami Kageyama";"Chrysler Viper GTS-R";"Chrysler 8.0L V10";"Michelin";"0";"0.0";"";"Withdrawn"
"2000";"DNA";"GTS";"58";"GBR";"Emka GTC";"GBR";"Steve O'Rourke";"Ferrari 550 Maranello";"Ferrari 6.0L V12";"Pirelli";"0";"0.0";"";"Withdrawn"
"2000";"DNA";"GTS";"61";"DEU";"Roock Racing International Motorsport";"CHE|GBR|JPN";"Bruno Eichmann|Hugh Price|Toshio Suzuki";"Porsche 911 GT2";"Porsche 3.8L Turbo Flat-6";"Yokohama";"0";"0.0";"";""
"2000";"DNA";"GT";"70";"USA";"Tommy Milner BMW Team PTG";"";"";"BMW M3 PTG";"";"Yokohama";"0";"0.0";"";"Withdrawn"
"2000";"DNA";"GT";"74";"DEU";"Manthey Racing";"DEU|DEU|DEU";"Kersten Jodexnis|Gustl Spreng|Mathias Weiland";"Porsche 911 GT3 Supercup";"Porsche 3.8L Turbo Flat-6";"Michelin";"0";"0.0";"";"Refused"
