"Year";"Pos";"Class";"No";"TeamCtry";"Team";"DrCtry";"Drivers";"Chassis";"Engine";"Tyres";"Laps";"Distance";"Time";"Reason"
"1980";"1";"S+2.0";"16";"FRA";"LePoint Jean Rondeau";"FRA|FRA";"Jean Rondeau|Jean-Pierre Jaussaud";"Rondeau M379";"Ford Cosworth DFV 3.0 L V8";"Goodyear";"338";"4608.020";"";""
"1980";"2";"S+2.0";"9";"DEU";"Equipe Liqui Moly - Martini Racing";"BEL|DEU";"Jacky Ickx|Reinhold Joest";"Porsche 908/80";"Porsche 2.1 L Turbo Flat-6";"Dunlop";"336";"4583.306";"";""
"1980";"3";"GTP";"17";"FRA";"Belga Jean Rondeau";"GBR|BEL|BEL";"Gordon Spice|Philippe Martin|Jean-Michel Martin";"Rondeau M379";"Ford Cosworth DFV 3.0 L V8";"Goodyear";"329";"4489.882";"";""
"1980";"4";"GTP";"5";"FRA";"WM Esso";"FRA|FRA";"Guy Fréquelin|Roger Dorchy";"WM P79/80";"PeugeotPRV 2.7 L Turbo V6";"Michelin";"316";"4334.249";"";""
"1980";"5";"IMSA";"70";"USA";"Dick Barbour Racing";"GBR|GBR|USA";"John Fitzpatrick|Brian Redman|Dick Barbour";"Porsche 935 K3";"Porsche Type-935 3.2 L Turbo Flat-6";"Goodyear";"316";"4327.059";"";""
"1980";"6";"GTP";"4";"DEU";"Porsche System";"LIE|DEU";"Manfred Schurti|Jürgen Barth";"Porsche 924 Carrera GT";"Porsche 2.0 L Turbo I4";"Dunlop";"316";"4310.662";"";""
"1980";"7";"S+2.0";"8";"GBR";"Alain de Cadenet";"GBR|FRA";"Alain de Cadenet|François Migault";"De Cadenet-Lola LM";"Ford Cosworth DFV 3.0 L V8";"Dunlop";"313";"4274.739";"";""
"1980";"8";"Gr.5";"49";"DEU";"Vegla Racing Team";"DEU|DEU";"Harald Grohs|Dieter Schornstein";"Porsche 935";"Porsche Type-935 3.0 L Turbo Flat-6";"Dunlop";"313";"4268.350";"";""
"1980";"9";"IMSA";"73";"USA";"JLP Racing";"USA|USA|GBR";"John Paul Sr.|John Paul Jr.|Guy Edwards";"Porsche 935 JLP-2";"Porsche Type-935 3.0 L Turbo Flat-6";"Goodyear";"312";"4257.961";"";""
"1980";"10";"IMSA";"76";"FRA|FRA";"JMS Racing|Charles Pozzi";"BEL|BEL|BEL";"Jean Xhenceval|Pierre Dieudonné|Hervé Regout";"Ferrari 512BB/LM";"Ferrari 4.9 L Flat-12";"Michelin";"312";"4257.097";"";""
"1980";"11";"GTP";"6";"FRA";"WM Esso";"FRA|FRA";"Jean-Daniel Raulet|Marcel Mamers";"WM P79/80";"PeugeotPRV 2.7 L Turbo Flat-6";"Michelin";"311";"4242.596";"";""
"1980";"12";"GTP";"2";"DEU";"Porsche System";"GBR|GBR";"Andy Rouse|Tony Dron";"Porsche 924 Carrera GT";"Porsche 2.0 L Turbo I4";"Dunlop";"310";"4233.734";"";""
"1980";"13";"GTP";"3";"DEU";"Porsche System";"GBR|USA";"Derek Bell|Al Holbert";"Porsche 924 Carrera GT";"Porsche 2.0 L Turbo I4";"Dunlop";"305";"4160.765";"";""
"1980";"14";"IMSA";"83";"FRA";"BMW France";"FRA|AUT|FRA";"Didier Pironi|Dieter Quester|Marcel Mignot";"BMW M1";"BMW M88 3.5L I6";"Dunlop";"293";"4002.711";"";""
"1980";"15";"IMSA";"84";"FRA|FRA";"BMW Motorsport GmbH|Dominique Lacaud";"DEU|FRA|DEU";"Hans-Joachim Stuck|Dominique Lacaud|Hans-Georg Bürger";"BMW M1";"BMW M88 3.5L I6";"Dunlop";"283";"3866.196";"";""
"1980";"16";"GT";"93";"FRA";"Thierry Perrier";"FRA|FRA";"Thierry Perrier|Roger Carmillet";"Porsche 911 SC";"Porsche 4.6 L Flat-6 (Ethanol)";"Klèber";"280";"3821.609";"";""
"1980";"17";"S2.0";"25";"FRA";"ROC - Société Yacco";"FRA|FRA|FRA";"Bruno Sotty|Daniel Laurent|Philippe Hesnault";"Chevron B36";"ROC-Talbot 2.0 L I4";"Goodyear";"276";"3770.541";"";""
"1980";"18";"S2.0";"23";"FRA";"ROC - Société Yacco";"FRA|FRA|CHE";"Michel Dubois|Christian Debias|Florian Vetsch";"Lola T298";"ROC-Talbot 2.0 L I4";"Goodyear";"272";"3716.653";"";""
"1980";"19";"Gr.5";"53";"ITA";"Jolly Club - Lancia Corse";"ITA|ITA";"Carlo Facetti|Martino Finotto";"Lancia Beta Monte Carlo";"Lancia 1.4 L Turbo I4";"Pirelli";"272";"3708.095";"";""
"1980";"20";"IMSA";"89";"FRA";"Hervé Poulain";"FRA|FRA|FRA";"Dany Snobeck|Hervé Poulain|Pierre Destic";"Porsche 935";"Porsche Type-935 3.0 L Turbo Flat-6";"Dunlop";"272";"3694.974";"";""
"1980";"21";"IMSA";"86";"USA";"Z & W Enterprises Inc.";"VEN|USA|USA";"Ernesto Soto|Mark Hutchins|Pierre Honegger";"Mazda RX-7";"Mazda 12A 1.2L 2-Rotor";"Goodyear";"266";"3637.605";"";""
"1980";"22";"S2.0";"29";"GBR";"Dorset Racing Associates";"GBR|GBR|IRL";"Peter Clarke|Nick Mason|Martin Birrane";"Lola T297";"Ford Cosworth BDG 2.0 L I4";"Dunlop";"263";"3595.202";"";""
"1980";"23";"IMSA";"78";"GBR";"EMKA Productions";"GBR|GBR|GBR";"Steve O'Rourke|Richard Down|Simon Phillips";"Ferrari 512BB/LM";"Ferrari 4.9 L Flat-12";"Dunlop";"262";"3581.522";"";""
"1980";"24";"GT";"90";"FRA";"Georges Bourdillat";"FRA|FRA|FRA";"Georges Bourdillat|Alain-Michel Bernhard|Pascal Ennequin";"Porsche 934";"Porsche 3.0 L Turbo Flat-6";"Michelin";"248";"3388.853";"";""
"1980";"25";"S+2.0";"12";"JPN";"Dome Co. Ltd.";"GBR|GBR";"Chris Craft|Bob Evans";"Dome RL80";"Ford Cosworth DFV 3.0 L V8";"Dunlop";"246";"3356.104";"";""
"1980";"DNF";"GTP";"7";"FRA";"WM Esso";"FRA|FRA|FRA";"Serge Saulnier|Jean-Louis Bousquet|Denis Morin";"WM P79/80";"PeugeotPRV 2.7 L Turbo V6";"Michelin";"264";"3597.264";"20:12:00";"Suspension, Accident (at Ford curve)"
"1980";"DNF";"S2.0";"27";"FRA";"Michel Elkoubi / Primagaz";"FRA|FRA";"Patrick Perrier|Pierre Yver";"Lola T298";"BMW M12 2.0 L I4";"Michelin";"255";"3474.630";"22:20:00";"Engine"
"1980";"DNF";"GT";"94";"FRA";"Equipe Alméras Frères";"FRA|FRA|FRA";"Jacques Alméras|Jean-Marie Alméras|Mme Marianne Hoepfner";"Porsche 934";"Porsche 3.3 L Turbo Flat-6";"Michelin";"251";"3420.126";"21:10:00";"Accident (at Dunlop curve)"
"1980";"DNF";"IMSA";"69";"USA";"Racing Associates Inc.";"USA|USA|USA";"Bob Akin|Ralph Kent-Cooke|Paul Miller";"Porsche 935 K3";"Porsche Type-935 3.0 L Turbo Flat-6";"Goodyear";"237";"3212.362";"18:32:00";"Transmission (driveshaft)"
"1980";"DNF";"IMSA";"95";"FRA";"BMW Zol-Auto";"FRA|FRA|FRA";"François Sérvanin|Laurent Ferrier|Pierre-François Rousselot";"BMW M1";"BMW M88 3.5L I6";"Goodyear";"237";"3212.362";"19:41:00";"Engine (piston)"
