"Year";"Pos";"Class";"No";"TeamCtry";"Team";"DrCtry";"Drivers";"Chassis";"Engine";"Tyres";"Laps";"Distance";"Time";"Reason"
"1989";"1";"C1";"63";"DEU";"Team Sauber Mercedes";"DEU|DEU|SWE";"Jochen Mass|Manuel Reuter|Stanley Dickens";"Sauber C9";"Mercedes-Benz M119 5.0L Turbo V8";"Michelin";"389";"5265.115";"";""
"1989";"2";"C1";"61";"DEU";"Team Sauber Mercedes";"ITA|GBR|ITA";"Mauro Baldi|Kenny Acheson|Gianfranco Brancatelli";"Sauber C9";"Mercedes-Benz M119 5.0L Turbo V8";"Michelin";"384";"5197.440";"";""
"1989";"3";"C1";"9";"DEU";"Joest Racing";"DEU|FRA";"Hans-Joachim Stuck|Bob Wollek";"Porsche 962C";"Porsche Type-935 3.0L Turbo Flat-6";"Goodyear";"382";"5170.370";"";""
"1989";"4";"C1";"1";"GBR|GBR";"Silk Cut Jaguar|Tom Walkinshaw Racing";"NLD|FRA|GBR";"Jan Lammers|Patrick Tambay|Andrew Gilbert-Scott";"Jaguar XJR-9LM";"Jaguar 7.0L V12";"Dunlop";"380";"5143.330";"";""
"1989";"5";"C1";"62";"DEU";"Team Sauber Mercedes";"FRA|FRA|FRA";"Jean-Louis Schlesser|Jean-Pierre Jabouille|Alain Cudini";"Sauber C9";"Mercedes-Benz M119 5.0L Turbo V8";"Michelin";"378";"5116.230";"";""
"1989";"6";"C1";"8";"DEU";"Joest Racing";"FRA|FRA|FRA";"Henri Pescarolo|Claude Ballot-Léna|Jean-Louis Ricci";"Porsche 962C";"Porsche Type-935 3.0L Turbo Flat-6";"Goodyear";"371";"5021.485";"";""
"1989";"7";"GTP";"201";"JPN";"Mazdaspeed Co. Ltd.";"IRL|BEL|GBR";"David Kennedy|Pierre Dieudonné|Chris Hodgetts";"Mazda 767B";"Mazda 13J 2.6L 4- Rotor";"Dunlop";"368";"4980.880";"";""
"1989";"8";"C1";"4";"GBR|GBR";"Silk Cut Jaguar|Tom Walkinshaw Racing";"FRA|FRA|CHL";"Alain Ferté|Michel Ferté|Eliseo Salazar";"Jaguar XJR-9LM";"Jaguar 7.0L V12";"Dunlop";"368";"4980.880";"";""
"1989";"9";"GTP";"202";"JPN";"Mazdaspeed Co. Ltd.";"JPN|BEL|USA";"Takashi Yorino|Hervé Regout|Elliot Forbes-Robinson";"Mazda 767B";"Mazda 13J 2.6L 4- Rotor";"Dunlop";"365";"4940.275";"";""
"1989";"10";"C1";"16";"CHE";"Brun Motorsport";"NOR|DEU|FRA";"Harald Huysman|Uwe Schäfer|Dominique Lacaud";"Porsche 962C";"Porsche Type-935 3.0L Turbo Flat-6";"Yokohama";"351";"4785.885";"";""
"1989";"11";"C1";"18";"GBR|GBR";"Aston Martin|Ecurie Ecosse";"GBR|IRL|GRC";"Brian Redman|Michael Roe|Costas Los";"Aston Martin AMR1";"Aston Martin ( Callaway) RDP87 6.0L V8";"Goodyear";"340";"4635.900";"";""
"1989";"12";"GTP";"203";"JPN";"Mazdaspeed Co. Ltd.";"JPN|BEL|DEU";"Yojiro Terada|Marc Duez|Volker Weidler";"Mazda 767";"Mazda 13J 2.6L 4- Rotor";"Dunlop";"339";"4588.365";"";""
"1989";"13";"C1";"55";"AUS";"Team Schuppan";"AUS|SWE|AUS";"Vern Schuppan|Eje Elgh|Gary Brabham";"Porsche 962C";"Porsche Type-935 3.0L Turbo Flat-6";"Dunlop";"321";"4344.735";"";""
"1989";"14";"C2";"113";"FRA";"Courage Compétition";"FRA|FRA|JPN";"Jean-Claude Andruet|Philippe Farjon|Shunji Kasuya";"Cougar C20B";"Porsche Type-935 2.8L Turbo Flat-6";"Goodyear";"312";"4222.920";"";""
"1989";"15";"C1";"20";"GBR";"Team Davey";"GBR|GBR|JPN";"Tim Lee-Davey|Tom Dodd-Noble|Katsunori Iketani";"Porsche 962C";"Porsche Type-935 3.0L Turbo Flat-6";"Dunlop";"308";"4168.780";"";""
"1989";"16";"C2";"171";"GBR";"Team Mako";"CAN|GBR|GBR";"Robbie Stirling|Ross Hyett|Don Shead";"Spice SE88C";"Ford Cosworth DFL 3.3L V8";"Goodyear";"307";"4155.245";"";""
"1989";"17";"C2";"108";"GBR|GBR";"Roy Baker Racing|GP Motorsport";"GBR|GBR|FRA";"Dudley Wood|Evan Clements|Philippe de Henning";"Spice SE87C";"Ford Cosworth DFL 3.3L V8";"Goodyear";"303";"4101.105";"";""
"1989";"18";"C2";"126";"FRA";"France Prototeam";"FRA|FRA|FRA";"Jean Messaoudi|Pierre-François Rousselot|Thierry Lecerf";"Argo JM19C";"Ford Cosworth DFL 3.3L V8";"Goodyear";"297";"4019.895";"";""
"1989";"19";"C2";"104";"FRA";"Graff Racing";"FRA|FRA|FRA";"Jean-Philippe Grand|Remy Pochauvin|Jean-Luc Roy";"Spice SE89C";"Ford Cosworth DFL 3.3L V8";"Goodyear";"291";"3938.685";"";""
"1989";"DNF";"C1";"14";"GBR";"Richard Lloyd Racing";"GBR|GBR|GBR";"Derek Bell|James Weaver|Tiff Needell";"Porsche 962C GTi";"Porsche Type-935 3.0L Turbo Flat-6";"Goodyear";"339";"4588.365";"";"Fire"
"1989";"DNF";"C1";"10";"DEU";"Porsche Kremer Racing";"JPN|ITA|ITA";"Kunimitsu Takahashi|Bruno Giacomelli|Giovanni Lavaggi";"Porsche 962C";"Porsche Type-935 3.0L Turbo Flat-6";"Yokohama";"303";"4101.105";"";"Fire"
"1989";"DNF";"C1";"25";"JPN";"Nissan Motorsport";"AUS|USA|NLD";"Geoff Brabham|Chip Robinson|Arie Luyendyk";"Nissan R89C";"Nissan VRH35Z 3.5L Turbo V8";"Dunlop";"250";"3383.750";"";"Oil loss"
"1989";"DNF";"C2";"101";"GBR";"Chamberlain Engineering";"ESP|GBR|ITA";"Fermín Velez|Nick Adams|Luigi Taverna";"Spice SE88C";"Ford Cosworth DFL 3.3L V8";"Goodyear";"244";"3302.540";"";"Engine (valves)"
"1989";"DNF";"C1";"17";"CHE";"Repsol Brun Motorsport";"ARG|CHE|ESP";"Oscar Larrauri|Walter Brun|Jesús Pareja";"Porsche 962C";"Porsche Type-935 3.0L Turbo Flat-6";"Yokohama";"242";"3275.470";"";"Engine"
"1989";"DNF";"C1";"21";"GBR";"Spice Engineering";"GBR|GBR|USA";"Ray Bellm|Gordon Spice|Mrs. Lyn St. James";"Spice SE89C";"Ford Cosworth DFZ 3.5L V8";"Goodyear";"229";"3099.515";"";"Engine"
"1989";"DNF";"C1";"15";"GBR";"Richard Lloyd Racing";"SWE|GBR|GBR";"Steven Andskär|David Hobbs|Damon Hill";"Porsche 962C GTi";"Porsche Type-935 3.0L Turbo Flat-6";"Goodyear";"228";"3085.980";"";"Engine"
"1989";"DNF";"C1";"32";"JPN|FRA";"Team LeMans Co.|Courage Compétition";"JPN|JPN|SWE";"Takao Wada|Akio Morimoto|Anders Olofsson";"March 88S";"Nissan VG30 3.0L Turbo V6";"Yokohama";"221";"2991.235";"";"Engine (head gasket)"
"1989";"DNF";"C1";"2";"GBR|GBR";"Silk Cut Jaguar|Tom Walkinshaw Racing";"DNK|GBR|USA";"John Nielsen|Andy Wallace|Price Cobb";"Jaguar XJR-9LM";"Jaguar 7.0L V12";"Dunlop";"215";"2910.025";"";"Engine (head gasket)"
"1989";"DNF";"C2";"106";"ITA";"Porto Kaleo Team";"GBR|ITA|ITA";"Robin Smith|Vito Veninta|Stefano Sebastiani";"Tiga GC288";"Ford Cosworth DFL 3.3L V8";"Goodyear";"194";"2625.790";"";"Electrics"
"1989";"DNF";"C1";"34";"FRA";"Equipe Alméras Fréres";"FRA|FRA|FRA";"Jacques Alméras|Jean-Marie Alméras|Alain Ianetta";"Porsche 962C";"Porsche Type-935 3.0L Turbo Flat-6";"Goodyear";"188";"2544.580";"";"Accident"
"1989";"DNF";"C1";"12";"FRA";"Courage Compétition";"FRA|BEL|CHE";"Patrick Gonin|Bernard de Dryver|Bernard Santal";"Cougar C22LM";"Porsche Type-935 3.0L Turbo Flat-6";"Goodyear";"168";"2273.880";"";"Electronics"
"1989";"DNF";"C1";"23";"JPN";"Nissan Motorsports";"JPN|JPN|JPN";"Masahiro Hasemi|Kazuyoshi Hoshino|Toshio Suzuki";"Nissan R89C";"Nissan VRH35Z 3.5L Turbo V8";"Dunlop";"167";"2260.345";"";"Engine"
"1989";"DNF";"C1";"19";"GBR|GBR";"Aston Martin|Ecurie Ecosse";"GBR|GBR|GBR";"David Leslie|Ray Mallock|David Sears";"Aston Martin AMR1";"Aston Martin ( Callaway) RDP87 6.0L V8";"Goodyear";"153";"2070.855";"";"Electrics"
"1989";"DNF";"C1";"22";"GBR";"Spice Engineering";"DNK|ZAF|GBR";"Thorkild Thyrring|Wayne Taylor|Tim Harvey";"Spice SE89C";"Ford Cosworth DFZ 3.5L V8";"Goodyear";"150";"2030.250";"";"Engine (valves)"
