"Year";"Pos";"Class";"No";"TeamCtry";"Team";"DrCtry";"Drivers";"Chassis";"Engine";"Tyres";"Laps";"Distance";"Time";"Reason"
"1981";"1";"S+2.0";"11";"DEU";"Porsche System";"BEL|GBR";"Jacky Ickx|Derek Bell";"Porsche 936/81";"Porsche Type-935 2.6 L Turbo Flat-6";"Dunlop";"354";"4825.348";"";""
"1981";"2";"GTP3.0";"8";"FRA";"Jean Rondeau";"FRA|FRA|FRA";"Jacky Haran|Jean-Louis Schlesser|Philippe Streiff";"Rondeau M379";"Ford Cosworth DFV 3.0 L V8";"Goodyear";"340";"4639.323";"";""
"1981";"3";"GTP3.0";"7";"FRA";"Otis Jean Rondeau";"GBR|FRA";"Gordon Spice|François Migault";"Rondeau M379";"Ford Cosworth DFV 3.0 L V8";"Goodyear";"335";"4571.205";"";""
"1981";"4";"Gr.5";"55";"BEL|GBR";"Claude Bourgoignie|Charles Ivey Racing";"BEL|GBR|GBR";"Claude Bourgoignie|John Cooper|Dudley Wood";"Porsche 935 K3";"Porsche Type-935 3.1 L Turbo Flat-6";"Dunlop";"330";"4507.520";"";""
"1981";"5";"IMSAGTX";"47";"FRA";"Charles Pozzi S.A.";"FRA|FRA|BEL";"Jean-Claude Andruet|Claude Ballot-Léna|Hervé Regout";"Ferrari 512BB/LM";"Ferrari 4.9 L Flat-12";"Michelin";"328";"4469.433";"";""
"1981";"6";"IMSAGTX";"42";"USA";"Cooke-Woods Racing";"FRA|USA|USA";"Mme Anne-Charlotte Verney|Bob Garretson|Ralph Kent-Cooke";"Porsche 935 K3";"Porsche Type-935 3.2 L Turbo Flat-6";"Goodyear";"327";"4466.362";"";""
"1981";"7";"GTP+3.0";"1";"DEU";"Porsche System";"DEU|DEU";"Jürgen Barth|Walter Röhrl";"Porsche 944 LM";"Porsche 2.5 L Turbo I4";"Dunlop";"323";"4404.594";"";""
"1981";"8";"Gr.5";"65";"ITA";"Martini Racing";"ITA|USA|ITA";"Michele Alboreto|Eddie Cheever|Carlo Facetti";"Lancia Beta Monte Carlo";"Lancia 1.4 L Turbo I4";"Pirelli";"322";"4391.680";"";""
"1981";"9";"IMSAGTX";"46";"BEL";"Rennod Racing";"BEL|BEL|BEL";"Pierre Dieudonné|Jean Xhenceval|Jean-Paul Libert";"Ferrari 512BB/LM";"Ferrari 4.9 L Flat-12";"Goodyear";"320";"4370.941";"";""
"1981";"10";"Gr.5";"60";"DEU";"Vegla Racing Team";"DEU|DEU|DEU";"Dieter Schornstein|Harald Grohs|Götz von Tschirnhaus";"Porsche 935J";"Porsche Type-935 3.0 L Turbo Flat-6";"Dunlop";"320";"4370.685";"";""
