"Year";"Pos";"Class";"No";"TeamCtry";"Team";"DrCtry";"Drivers";"Chassis";"Engine";"Tyres";"Laps";"Distance";"Time";"Reason"
"1952";"1";"S3.0";"21";"DEU";"Daimler-Benz A.G.";"DEU|DEU";"Hermann Lang|Fritz Riess";"Mercedes-Benz W194";"Mercedes-Benz 3.0L S6";"Continental";"277";"3733.800";"";""
"1952";"2";"S3.0";"20";"DEU";"Daimler-Benz A.G.";"DEU|DEU";"Theo Helfrich|Helmut Niedermayr";"Mercedes-Benz W194";"Mercedes-Benz 3.0L S6";"Englebert";"276";"3720.260";"";""
"1952";"3";"S5.0";"10";"GBR";"Donald Healey Motor Co.";"GBR|GBR";"Leslie Johnson|Tommy Wisdom";"Nash-Healey 4 Litre";"Nash 4.1L S6";"Dunlop";"262";"3534.030";"";""
"1952";"4";"S8.0";"1";"USA";"Briggs Cunningham (private entrant)";"USA|USA";"Briggs Cunningham|William ""Bill"" Spear";"Cunningham C4-R";"Chrysler 5.4L V8";"Firestone";"252";"3399.030";"";""
"1952";"5";"S5.0";"14";"USA";"Luigi Chinetti";"FRA|FRA";"André Simon|Lucien Vincent";"Ferrari 340 America (Vignale)";"Ferrari 4.1L V12";"Dunlop";"250";"3361.810";"";""
"1952";"6";"S2.0";"39";"ITA";"Scuderia Lancia";"ITA|ITA";"Luigi ""Gino"" Valenzano|""Ippocampo"" (Umberto Castiglioni)";"Lancia Aurelia B.20 GT";"Lancia 1991cc V6";"Michelin";"248";"3342.420";"";""
"1952";"7";"S3.0";"32";"GBR";"P.C.T. Clark (private entrant)";"GBR|GBR";"Peter Clark|Mike Keen";"Aston Martin DB2";"Aston Martin 2.6L S6";"Dunlop";"248";"3335.780";"";""
"1952";"8";"S2.0";"40";"ITA";"Scuderia Lancia";"ITA|ITA";"Felice Bonetto|Enrico Anselmi";"Lancia Aurelia B.20 GT";"Lancia 1991cc V6";"Michelin";"247";"3320.440";"";""
"1952";"9";"S8.0";"6";"FRA";"André Chambas (private entrant)";"FRA|FRA";"André Chambas|André Morel";"Talbot-Lago T26 SS Spyder";"Talbot-Lago 4.5L S6 supercharged";"Dunlop";"235";"3155.230";"";""
"1952";"10";"S2.0";"42";"GBR";"Mrs P. Trevelyan (private entrant)";"GBR|GBR";"Rodney 'Roy' Peacock|Gerry Ruddock";"Frazer Nash Le Mans Mk.II";"Bristol 1970cc S6";"Dunlop";"225";"3021.530";"";""
"1952";"11";"S1.1";"50";"DEU";"Porsche KG";"FRA|FRA";"Auguste Veuillet|Edmond Mouche";"Porsche 356 SL";"Porsche 1086cc F4";"Dunlop";"220";"2955.410";"";""
"1952";"12";"S1.1";"52";"FRA";"Automobiles Panhard et Levassor";"FRA|FRA";"Robert Chancel|Charles Plantivaux";"Monopole Dyna X86 Coupe";"Panhard 851cc F2";"Dunlop";"217";"2914.950";"";""
"1952";"13";"S1.5";"45";"FRA";"Marcel Becquart (private entrant)";"FRA|GBR";"Marcel Becquart|Gordon Wilkins";"Jowett Jupiter R1";"Jowett 1486cc F4";"Dunlop";"210";"2818.900";"";""
"1952";"14";"S750";"60";"FRA";"Établissements Monopole";"FRA|FRA";"Pierre Hémard|Eugène Dussous";"Monopole X84";"Panhard 612cc F2";"Dunlop";"208";"2802.190";"";""
"1952";"15";"S750";"68";"FRA";"RNU Renault";"FRA|FRA";"Ernest de Regibus|Marius Porta";"Renault 4CV-1063";"Renault 747cc S4";"Michelin";"195";"2628.850";"";""
"1952";"16";"S750";"61";"FRA";"Raymond Gaillard (private entrant)";"FRA|FRA";"Raymond Gaillard|Pierre Chancel";"Panhard Dyna X84 Sport";"Panhard 611cc F2";"Dunlop";"186";"2508.340";"";""
