"Year";"Pos";"Class";"No";"TeamCtry";"Team";"DrCtry";"Drivers";"Chassis";"Engine";"Tyres";"Laps";"Distance";"Time";"Reason"
"2004";"1";"LMP1";"5";"JPN";"Audi Sport Japan Team Goh";"JPN|ITA|DNK";"Seiji Ara|Rinaldo Capello|Tom Kristensen";"Audi R8";"Audi 3.6L Turbo V8";"Michelin";"379";"5169.970";"24:00:55.345";""
"2004";"2";"LMP1";"88";"GBR";"Audi Sport UK Team Veloqx";"GBR|GBR|GBR";"Jamie Davies|Johnny Herbert|Guy Smith";"Audi R8";"Audi 3.6L Turbo V8";"Michelin";"379";"5167.703";"";""
"2004";"3";"LMP1";"2";"USA";"ADT Champion Racing";"FIN|DEU|ITA";"""JJ Lehto"" Jyrki Juhani Järvilehto|Marco Werner|Emanuele Pirro";"Audi R8";"Audi 3.6L Turbo V8";"Michelin";"368";"5019.804";"";""
"2004";"4";"LMP1";"18";"FRA";"Pescarolo Sport";"FRA|FRA|FRA";"Soheil Ayari|Érik Comas|Benoît Tréluyer";"Pescarolo C60";"Judd GV5 5.0L V10";"Michelin";"361";"4913.454";"";""
"2004";"5";"LMP1";"8";"GBR";"Audi Sport UK Team Veloqx";"GBR|DEU|DEU";"Allan McNish|Frank Biela|Pierre Kaffer";"Audi R8";"Audi 3.6L Turbo V8";"Michelin";"350";"4771.779";"";""
"2004";"6";"GTS";"64";"USA";"Corvette Racing";"GBR|MCO|DNK";"Oliver Gavin|Olivier Beretta|Jan Magnussen";"Chevrolet Corvette C5-R";"Chevrolet 7.0L V8";"Michelin";"345";"4695.140";"";""
"2004";"7";"LMP1";"15";"NLD";"Racing for Holland";"NLD|USA|JPN";"Jan Lammers|Chris Dyson|Katsutomo Kaneishi";"Dome S101";"Judd GV4 4.0L V10";"Dunlop";"341";"4651.158";"";""
"2004";"8";"GTS";"63";"USA";"Corvette Racing";"CAN|ITA|USA";"Ron Fellows|Max Papis|Johnny O'Connell";"Chevrolet Corvette C5-R";"Chevrolet 7.0L V8";"Michelin";"334";"4546.709";"";""
"2004";"9";"GTS";"65";"GBR";"Prodrive Racing";"GBR|GBR|SWE";"Darren Turner|Colin McRae|Rickard Rydell";"Ferrari 550-GTS Maranello";"Ferrari F133 5.9L V12";"Michelin";"329";"4478.806";"";""
"2004";"10";"GT";"90";"USA";"White Lightning Racing";"DEU|USA|DEU";"Jörg Bergmeister|Patrick Long|Sascha Maassen";"Porsche 911 GT3-RS";"Porsche 3.6L Flat-6";"Michelin";"327";"4450.974";"";""
